Date,Away Team,Away Team Odds,Away Team Decimal Odds,Away Team Implied Probability,Away Probability,Home Probability,Home Team Implied Probability,Home Team Decimal Odds,Home Team Odds,Home Team
2024-12-05,WPG,-140,1.71,0.58,0.4711890439955992,0.5288109560044009,0.45,2.2,120,BUF
2024-12-05,NSH,-135,1.74,0.57,0.4436133567596649,0.556386643240335,0.47,2.15,115,MTL
2024-12-05,DET,150,2.5,0.4,0.3454477738047235,0.6545522261952768,0.65,1.54,-185,OTT
2024-12-05,SJ,220,3.2,0.31,0.3951757431631407,0.6048242568368591,0.74,1.36,-275,TB
2024-12-05,FLA,-190,1.53,0.65,0.48235585225456373,0.5176441477454362,0.38,2.6,160,PHI
2024-12-05,COL,125,2.25,0.44,0.45348447116276547,0.5465155288372346,0.6,1.67,-150,CAR
2024-12-05,SEA,115,2.15,0.47,0.5743191840198324,0.4256808159801673,0.57,1.74,-135,NYI
2024-12-05,SEA,200,3.0,0.33,0.5743191840198324,0.4256808159801673,0.57,1.74,-135,NYI
2024-12-05,STL,105,2.05,0.49,0.5203574432827817,0.47964255671721834,0.56,1.8,-125,CGY
2024-12-05,CBJ,240,3.4,0.29,0.4410641598155439,0.5589358401844559,0.75,1.33,-300,EDM
2024-12-05,CBJ,200,3.0,0.33,0.4410641598155439,0.5589358401844559,0.75,1.33,-300,EDM
