Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2024-10-04 - NJ 4, BUF 1",BUF,50.41,45.59,37.43,34.91,22.68,21.04,0.92,3.18,2.24,2.33,24.18,22.59,10.37,8.08,4.37,2.25,0.91,1.07,13.54,14.68,4.42,7.45,0.0,1.05,37.24,23.95,12.88,11.5,0.0,1.11,0.889,2024-10-04,NJ,4,BUF,1,Lost,
"2024-10-05 - BUF 1, NJ 3",BUF,55.72,42.12,35.48,35.15,16.1,25.49,1.06,1.93,1.45,2.44,17.74,18.13,7.51,10.36,3.16,5.8,1.06,1.93,10.18,7.72,1.03,6.8,0.0,0.0,34.91,25.87,10.64,11.98,0.0,0.0,0.99,2024-10-05,BUF,1,NJ,3,Won,0.0
"2024-10-10 - LA 3, BUF 1",BUF,45.4,37.1,29.04,23.74,13.61,16.45,0.0,1.01,1.88,1.15,25.64,23.07,11.17,4.26,3.78,3.16,0.0,0.0,14.48,18.65,3.89,8.25,0.0,1.06,15.53,12.29,4.93,4.06,0.0,0.0,0.939,2024-10-10,LA,3,BUF,1,Lost,4.0
"2024-10-12 - FLA 2, BUF 5",BUF,59.63,32.78,46.29,20.79,24.85,16.84,3.84,1.06,2.67,0.98,25.1,10.18,13.84,4.25,4.91,4.21,0.92,0.0,11.31,5.82,4.92,4.03,1.92,1.05,35.82,22.82,14.43,6.57,1.06,0.0,1.092,2024-10-12,FLA,2,BUF,5,Won,1.0
"2024-10-16 - BUF 5, PIT 6",BUF,56.57,51.87,40.94,40.0,30.78,29.41,5.28,1.87,3.06,3.37,26.11,24.79,13.93,15.43,8.27,11.93,2.07,1.86,12.46,9.13,6.46,6.58,1.04,0.0,28.59,29.1,15.24,10.48,2.16,0.0,1.108,2024-10-16,BUF,5,PIT,6,Won,3.0
"2024-10-17 - BUF 4, CBJ 6",BUF,35.58,38.33,24.23,28.23,13.99,21.95,3.04,4.94,1.7,1.75,13.54,13.31,9.89,7.02,5.86,5.08,3.11,2.97,3.7,6.4,1.95,5.13,0.0,0.98,26.23,28.0,6.08,9.77,0.0,1.06,0.992,2024-10-17,BUF,4,CBJ,6,Won,0.0
"2024-10-19 - BUF 4, CHI 2",BUF,43.21,44.57,24.68,34.46,16.13,30.18,3.19,1.87,0.89,2.15,18.35,16.22,4.38,7.15,2.17,6.31,2.14,0.92,14.02,8.85,5.3,5.54,1.05,1.03,22.77,35.08,6.53,16.43,0.0,0.0,1.136,2024-10-19,BUF,4,CHI,2,Lost,1.0
"2024-10-22 - DAL 2, BUF 4",BUF,46.01,53.52,29.41,33.35,21.21,22.82,2.92,0.0,2.13,2.33,20.76,33.29,7.64,13.32,5.84,7.3,1.93,0.0,13.35,19.78,8.08,7.06,0.98,0.0,29.93,20.93,7.05,7.35,0.0,0.0,1.138,2024-10-22,DAL,2,BUF,4,Won,2.0
"2024-10-26 - DET 3, BUF 5",BUF,58.99,36.45,43.1,27.11,32.91,19.29,2.92,2.03,1.84,1.13,20.92,13.84,6.93,2.98,6.01,0.97,0.99,1.04,14.16,10.69,6.95,6.99,0.94,1.02,34.55,35.15,15.99,11.15,0.95,0.0,0.984,2024-10-26,DET,3,BUF,5,Won,3.0
"2024-10-28 - FLA 5, BUF 2",BUF,38.6,48.8,30.93,36.47,18.54,27.57,0.92,3.16,1.24,2.1,9.78,24.27,3.5,5.73,1.77,4.56,0.92,1.06,6.15,18.7,1.83,10.69,0.0,2.02,28.79,30.03,12.09,12.42,0.0,0.0,0.935,2024-10-28,FLA,5,BUF,2,Lost,1.0
