Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2024-10-10 - DAL 4, NSH 3",DAL,37.97,32.69,26.31,26.99,18.62,16.03,3.18,0.92,1.62,1.09,17.68,12.39,6.71,5.2,4.45,3.44,0.0,0.91,11.06,7.02,3.22,3.68,2.09,0.0,21.34,25.68,9.9,6.89,1.12,0.0,1.114,2024-10-10,DAL,4,NSH,3,Lost,
"2024-10-12 - NYI 0, DAL 3",DAL,41.23,57.72,28.2,45.57,23.95,28.49,1.93,0.0,1.28,3.51,14.17,24.48,6.01,11.06,4.05,6.93,0.99,0.0,8.29,13.16,6.01,7.85,0.95,0.0,28.94,34.91,10.99,12.63,0.0,0.0,1.081,2024-10-12,NYI,0,DAL,3,Won,1.0
"2024-10-13 - SEA 0, DAL 2",DAL,41.45,43.52,28.04,33.98,19.5,20.77,1.93,0.0,1.69,1.7,18.14,16.65,8.87,7.91,6.94,3.9,0.94,0.0,9.35,8.65,3.99,1.95,0.0,0.0,25.96,32.75,8.56,14.32,1.06,0.0,1.099,2024-10-13,SEA,0,DAL,2,Won,0.0
"2024-10-15 - SJ 2, DAL 3",DAL,60.26,40.27,47.73,30.96,29.68,20.56,1.85,2.11,2.92,2.57,28.09,25.16,11.06,9.59,7.45,6.32,0.92,1.06,16.96,15.52,8.57,10.29,0.96,1.05,36.92,13.31,12.73,3.04,0.0,0.0,0.959,2024-10-15,SJ,2,DAL,3,Won,1.0
"2024-10-17 - DAL 2, WSH 3",DAL,43.14,34.71,23.13,25.84,16.01,18.97,1.01,2.81,1.67,1.94,19.61,16.54,8.15,9.66,6.07,4.98,1.01,0.0,11.43,6.85,0.0,2.92,0.0,0.96,29.22,19.0,9.86,11.12,0.0,1.89,0.915,2024-10-17,DAL,2,WSH,3,Won,1.0
"2024-10-19 - EDM 1, DAL 4",DAL,49.72,59.76,35.29,42.05,22.33,24.98,1.97,0.0,2.13,2.56,21.53,28.59,8.78,9.4,5.04,5.14,1.95,0.0,12.84,18.93,4.91,6.06,0.0,0.0,30.02,38.89,10.54,10.71,0.0,0.0,1.088,2024-10-19,EDM,1,DAL,4,Won,1.0
"2024-10-22 - DAL 2, BUF 4",DAL,53.52,46.01,33.35,29.41,22.82,21.21,0.0,2.92,2.33,2.13,33.29,20.76,13.32,7.64,7.3,5.84,0.0,1.93,19.78,13.35,7.06,8.08,0.0,0.98,20.93,29.93,7.35,7.05,0.0,0.0,0.862,2024-10-22,DAL,2,BUF,4,Won,2.0
"2024-10-24 - DAL 5, BOS 2",DAL,42.75,35.82,28.35,28.15,22.64,17.34,1.01,0.0,1.47,1.45,17.21,18.12,5.46,4.54,4.29,3.63,0.0,0.0,11.82,13.37,6.35,4.58,1.06,0.0,31.32,19.62,11.05,6.31,0.0,0.0,1.045,2024-10-24,DAL,5,BOS,2,Lost,1.0
"2024-10-26 - CHI 2, DAL 4",DAL,51.4,38.19,31.99,28.4,22.68,18.04,1.93,2.02,2.92,1.75,24.06,21.44,12.9,11.86,9.05,6.81,1.93,1.02,11.24,9.58,1.99,1.95,0.0,1.02,25.53,23.33,10.73,9.21,0.0,0.0,0.973,2024-10-26,CHI,2,DAL,4,Won,1.0
"2024-11-01 - FLA 6, DAL 4",DAL,42.79,53.42,33.46,32.48,23.33,25.58,3.74,4.26,2.53,1.38,24.02,21.35,10.98,3.47,7.55,1.18,2.74,1.09,12.66,18.15,8.04,9.68,1.03,2.09,23.6,30.75,6.9,12.59,0.0,1.12,0.993,2024-11-01,FLA,6,DAL,4,Lost,5.0
"2024-11-02 - DAL 2, FLA 4",DAL,44.31,27.21,29.79,20.97,18.87,14.08,1.01,1.89,1.93,1.25,18.45,12.58,10.47,4.74,6.2,2.84,1.01,0.94,7.99,7.9,3.06,2.94,0.0,0.95,27.26,17.38,5.67,7.41,0.0,0.0,0.92,2024-11-02,DAL,2,FLA,4,Won,0.0
"2024-11-07 - CHI 1, DAL 3",DAL,69.67,36.79,45.22,26.76,34.01,19.98,1.93,0.0,2.83,2.19,28.0,15.7,12.87,6.95,11.0,5.86,0.0,0.0,15.33,8.64,8.98,3.98,1.89,0.0,43.31,18.74,10.7,9.1,0.0,0.0,1.057,2024-11-07,CHI,1,DAL,3,Won,4.0
"2024-11-09 - DAL 1, WPG 4",DAL,43.61,34.24,33.73,26.04,19.24,13.97,1.0,1.97,2.17,2.11,20.7,22.01,11.64,9.16,6.7,5.12,0.0,1.95,8.99,13.11,4.7,4.18,1.0,0.0,23.78,12.34,6.96,4.6,0.0,0.0,0.911,2024-11-09,DAL,1,WPG,4,Won,1.0
"2024-11-11 - DAL 7, PIT 1",DAL,53.83,30.62,40.13,24.46,32.02,17.69,5.35,0.92,2.03,1.71,28.64,17.8,9.32,9.04,8.17,6.52,2.16,0.91,19.59,8.55,10.96,4.49,1.05,0.0,23.55,13.81,10.61,5.64,2.23,0.0,1.115,2024-11-11,DAL,7,PIT,1,Lost,1.0
"2024-11-14 - BOS 2, DAL 7",DAL,55.11,40.54,44.64,31.97,36.01,19.75,5.91,2.02,2.72,2.39,25.77,25.2,9.09,8.86,8.2,2.92,2.93,1.04,17.01,16.01,12.34,7.8,2.0,1.0,32.99,19.31,15.39,7.23,0.95,0.0,1.062,2024-11-14,BOS,2,DAL,7,Won,2.0
"2024-11-16 - DAL 2, MIN 1",DAL,69.05,43.77,52.58,30.3,41.7,15.72,2.13,0.95,2.5,1.1,27.05,19.12,11.02,5.49,7.68,1.81,1.08,0.93,16.17,13.41,9.52,3.73,1.05,0.0,54.41,27.68,23.44,10.19,0.0,0.0,0.991,2024-11-16,DAL,2,MIN,1,Lost,1.0
"2024-11-18 - ANA 4, DAL 2",DAL,57.97,50.3,41.19,37.12,24.28,27.9,1.87,3.21,2.85,1.76,27.61,16.92,11.98,6.85,6.02,5.68,0.93,1.08,15.23,10.29,5.37,4.39,0.96,0.0,37.65,34.1,11.76,15.79,0.0,2.16,0.962,2024-11-18,ANA,4,DAL,2,Lost,1.0
"2024-11-20 - SJ 2, DAL 5",DAL,46.61,34.72,29.69,22.11,18.46,15.45,2.88,1.01,1.37,1.92,19.93,19.64,4.88,8.95,2.9,3.95,1.93,0.0,15.33,10.49,7.04,3.98,0.95,1.02,30.52,15.98,7.38,5.64,0.0,0.0,1.09,2024-11-20,SJ,2,DAL,5,Won,1.0
"2024-11-23 - DAL 4, TB 2",DAL,40.45,36.1,35.29,25.8,24.84,22.13,3.08,1.89,2.29,1.52,20.86,14.96,7.33,8.35,7.27,6.62,1.01,1.88,13.45,6.46,6.21,4.75,1.06,0.0,23.97,24.3,11.47,9.63,1.05,0.0,1.039,2024-11-23,DAL,4,TB,2,Lost,2.0
"2024-11-25 - DAL 4, CAR 6",DAL,36.83,45.89,28.91,36.36,16.96,25.71,4.2,1.87,2.36,1.88,21.71,23.59,10.86,8.21,7.51,5.62,2.14,0.0,11.07,15.08,4.27,7.42,1.05,1.03,19.1,32.59,4.1,12.45,0.94,0.89,1.175,2024-11-25,DAL,4,CAR,6,Won,1.0
