Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2024-10-10 - PIT 6, DET 3",DET,38.45,51.07,27.36,40.06,21.18,26.71,1.86,5.24,1.27,2.76,17.68,24.08,3.56,13.45,1.01,7.8,0.0,3.21,14.2,10.67,6.79,5.18,0.95,0.0,18.44,27.17,9.48,13.86,0.88,2.05,0.892,2024-10-10,PIT,6,DET,3,Lost,
"2024-10-12 - NSH 0, DET 3",DET,33.99,59.26,24.48,36.4,16.31,24.72,1.93,0.0,1.56,2.26,17.77,26.29,7.79,9.32,5.93,4.09,1.93,0.0,10.11,16.73,3.94,4.01,0.0,0.0,19.78,42.1,5.35,16.31,0.0,0.0,1.118,2024-10-12,NSH,0,DET,3,Won,1.0
"2024-10-14 - DET 1, NYR 4",DET,39.69,35.61,31.56,27.08,20.59,19.01,1.01,1.93,2.22,1.64,16.2,15.44,9.32,7.54,6.06,5.68,1.01,0.0,6.8,7.9,2.98,4.91,0.0,1.89,23.87,28.44,10.39,8.51,0.0,0.0,0.947,2024-10-14,DET,1,NYR,4,Won,1.0
"2024-10-17 - NYR 5, DET 2",DET,36.13,57.55,27.19,39.64,21.12,29.37,0.95,2.14,1.88,3.21,21.74,28.29,9.43,11.36,8.55,5.71,0.0,0.0,11.98,17.25,5.35,8.84,1.03,0.0,16.27,27.81,5.38,10.25,0.0,2.17,0.972,2024-10-17,NYR,5,DET,2,Lost,2.0
"2024-10-19 - DET 5, NSH 2",DET,37.6,57.91,29.03,43.62,17.48,29.21,2.07,0.94,1.88,2.13,14.75,27.35,5.32,10.92,3.1,5.56,1.06,0.0,9.45,16.15,3.1,7.49,1.06,0.0,25.4,27.85,9.21,14.45,0.0,0.95,1.086,2024-10-19,DET,5,NSH,2,Lost,1.0
"2024-10-22 - DET 1, NYI 0",DET,28.59,45.54,18.62,33.24,10.86,19.38,1.06,0.0,0.92,1.29,8.78,19.08,2.23,1.77,1.11,0.0,0.0,0.0,6.63,17.17,3.17,8.48,1.05,0.0,19.78,31.25,4.41,9.16,0.0,0.0,1.097,2024-10-22,DET,1,NYI,0,Lost,2.0
"2024-10-24 - NJ 3, DET 5",DET,35.86,61.52,23.16,44.18,13.6,32.77,1.87,0.0,0.89,2.4,15.27,29.36,2.8,7.46,1.89,4.22,0.94,0.0,12.58,21.77,4.84,10.3,0.96,0.0,18.21,37.53,5.92,15.02,0.0,0.0,1.137,2024-10-24,NJ,3,DET,5,Won,1.0
"2024-10-26 - DET 3, BUF 5",DET,36.45,58.99,27.11,43.1,19.29,32.91,2.03,2.92,1.13,1.84,13.84,20.92,2.98,6.93,0.97,6.01,1.04,0.99,10.69,14.16,6.99,6.95,1.02,0.94,35.15,34.55,11.15,15.99,0.0,0.95,1.016,2024-10-26,DET,3,BUF,5,Won,1.0
"2024-10-27 - EDM 3, DET 2",DET,50.59,60.66,35.89,42.1,24.52,31.32,1.89,2.02,3.05,2.28,30.82,30.18,11.72,7.14,8.83,5.08,0.94,0.0,19.33,22.69,10.94,10.08,0.95,0.0,17.93,29.34,4.31,14.12,0.0,1.88,1.012,2024-10-27,EDM,3,DET,2,Lost,0.0
"2024-10-30 - WPG 6, DET 2",DET,37.95,54.04,25.88,44.14,15.53,29.21,0.0,5.34,1.06,2.49,9.61,31.75,2.63,13.6,0.82,7.86,0.0,3.21,6.84,18.52,2.66,8.82,0.0,1.04,29.17,33.23,11.75,11.5,0.0,1.11,0.817,2024-10-30,WPG,6,DET,2,Lost,2.0
