Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2024-10-08 - BOS 4, FLA 6",FLA,57.61,29.76,43.62,23.86,28.29,13.78,4.91,2.01,4.03,2.4,31.36,17.12,16.36,6.76,10.32,4.76,3.87,1.02,15.09,10.16,7.21,4.82,1.0,1.0,21.62,13.61,9.52,4.26,0.0,0.0,1.028,2024-10-08,BOS,4,FLA,6,Won,
"2024-10-10 - FLA 1, OTT 3",FLA,62.34,42.13,37.42,32.24,22.95,23.99,1.01,0.99,1.95,1.1,25.64,14.06,7.98,3.01,4.94,3.04,0.0,0.0,17.28,11.29,6.96,6.04,0.0,0.94,39.25,32.05,10.02,13.13,0.93,0.0,1.003,2024-10-10,FLA,1,OTT,3,Won,1.0
"2024-10-12 - FLA 2, BUF 5",FLA,32.78,59.63,20.79,46.29,16.84,24.85,1.06,3.84,0.98,2.67,10.18,25.1,4.25,13.84,4.21,4.91,0.0,0.92,5.82,11.31,4.03,4.92,1.05,1.92,22.82,35.82,6.57,14.43,0.0,1.06,0.908,2024-10-12,FLA,2,BUF,5,Won,1.0
"2024-10-14 - FLA 4, BOS 3",FLA,36.05,32.14,30.37,27.0,20.44,19.64,1.08,2.82,1.53,0.96,19.61,11.06,5.53,4.52,5.51,4.55,0.0,0.94,14.23,6.47,6.32,4.75,1.04,1.99,19.53,28.49,8.72,10.27,0.0,0.0,0.909,2024-10-14,FLA,4,BOS,3,Lost,1.0
"2024-10-15 - FLA 4, CBJ 3",FLA,38.23,47.51,25.1,37.78,18.7,26.33,4.16,0.94,1.21,2.0,15.69,19.07,3.25,8.49,3.22,6.63,2.14,0.94,12.37,10.54,4.15,4.93,1.06,0.0,31.2,34.97,10.31,13.68,0.94,0.0,1.186,2024-10-15,FLA,4,CBJ,3,Lost,0.0
"2024-10-17 - VAN 3, FLA 2",FLA,56.06,50.9,39.02,41.62,25.79,30.07,0.92,2.11,2.95,2.34,21.55,20.09,7.27,11.82,5.56,8.55,0.0,1.06,14.32,8.36,5.79,4.11,0.0,0.0,42.1,28.92,13.46,13.35,0.89,1.05,0.966,2024-10-17,VAN,3,FLA,2,Lost,1.0
"2024-10-19 - VGK 3, FLA 4",FLA,69.23,52.18,46.42,36.46,37.07,23.84,1.85,3.17,3.01,2.5,26.13,23.18,9.09,13.9,7.33,7.44,0.92,2.12,17.05,9.39,7.64,4.11,0.0,1.05,45.92,30.03,20.36,10.14,0.89,0.0,0.917,2024-10-19,VGK,3,FLA,4,Won,1.0
"2024-10-22 - MIN 5, FLA 1",FLA,51.25,47.91,32.9,34.07,21.83,23.81,0.92,4.26,1.95,2.14,20.63,21.33,9.25,11.57,5.84,3.42,0.91,1.06,11.11,9.91,4.51,6.47,0.0,1.04,35.1,19.61,11.28,10.62,0.0,2.23,0.863,2024-10-22,MIN,5,FLA,1,Lost,2.0
"2024-10-24 - FLA 3, NYR 1",FLA,57.75,32.9,42.35,24.65,26.56,15.99,3.21,0.95,2.89,1.64,27.85,15.94,13.44,7.88,11.17,6.15,2.14,0.93,14.74,7.87,5.44,1.86,0.0,0.0,29.53,20.69,9.01,7.69,1.11,0.0,1.061,2024-10-24,FLA,3,NYR,1,Lost,1.0
"2024-10-26 - FLA 6, NYI 3",FLA,48.73,52.41,40.49,40.2,23.91,23.69,4.09,2.92,2.66,2.31,19.32,22.23,9.38,9.64,7.33,5.9,3.1,1.95,9.87,12.62,3.04,5.84,1.0,0.0,29.6,30.82,9.6,8.62,0.0,0.95,1.048,2024-10-26,FLA,6,NYI,3,Lost,1.0
