Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2024-10-10 - LA 3, BUF 1",LA,37.1,45.4,23.74,29.04,16.45,13.61,1.01,0.0,1.15,1.88,23.07,25.64,4.26,11.17,3.16,3.78,0.0,0.0,18.65,14.48,8.25,3.89,1.06,0.0,12.29,15.53,4.06,4.93,0.0,0.0,1.061,2024-10-10,LA,3,BUF,1,Lost,
"2024-10-12 - LA 1, BOS 2",LA,39.57,33.61,25.1,20.13,17.73,12.44,1.06,0.0,1.29,0.94,15.78,11.36,8.52,1.87,3.16,0.0,1.06,0.0,7.32,9.57,3.13,2.87,0.0,0.0,22.86,20.24,10.4,9.69,0.0,0.0,1.06,2024-10-12,LA,1,BOS,2,Won,1.0
"2024-10-14 - LA 7, OTT 8",LA,36.85,57.08,26.27,40.21,18.89,29.1,4.22,2.8,1.62,2.24,17.89,26.18,8.6,7.6,7.55,5.77,3.17,0.0,9.28,18.49,3.06,7.44,1.05,1.92,21.14,35.42,7.46,15.92,0.0,0.88,1.127,2024-10-14,LA,7,OTT,8,Won,1.0
"2024-10-16 - LA 2, TOR 6",LA,53.25,29.4,41.03,21.28,27.38,18.04,2.01,3.91,3.91,0.98,26.65,10.29,12.65,5.01,7.68,5.08,1.02,3.87,13.83,5.35,6.71,4.12,1.0,0.0,31.05,20.92,12.67,6.75,0.0,0.0,0.856,2024-10-16,LA,2,TOR,6,Won,1.0
"2024-10-17 - LA 4, MTL 1",LA,59.12,39.47,40.23,28.23,28.35,20.67,3.14,0.94,2.05,1.55,22.76,23.15,9.78,9.21,5.39,7.46,0.0,0.94,13.17,13.74,4.2,5.61,1.05,0.0,35.28,16.11,16.65,5.66,2.05,0.0,1.065,2024-10-17,LA,4,MTL,1,Lost,0.0
"2024-10-20 - LA 4, ANA 1",LA,58.67,29.16,42.66,20.02,30.71,10.5,2.13,0.95,2.43,1.08,22.45,10.31,9.76,4.54,6.52,3.63,2.14,0.93,12.77,5.79,5.21,1.94,0.0,0.0,44.52,18.0,16.81,3.94,0.0,0.0,0.979,2024-10-20,LA,4,ANA,1,Lost,2.0
"2024-10-22 - LA 1, VGK 6",LA,59.21,50.45,44.6,36.59,26.86,26.94,1.0,3.96,3.26,2.73,31.6,24.2,16.54,11.3,7.65,7.3,1.02,2.92,14.97,13.05,3.76,3.15,0.0,0.98,31.36,26.4,14.04,14.63,0.0,0.0,0.89,2024-10-22,LA,1,VGK,6,Won,1.0
"2024-10-24 - SJ 2, LA 3",LA,42.72,36.24,34.63,20.32,25.12,14.8,2.92,0.0,2.83,1.81,22.3,12.55,13.06,8.88,9.15,5.84,1.95,0.0,9.19,3.72,5.02,1.91,0.95,0.0,22.63,20.38,10.94,6.02,0.0,0.0,1.116,2024-10-24,SJ,2,LA,3,Won,1.0
"2024-10-26 - UHC 2, LA 3",LA,40.14,48.63,29.42,34.37,20.43,23.61,1.98,2.03,1.33,1.62,15.93,22.17,4.89,6.02,3.0,3.91,0.0,1.04,11.19,15.98,4.96,9.1,0.94,0.0,23.76,29.82,9.47,9.61,1.06,0.93,1.011,2024-10-26,UHC,2,LA,3,Won,1.0
"2024-10-29 - LA 2, SJ 4",LA,54.78,34.25,36.55,23.5,22.3,14.64,2.02,2.83,2.98,1.24,29.93,19.14,12.47,5.67,7.13,4.79,2.02,0.94,17.35,13.58,5.12,4.86,0.0,0.95,24.22,15.79,9.12,4.93,0.0,0.95,0.897,2024-10-29,LA,2,SJ,4,Won,2.0
"2024-10-30 - VGK 3, LA 6",LA,49.45,43.59,40.24,35.96,25.39,20.93,4.91,2.01,1.77,1.96,17.32,18.44,7.19,6.98,4.2,3.93,0.98,1.02,10.2,11.23,7.02,5.88,0.98,1.0,29.55,31.43,12.23,8.15,3.07,0.0,1.097,2024-10-30,VGK,3,LA,6,Won,0.0
"2024-11-02 - CHI 4, LA 3",LA,54.41,33.59,37.67,23.36,26.42,15.43,1.93,2.03,1.88,0.91,19.83,17.07,7.85,3.07,4.92,0.99,1.93,0.0,12.11,13.74,3.99,8.02,0.0,1.02,41.19,18.77,15.74,6.39,0.0,0.94,0.942,2024-11-02,CHI,4,LA,3,Lost,2.0
"2024-11-04 - LA 3, NSH 0",LA,45.55,28.76,33.54,21.82,20.34,13.73,2.13,0.0,2.67,1.05,20.57,14.5,9.86,7.14,4.33,2.66,1.08,0.0,10.82,7.25,5.32,2.83,1.05,0.0,25.88,15.23,9.57,8.16,0.0,0.0,1.105,2024-11-04,LA,3,NSH,0,Lost,1.0
"2024-11-05 - LA 5, MIN 1",LA,52.7,33.0,42.82,22.93,23.61,18.52,3.14,0.94,2.39,0.68,27.82,10.37,9.99,1.82,7.8,1.83,3.16,0.0,17.75,8.61,6.19,4.93,0.0,0.95,29.45,22.67,9.84,8.7,0.0,0.0,1.082,2024-11-05,LA,5,MIN,1,Lost,0.0
"2024-11-07 - VAN 4, LA 2",LA,31.45,44.76,22.68,30.67,14.69,16.93,1.89,2.13,0.71,2.08,9.83,20.52,3.57,9.64,1.81,4.29,0.94,1.06,6.1,11.13,3.69,5.39,0.0,0.0,19.07,27.66,6.23,6.17,0.88,1.11,1.003,2024-11-07,VAN,4,LA,2,Lost,1.0
"2024-11-09 - CBJ 2, LA 5",LA,33.39,45.04,26.41,28.95,14.51,19.99,2.86,1.06,1.21,2.03,13.42,19.25,5.53,8.31,2.78,7.17,0.99,1.06,7.98,10.84,2.97,4.08,0.95,0.0,18.88,26.27,8.77,6.91,0.89,0.0,1.144,2024-11-09,CBJ,2,LA,5,Won,1.0
"2024-11-11 - LA 1, CGY 3",LA,71.85,51.24,39.75,32.93,26.1,22.13,0.0,1.93,2.2,1.41,27.65,22.53,8.06,5.76,4.87,3.86,0.0,0.0,19.14,17.02,3.95,6.88,0.0,1.89,43.89,24.07,15.05,10.59,0.0,0.0,0.913,2024-11-11,LA,1,CGY,3,Won,1.0
"2024-11-13 - LA 2, COL 4",LA,34.73,52.08,21.61,35.28,13.11,22.74,2.11,2.79,1.41,2.52,9.33,21.45,5.32,12.16,3.1,7.46,2.12,1.84,4.02,9.07,2.03,5.66,0.0,0.95,24.41,32.5,6.91,9.61,0.0,0.0,1.038,2024-11-13,LA,2,COL,4,Won,1.0
"2024-11-16 - DET 1, LA 4",LA,72.8,50.66,59.04,20.97,38.44,15.23,2.92,0.0,3.5,0.9,33.1,21.72,13.68,3.91,6.76,1.93,1.93,0.0,19.7,17.41,10.29,8.03,0.98,0.0,46.21,20.11,21.85,3.4,0.0,0.0,1.076,2024-11-16,DET,1,LA,4,Won,2.0
"2024-11-20 - BUF 1, LA 0",LA,43.21,41.09,32.11,26.4,17.89,15.74,0.0,0.0,2.64,1.86,21.49,14.85,11.89,9.69,7.39,5.39,0.0,0.0,9.49,5.26,1.9,1.03,0.0,0.0,28.19,26.36,8.44,7.27,0.0,0.0,1.0,2024-11-20,BUF,1,LA,0,Lost,3.0
"2024-11-23 - SEA 1, LA 2",LA,52.27,32.26,32.51,21.51,18.57,13.71,0.94,0.0,2.05,1.41,23.51,15.8,8.49,9.14,5.76,3.0,0.0,0.0,15.25,6.58,5.07,3.95,0.95,0.0,24.97,18.17,6.65,6.8,0.0,0.0,1.051,2024-11-23,SEA,1,LA,2,Won,2.0
"2024-11-25 - LA 2, SJ 7",LA,49.38,32.13,36.47,27.72,21.69,18.61,2.07,4.8,2.21,1.07,24.4,10.74,11.52,2.8,9.28,0.95,1.06,0.94,12.82,8.01,4.04,4.12,1.06,1.0,25.03,20.39,7.58,10.73,0.0,2.9,0.838,2024-11-25,LA,2,SJ,7,Won,1.0
"2024-11-27 - WPG 1, LA 4",LA,60.41,31.99,45.94,20.16,29.22,10.54,1.98,0.0,2.93,0.96,27.33,10.89,10.97,6.99,7.06,3.93,0.99,0.0,16.69,3.91,6.1,1.0,0.94,0.0,39.02,23.15,11.91,4.5,0.0,0.0,1.068,2024-11-27,WPG,1,LA,4,Won,1.0
"2024-11-29 - LA 2, ANA 1",LA,45.6,46.92,29.03,39.28,15.43,22.09,2.07,0.94,1.75,2.1,19.83,14.1,8.45,5.5,3.16,5.56,1.06,0.94,11.37,8.55,3.06,3.87,1.06,0.0,22.94,32.96,8.19,10.68,0.0,0.0,1.091,2024-11-29,LA,2,ANA,1,Lost,1.0
"2024-11-30 - OTT 2, LA 5",LA,50.93,52.02,35.58,34.72,22.85,20.84,2.81,2.07,1.8,1.93,22.14,29.39,8.49,8.11,5.68,6.03,0.94,0.0,13.69,21.03,6.92,7.12,0.96,2.11,22.73,23.25,7.27,6.74,0.95,0.0,1.024,2024-11-30,OTT,2,LA,5,Won,0.0
"2024-12-04 - DAL 2, LA 3",LA,34.63,60.96,23.12,42.96,15.07,26.42,2.82,1.08,1.34,2.0,13.93,25.25,9.28,7.32,6.58,5.22,1.87,0.0,4.55,17.97,0.0,5.22,0.0,1.04,22.48,35.78,7.27,15.04,0.89,0.0,1.146,2024-12-04,DAL,2,LA,3,Won,3.0
