Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2024-10-10 - CBJ 2, MIN 3",MIN,32.43,47.47,26.08,30.92,20.11,21.86,1.89,1.01,1.47,1.64,15.91,17.42,5.87,6.33,4.94,4.15,0.0,0.0,10.21,10.98,4.99,5.04,0.95,1.06,24.05,28.51,10.13,8.71,0.95,0.0,1.048,2024-10-10,CBJ,2,MIN,3,Won,
"2024-10-12 - SEA 5, MIN 4",MIN,50.79,40.82,33.58,32.98,30.63,25.97,2.83,2.03,1.63,1.2,22.42,14.22,8.54,6.06,8.64,2.96,1.88,1.04,13.98,8.1,5.88,4.06,0.95,1.06,27.95,25.69,13.0,16.64,0.0,0.0,1.014,2024-10-12,SEA,5,MIN,4,Lost,1.0
"2024-10-13 - MIN 1, WPG 2",MIN,45.99,61.23,36.52,44.06,24.87,28.9,1.06,0.0,1.89,2.2,16.83,18.86,7.46,5.56,5.27,2.78,0.0,0.0,9.39,13.35,4.11,5.79,0.0,0.0,37.71,39.51,15.47,17.75,1.05,0.0,1.042,2024-10-13,MIN,1,WPG,2,Won,0.0
"2024-10-15 - MIN 4, STL 1",MIN,55.25,51.42,39.75,33.76,23.75,17.01,1.05,0.92,1.87,1.94,23.74,26.5,8.04,8.79,4.61,3.53,1.07,0.0,15.98,17.3,6.61,9.1,0.0,0.96,32.23,27.22,10.35,4.53,0.0,0.0,0.99,2024-10-15,MIN,4,STL,1,Lost,1.0
"2024-10-19 - MIN 3, CBJ 1",MIN,56.15,30.86,42.14,20.59,28.76,10.85,2.11,0.92,3.1,0.82,25.62,11.49,12.32,3.53,9.01,1.77,1.06,0.0,13.58,7.79,5.41,4.57,0.0,0.96,35.83,20.38,14.57,3.68,1.12,0.0,0.989,2024-10-19,MIN,3,CBJ,1,Lost,3.0
"2024-10-22 - MIN 5, FLA 1",MIN,47.91,51.25,34.07,32.9,23.81,21.83,4.26,0.92,2.14,1.95,21.33,20.63,11.57,9.25,3.42,5.84,1.06,0.91,9.91,11.11,6.47,4.51,1.04,0.0,19.61,35.1,10.62,11.28,2.23,0.0,1.137,2024-10-22,MIN,5,FLA,1,Lost,2.0
"2024-10-24 - MIN 4, TB 2",MIN,33.97,47.14,20.28,27.93,13.69,20.8,2.07,0.94,1.01,1.25,10.55,23.8,3.13,3.7,3.1,0.89,1.01,0.0,7.43,19.9,1.07,9.48,0.0,0.95,24.46,24.04,7.36,10.59,1.05,0.0,1.106,2024-10-24,MIN,4,TB,2,Lost,1.0
"2024-10-26 - MIN 5, PHI 7",MIN,42.39,41.41,24.79,30.79,14.55,19.66,4.09,3.82,1.33,2.41,16.62,19.55,5.96,10.37,2.94,9.46,1.01,2.82,10.39,9.25,4.98,2.97,2.08,0.94,23.1,17.21,6.62,4.04,0.94,0.0,1.087,2024-10-26,MIN,5,PHI,7,Won,1.0
"2024-10-29 - MIN 5, PIT 3",MIN,54.95,43.03,45.25,29.43,32.17,24.17,4.16,1.94,2.16,1.7,21.4,15.29,10.66,7.04,7.37,4.4,2.14,0.93,10.94,8.09,7.37,3.78,1.06,0.94,37.28,32.46,14.17,14.09,0.93,0.0,1.049,2024-10-29,MIN,5,PIT,3,Lost,2.0
"2024-11-01 - TB 3, MIN 5",MIN,35.79,35.87,27.04,24.53,15.49,19.47,2.81,0.0,1.5,1.03,17.07,14.63,3.74,5.33,1.89,4.22,0.94,0.0,13.43,9.25,5.79,4.11,0.96,0.0,21.47,21.46,6.9,8.11,0.95,0.0,1.181,2024-11-01,TB,3,MIN,5,Won,2.0
"2024-11-03 - TOR 1, MIN 2",MIN,60.27,36.31,39.75,26.36,28.25,17.29,0.94,0.0,2.25,1.25,22.89,19.66,8.48,6.33,4.79,6.26,0.94,0.0,14.48,13.22,4.86,3.09,0.0,0.0,36.29,24.04,16.76,7.93,0.0,0.0,1.033,2024-11-03,TOR,1,MIN,2,Won,1.0
"2024-11-05 - LA 5, MIN 1",MIN,33.0,52.7,22.93,42.82,18.52,23.61,0.94,3.14,0.68,2.39,10.37,27.82,1.82,9.99,1.83,7.8,0.0,3.16,8.61,17.75,4.93,6.19,0.95,0.0,22.67,29.45,8.7,9.84,0.0,0.0,0.918,2024-11-05,LA,5,MIN,1,Lost,1.0
