Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2024-10-09 - TOR 0, MTL 1",MTL,34.28,81.27,21.6,63.0,18.5,38.86,0.0,0.0,1.56,4.94,18.03,38.93,2.99,18.05,2.02,6.94,0.0,0.0,15.29,20.62,10.94,10.08,0.0,0.0,13.67,39.53,4.22,17.72,0.0,0.0,1.0,2024-10-09,TOR,0,MTL,1,Won,
"2024-10-10 - MTL 4, BOS 6",MTL,37.57,44.98,30.66,30.31,17.27,22.13,3.08,4.83,1.81,2.22,17.71,27.51,9.15,9.56,8.05,6.77,3.12,0.96,8.47,18.16,2.98,8.94,0.0,3.79,25.04,20.89,3.48,6.27,0.0,0.0,0.96,2024-10-10,MTL,4,BOS,6,Won,0.0
"2024-10-12 - OTT 1, MTL 4",MTL,32.5,33.61,21.23,26.75,19.07,18.92,2.96,1.0,1.43,1.81,17.39,13.73,8.03,4.94,6.12,2.92,0.96,0.0,9.55,8.62,5.11,2.98,0.98,0.0,13.25,20.34,5.61,12.47,1.06,0.94,1.102,2024-10-12,OTT,1,MTL,4,Won,1.0
"2024-10-14 - PIT 6, MTL 3",MTL,37.64,70.2,25.53,48.22,17.11,29.56,1.89,5.28,1.78,4.81,18.64,33.61,9.24,18.61,6.5,11.92,0.0,3.22,9.25,15.26,3.84,2.13,0.95,0.0,20.89,37.72,6.63,14.58,0.88,1.99,0.932,2024-10-14,PIT,6,MTL,3,Lost,1.0
"2024-10-17 - LA 4, MTL 1",MTL,39.47,59.12,28.23,40.23,20.67,28.35,0.94,3.14,1.55,2.05,23.15,22.76,9.21,9.78,7.46,5.39,0.94,0.0,13.74,13.17,5.61,4.2,0.0,1.05,16.11,35.28,5.66,16.65,0.0,2.05,0.935,2024-10-17,LA,4,MTL,1,Lost,2.0
"2024-10-19 - MTL 3, NYI 4",MTL,38.94,51.02,30.18,34.29,18.0,24.59,2.02,1.93,2.17,1.85,25.8,21.21,8.38,8.55,6.18,6.76,0.0,0.94,17.25,12.72,8.12,6.83,1.06,0.94,13.63,28.43,2.86,9.86,0.94,0.0,1.034,2024-10-19,MTL,3,NYI,4,Won,1.0
"2024-10-22 - NYR 7, MTL 2",MTL,35.98,76.62,25.49,58.99,17.98,39.1,0.92,6.4,1.58,5.15,16.38,42.88,6.67,19.87,4.13,12.86,0.91,3.25,9.52,23.44,4.47,12.32,0.0,0.0,19.76,27.2,8.32,11.59,0.0,3.29,0.887,2024-10-22,NYR,7,MTL,2,Lost,2.0
"2024-10-26 - STL 2, MTL 5",MTL,53.59,48.29,35.59,32.79,24.57,22.33,2.92,2.03,2.3,2.28,29.68,24.7,6.67,9.94,2.9,5.88,0.0,2.05,23.4,14.56,10.95,7.07,2.83,0.0,22.66,21.8,7.41,9.39,0.0,0.0,1.028,2024-10-26,STL,2,MTL,5,Won,3.0
"2024-10-27 - MTL 4, PHI 3",MTL,44.86,45.03,31.6,31.7,20.63,16.86,3.16,1.84,2.56,1.73,20.56,21.85,6.44,7.84,4.28,3.44,2.12,0.0,14.28,13.78,7.45,7.34,0.97,0.96,23.39,27.62,7.81,5.21,0.0,0.89,1.044,2024-10-27,MTL,4,PHI,3,Lost,0.0
"2024-10-29 - SEA 8, MTL 2",MTL,41.7,38.81,29.43,24.21,17.74,16.01,1.83,4.3,2.83,2.07,21.02,18.55,9.96,8.15,5.81,5.82,1.82,2.18,10.77,10.56,5.28,4.48,0.0,0.0,25.14,19.83,6.58,5.7,0.0,2.16,0.835,2024-10-29,SEA,8,MTL,2,Lost,1.0
