Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2024-10-04 - NJ 4, BUF 1",NJ,45.59,50.41,34.91,37.43,21.04,22.68,3.18,0.92,2.33,2.24,22.59,24.18,8.08,10.37,2.25,4.37,1.07,0.91,14.68,13.54,7.45,4.42,1.05,0.0,23.95,37.24,11.5,12.88,1.11,0.0,1.111,2024-10-04,NJ,4,BUF,1,Lost,
"2024-10-05 - BUF 1, NJ 3",NJ,42.12,55.72,35.15,35.48,25.49,16.1,1.93,1.06,2.44,1.45,18.13,17.74,10.36,7.51,5.8,3.16,1.93,1.06,7.72,10.18,6.8,1.03,0.0,0.0,25.87,34.91,11.98,10.64,0.0,0.0,1.01,2024-10-05,BUF,1,NJ,3,Won,0.0
"2024-10-10 - TOR 4, NJ 2",NJ,43.61,44.2,24.29,28.95,12.1,22.08,0.92,4.23,1.27,1.87,17.28,16.99,4.28,8.01,2.59,5.71,0.0,1.07,12.71,9.14,6.27,6.54,0.96,2.02,28.15,28.1,3.31,8.79,0.0,1.11,0.884,2024-10-10,TOR,4,NJ,2,Lost,4.0
"2024-10-12 - NJ 5, WSH 3",NJ,47.22,40.13,31.04,30.23,25.48,23.14,4.2,1.87,1.91,1.64,20.42,16.21,8.68,4.41,8.61,3.55,2.12,0.92,11.89,11.61,5.27,6.52,2.1,1.03,23.49,25.9,9.61,13.15,0.0,0.0,1.084,2024-10-12,NJ,5,WSH,3,Lost,1.0
"2024-10-14 - UHC 0, NJ 3",NJ,36.28,28.81,19.54,19.5,14.44,12.6,0.99,0.0,1.52,1.83,13.98,8.99,6.94,5.26,5.04,3.1,0.99,0.0,7.07,3.64,0.97,0.97,0.0,0.0,19.91,18.18,8.62,8.25,0.0,0.0,1.068,2024-10-14,UHC,0,NJ,3,Won,1.0
"2024-10-15 - NJ 2, CAR 4",NJ,50.32,70.2,37.37,44.93,25.06,28.56,1.06,2.86,2.78,3.33,26.71,30.61,10.23,15.29,7.09,11.61,0.0,0.99,16.41,15.23,9.26,5.79,1.05,1.91,28.85,46.95,8.71,11.03,0.0,0.0,0.942,2024-10-15,NJ,2,CAR,4,Won,0.0
"2024-10-17 - NJ 3, OTT 1",NJ,58.23,46.21,40.37,38.63,28.51,25.41,2.11,0.0,2.14,1.75,24.13,23.53,11.07,5.31,6.74,2.7,2.13,0.0,13.26,18.05,5.42,12.17,0.0,0.0,37.11,23.73,15.52,8.59,0.0,0.0,1.074,2024-10-17,NJ,3,OTT,1,Lost,1.0
"2024-10-19 - WSH 6, NJ 5",NJ,43.25,57.02,33.47,40.8,23.24,30.87,3.77,5.28,2.03,2.4,21.88,29.03,8.85,14.11,6.17,9.68,0.93,5.29,12.98,15.11,11.46,3.15,1.91,0.0,20.81,27.16,3.63,14.13,0.88,0.0,0.991,2024-10-19,WSH,6,NJ,5,Lost,1.0
"2024-10-22 - TB 8, NJ 5",NJ,45.21,51.81,31.74,43.45,25.68,30.96,2.8,5.28,1.94,3.05,20.46,21.5,9.12,10.82,8.3,8.71,2.79,2.15,11.12,10.77,6.27,5.25,0.0,1.04,30.18,29.52,8.38,14.91,0.0,1.99,0.939,2024-10-22,TB,8,NJ,5,Lost,2.0
"2024-10-24 - NJ 3, DET 5",NJ,61.52,35.86,44.18,23.16,32.77,13.6,0.0,1.87,2.4,0.89,29.36,15.27,7.46,2.8,4.22,1.89,0.0,0.94,21.77,12.58,10.3,4.84,0.0,0.96,37.53,18.21,15.02,5.92,0.0,0.0,0.863,2024-10-24,NJ,3,DET,5,Won,1.0
"2024-10-25 - NYI 4, NJ 3",NJ,47.63,44.7,34.43,31.27,22.81,20.44,1.85,2.11,2.27,2.21,21.7,19.61,12.46,8.89,7.09,7.73,0.92,1.06,8.99,10.85,4.68,4.16,0.96,1.05,23.44,27.11,10.87,8.72,0.0,0.0,0.978,2024-10-25,NYI,4,NJ,3,Lost,0.0
"2024-10-27 - ANA 2, NJ 6",NJ,55.63,32.66,44.87,24.16,28.24,16.31,2.92,2.06,2.65,1.01,28.74,7.01,6.36,4.11,2.86,2.96,0.96,1.02,22.54,2.91,13.59,1.03,1.95,0.0,34.02,23.32,11.92,9.85,0.0,1.05,0.977,2024-10-27,ANA,2,NJ,6,Won,1.0
"2024-10-30 - NJ 6, VAN 0",NJ,55.94,32.34,39.04,27.1,19.47,12.75,4.27,0.0,2.38,1.45,32.06,11.05,17.55,6.58,9.41,3.26,2.18,0.0,14.89,4.33,2.13,0.88,2.02,0.0,23.46,25.5,4.78,5.73,0.0,0.0,1.219,2024-10-30,NJ,6,VAN,0,Lost,2.0
"2024-11-01 - NJ 0, CGY 3",NJ,37.82,43.83,21.54,32.98,15.42,25.33,0.0,1.93,1.23,1.22,11.53,19.08,7.46,4.74,5.27,3.85,0.0,1.93,4.14,14.48,1.03,8.74,0.0,0.0,27.32,29.41,7.1,11.83,0.0,0.0,0.924,2024-11-01,NJ,0,CGY,3,Won,1.0
"2024-11-04 - NJ 3, EDM 0",NJ,30.02,45.13,18.65,34.17,15.29,22.74,2.11,0.0,1.37,2.47,11.03,25.21,6.76,11.71,4.49,9.07,1.07,0.0,4.31,13.19,1.03,3.67,1.05,0.0,18.92,23.76,8.81,8.03,0.0,0.0,1.138,2024-11-04,NJ,3,EDM,0,Lost,2.0
"2024-11-07 - MTL 3, NJ 5",NJ,43.57,41.98,29.23,27.63,20.88,21.02,3.91,3.04,2.16,1.68,21.27,20.59,8.96,8.95,6.02,5.9,1.93,2.07,12.54,11.46,5.02,5.96,1.88,0.0,24.93,22.09,8.89,8.23,0.0,0.93,1.042,2024-11-07,MTL,3,NJ,5,Won,2.0
"2024-11-09 - NJ 4, NYI 3",NJ,49.81,43.61,36.11,33.58,22.95,20.92,1.01,2.88,2.49,2.2,27.61,27.1,11.33,10.59,7.11,5.93,1.04,1.93,16.15,16.64,8.12,9.79,0.0,0.95,23.73,16.77,7.84,3.94,0.0,0.0,0.907,2024-11-09,NJ,4,NYI,3,Lost,1.0
"2024-11-10 - SJ 1, NJ 0",NJ,57.89,49.14,38.37,33.4,29.49,25.71,0.0,1.06,2.11,1.87,21.7,19.66,8.0,12.18,4.49,7.73,0.0,0.0,13.48,7.66,5.61,2.06,0.0,0.0,43.73,34.79,18.41,13.97,0.0,1.05,0.959,2024-11-10,SJ,1,NJ,0,Lost,0.0
"2024-11-12 - NJ 4, FLA 1",NJ,44.25,50.27,34.2,36.91,21.3,24.18,3.19,0.0,2.21,2.05,22.53,22.04,9.69,9.87,6.38,3.61,0.0,0.0,13.0,12.05,5.27,7.56,3.14,0.0,24.0,35.5,9.79,11.12,0.0,0.0,1.15,2024-11-12,NJ,4,FLA,1,Lost,1.0
"2024-11-14 - NJ 6, FLA 2",NJ,42.52,41.09,29.21,29.83,22.5,19.13,2.11,1.85,1.91,1.23,21.71,16.89,6.5,4.34,5.39,1.7,1.06,0.92,15.32,12.39,7.38,6.55,0.0,0.0,22.99,25.18,8.69,10.86,1.12,0.89,0.997,2024-11-14,NJ,6,FLA,2,Lost,1.0
"2024-11-16 - NJ 0, TB 4",NJ,42.07,37.46,25.0,29.97,18.22,19.69,0.0,1.93,1.21,1.69,10.91,18.19,4.07,7.99,3.04,3.97,0.0,0.0,6.68,10.33,1.88,8.11,0.0,0.94,36.54,24.09,12.84,6.47,0.0,0.95,0.902,2024-11-16,NJ,0,TB,4,Won,1.0
"2024-11-21 - CAR 2, NJ 4",NJ,46.01,49.01,35.72,30.63,15.73,17.17,1.87,1.06,1.71,1.45,23.06,23.01,8.43,5.37,1.83,2.11,0.92,1.06,14.69,17.55,2.85,3.06,0.0,0.0,25.82,20.03,9.33,8.85,0.95,0.0,1.057,2024-11-21,CAR,2,NJ,4,Won,4.0
"2024-11-23 - NJ 3, WSH 2",NJ,46.59,60.04,27.87,34.4,20.37,21.32,1.06,0.94,1.3,1.72,11.82,24.79,5.48,10.91,3.28,5.44,0.0,0.0,6.4,13.65,5.25,3.76,0.0,0.0,31.33,35.24,11.95,12.02,1.05,0.95,1.008,2024-11-23,NJ,3,WSH,2,Lost,1.0
"2024-11-25 - NSH 2, NJ 5",NJ,56.39,27.61,47.38,17.35,34.26,14.56,2.85,2.06,3.46,0.89,28.01,8.03,17.72,4.04,12.06,3.0,2.82,1.02,10.15,3.97,7.06,1.97,0.0,0.0,33.1,16.91,12.94,7.5,0.0,1.05,0.942,2024-11-25,NSH,2,NJ,5,Won,1.0
"2024-11-27 - STL 3, NJ 0",NJ,50.85,24.08,36.17,15.82,19.39,13.5,0.0,3.18,2.34,0.75,17.64,14.58,4.93,2.26,3.26,2.26,0.0,1.07,12.44,12.45,3.52,6.48,0.0,2.09,27.6,10.6,10.6,3.54,0.0,0.0,0.764,2024-11-27,STL,3,NJ,0,Lost,1.0
"2024-11-29 - NJ 5, DET 4",NJ,72.72,40.9,46.65,30.31,26.54,19.75,2.07,2.88,4.99,2.1,47.65,21.87,20.14,9.29,8.67,4.82,1.06,0.0,27.37,12.55,10.19,8.68,1.06,1.98,28.63,17.86,6.02,3.14,0.0,1.06,0.932,2024-11-29,NJ,5,DET,4,Lost,1.0
"2024-11-30 - WSH 6, NJ 5",NJ,31.61,48.86,22.32,39.32,15.85,24.81,2.79,3.19,1.27,2.46,12.13,23.38,4.53,9.57,4.56,8.49,1.84,2.12,7.56,13.93,3.76,7.26,0.95,1.04,18.64,28.37,7.49,9.12,0.0,0.0,1.048,2024-11-30,WSH,6,NJ,5,Lost,0.0
"2024-12-02 - NJ 5, NYR 1",NJ,52.04,43.26,35.28,29.12,23.75,21.58,3.22,0.0,3.19,1.69,24.96,17.21,16.16,7.68,10.5,5.92,1.09,0.0,8.99,9.27,4.23,5.39,2.09,0.0,25.66,31.23,8.23,8.36,0.0,0.0,1.135,2024-12-02,NJ,5,NYR,1,Lost,1.0
