Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2024-10-10 - FLA 1, OTT 3",OTT,42.13,62.34,32.24,37.42,23.99,22.95,0.99,1.01,1.1,1.95,14.06,25.64,3.01,7.98,3.04,4.94,0.0,0.0,11.29,17.28,6.04,6.96,0.94,0.0,32.05,39.25,13.13,10.02,0.0,0.93,0.997,2024-10-10,FLA,1,OTT,3,Won,
"2024-10-12 - OTT 1, MTL 4",OTT,33.61,32.5,26.75,21.23,18.92,19.07,1.0,2.96,1.81,1.43,13.73,17.39,4.94,8.03,2.92,6.12,0.0,0.96,8.62,9.55,2.98,5.11,0.0,0.98,20.34,13.25,12.47,5.61,0.94,1.06,0.898,2024-10-12,OTT,1,MTL,4,Won,1.0
"2024-10-14 - LA 7, OTT 8",OTT,57.08,36.85,40.21,26.27,29.1,18.89,2.8,4.22,2.24,1.62,26.18,17.89,7.6,8.6,5.77,7.55,0.0,3.17,18.49,9.28,7.44,3.06,1.92,1.05,35.42,21.14,15.92,7.46,0.88,0.0,0.873,2024-10-14,LA,7,OTT,8,Won,1.0
"2024-10-17 - NJ 3, OTT 1",OTT,46.21,58.23,38.63,40.37,25.41,28.51,0.0,2.11,1.75,2.14,23.53,24.13,5.31,11.07,2.7,6.74,0.0,2.13,18.05,13.26,12.17,5.42,0.0,0.0,23.73,37.11,8.59,15.52,0.0,0.0,0.926,2024-10-17,NJ,3,OTT,1,Lost,2.0
"2024-10-19 - TB 4, OTT 5",OTT,44.32,38.15,23.84,24.25,20.7,19.35,1.93,4.05,1.28,1.14,15.09,17.05,3.94,8.13,3.99,5.99,1.93,2.05,11.36,8.85,8.01,4.04,0.0,0.0,26.66,21.53,7.54,7.31,0.0,1.87,0.884,2024-10-19,TB,4,OTT,5,Won,1.0
"2024-10-22 - OTT 4, UHC 0",OTT,45.42,51.8,32.41,39.31,20.92,22.86,1.08,0.0,2.32,3.03,16.14,26.16,10.49,9.32,5.92,6.02,1.09,0.0,5.85,16.6,4.46,8.1,0.0,0.0,35.55,26.57,10.75,6.99,0.0,0.0,1.052,2024-10-22,OTT,4,UHC,0,Lost,2.0
"2024-10-25 - OTT 4, VGK 6",OTT,59.23,40.45,48.83,29.09,34.38,20.16,3.19,3.74,2.06,1.6,17.5,16.27,5.5,5.32,4.41,3.59,1.08,1.85,12.17,10.81,7.42,4.63,2.1,0.95,44.55,29.64,20.31,10.91,0.0,0.89,0.907,2024-10-25,OTT,4,VGK,6,Won,2.0
"2024-10-27 - OTT 4, COL 5",OTT,47.0,72.31,37.75,46.16,23.24,28.58,3.04,2.92,2.22,3.41,21.87,38.97,9.06,14.77,7.98,7.96,2.05,0.94,12.6,24.57,3.93,9.98,1.02,1.88,23.54,33.27,9.25,7.27,0.0,0.0,1.029,2024-10-27,OTT,4,COL,5,Won,1.0
"2024-10-29 - STL 1, OTT 8",OTT,61.88,37.29,45.44,26.44,33.35,18.22,5.91,0.0,2.64,1.06,30.4,15.93,10.2,3.87,6.15,3.8,1.92,0.0,20.65,11.65,9.38,4.7,3.92,0.0,27.99,20.23,13.68,7.71,0.0,0.0,1.177,2024-10-29,STL,1,OTT,8,Won,1.0
"2024-11-01 - OTT 1, NYR 2",OTT,58.75,26.05,44.21,18.49,29.74,13.39,1.01,0.94,1.65,0.78,23.73,11.0,6.05,1.99,3.93,2.02,1.04,0.0,17.32,9.15,10.95,5.98,0.0,0.0,34.57,19.08,11.98,5.29,0.0,0.95,0.964,2024-11-01,OTT,1,NYR,2,Won,2.0
