Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2024-10-09 - NYR 6, PIT 0",PIT,54.25,66.03,39.08,56.09,24.32,38.63,0.0,5.35,2.49,4.91,24.3,37.79,10.29,23.18,4.29,18.65,0.0,3.22,13.7,14.98,7.28,6.62,0.0,2.08,35.07,29.97,12.54,13.7,0.0,0.0,0.862,2024-10-09,NYR,6,PIT,0,Lost,
"2024-10-10 - PIT 6, DET 3",PIT,51.07,38.45,40.06,27.36,26.71,21.18,5.24,1.86,2.76,1.27,24.08,17.68,13.45,3.56,7.8,1.01,3.21,0.0,10.67,14.2,5.18,6.79,0.0,0.95,27.17,18.44,13.86,9.48,2.05,0.88,1.108,2024-10-10,PIT,6,DET,3,Lost,0.0
"2024-10-12 - PIT 2, TOR 4",PIT,46.54,38.44,27.36,30.02,16.1,24.97,1.01,2.86,1.07,1.42,17.72,15.65,4.36,6.72,1.05,5.78,0.0,0.92,13.22,8.97,4.01,6.87,1.02,1.89,29.06,21.25,10.97,10.19,0.0,0.0,0.949,2024-10-12,PIT,2,TOR,4,Won,1.0
"2024-10-14 - PIT 6, MTL 3",PIT,70.2,37.64,48.22,25.53,29.56,17.11,5.28,1.89,4.81,1.78,33.61,18.64,18.61,9.24,11.92,6.5,3.22,0.0,15.26,9.25,2.13,3.84,0.0,0.95,37.72,20.89,14.58,6.63,1.99,0.88,1.068,2024-10-14,PIT,6,MTL,3,Lost,1.0
"2024-10-16 - BUF 5, PIT 6",PIT,51.87,56.57,40.0,40.94,29.41,30.78,1.87,5.28,3.37,3.06,24.79,26.11,15.43,13.93,11.93,8.27,1.86,2.07,9.13,12.46,6.58,6.46,0.0,1.04,29.1,28.59,10.48,15.24,0.0,2.16,0.892,2024-10-16,BUF,5,PIT,6,Won,1.0
"2024-10-18 - CAR 4, PIT 1",PIT,28.35,69.67,20.35,48.19,13.85,31.96,0.94,2.06,1.05,3.53,14.63,41.05,6.29,19.81,1.81,16.37,0.0,2.08,8.25,21.36,4.65,8.33,0.95,0.0,17.71,31.87,7.39,6.45,0.0,0.0,1.004,2024-10-18,CAR,4,PIT,1,Lost,1.0
"2024-10-20 - PIT 3, WPG 6",PIT,76.37,54.56,55.67,44.46,38.91,31.72,2.09,2.86,4.53,3.19,34.34,28.26,19.09,13.9,12.63,12.02,1.08,1.86,15.31,14.26,7.28,6.71,0.0,0.0,43.43,28.31,17.8,10.82,0.94,1.06,0.964,2024-10-20,PIT,3,WPG,6,Won,1.0
"2024-10-22 - PIT 3, CGY 4",PIT,51.06,34.32,42.94,19.99,31.56,13.35,2.11,1.87,2.83,1.14,23.96,12.2,14.89,5.62,9.48,2.84,1.06,0.94,9.14,6.51,4.04,3.8,0.0,0.0,34.88,20.18,16.03,4.85,1.05,0.89,0.927,2024-10-22,PIT,3,CGY,4,Won,1.0
"2024-10-25 - PIT 0, EDM 4",PIT,46.93,83.8,31.71,65.0,21.69,47.07,0.0,2.92,2.35,4.92,21.19,48.32,7.3,23.27,3.06,14.74,0.0,0.96,13.67,25.09,5.0,13.83,0.0,0.94,23.08,45.41,12.4,17.29,0.0,0.95,0.938,2024-10-25,PIT,0,EDM,4,Won,2.0
"2024-10-26 - PIT 3, VAN 4",PIT,40.94,48.65,29.93,38.31,19.65,29.87,3.15,3.81,1.02,2.66,17.46,27.93,7.59,12.45,5.31,10.55,3.18,1.93,9.72,15.39,4.02,8.71,0.0,1.99,23.83,29.44,7.29,8.4,0.0,0.0,1.033,2024-10-26,PIT,3,VAN,4,Won,0.0
"2024-10-29 - MIN 5, PIT 3",PIT,43.03,54.95,29.43,45.25,24.17,32.17,1.94,4.16,1.7,2.16,15.29,21.4,7.04,10.66,4.4,7.37,0.93,2.14,8.09,10.94,3.78,7.37,0.94,1.06,32.46,37.28,14.09,14.17,0.0,0.93,0.951,2024-10-29,MIN,5,PIT,3,Lost,2.0
"2024-10-31 - ANA 1, PIT 2",PIT,80.45,48.95,55.07,34.93,35.12,22.04,0.92,1.06,4.05,2.05,37.38,17.0,18.28,9.69,10.94,6.44,0.0,1.06,18.98,7.41,8.66,4.11,0.96,0.0,43.97,29.85,13.46,9.47,0.0,0.0,0.978,2024-10-31,ANA,1,PIT,2,Won,1.0
"2024-11-02 - MTL 1, PIT 3",PIT,56.53,46.95,31.72,27.15,19.45,23.21,0.94,1.01,1.86,1.99,26.65,24.84,8.85,7.05,3.03,6.97,0.0,1.04,18.02,17.48,5.91,4.96,0.95,0.0,34.47,23.79,10.73,6.59,0.0,0.0,1.005,2024-11-02,MTL,1,PIT,3,Won,1.0
"2024-11-05 - PIT 3, NYI 4",PIT,57.15,37.35,45.55,30.3,31.65,18.5,2.13,1.85,2.63,1.51,27.94,15.61,16.45,5.4,10.84,3.61,2.14,1.84,11.63,10.12,5.23,4.73,0.0,0.0,28.41,25.56,11.5,10.1,0.0,0.0,0.968,2024-11-05,PIT,3,NYI,4,Won,2.0
"2024-11-07 - PIT 1, CAR 5",PIT,49.53,42.95,35.72,29.09,23.0,16.07,1.0,4.91,2.65,1.5,24.85,19.81,8.72,8.15,6.68,4.09,0.0,1.92,15.83,11.84,8.71,4.14,1.0,0.94,24.58,24.69,6.0,5.68,0.0,2.13,0.738,2024-11-07,PIT,1,CAR,5,Won,1.0
"2024-11-08 - PIT 4, WSH 2",PIT,57.52,47.49,41.22,36.58,30.43,24.5,3.19,1.87,2.94,3.18,24.68,23.14,10.81,12.78,9.6,10.17,3.2,0.92,14.03,10.17,5.32,6.64,0.0,0.0,33.65,28.78,13.49,5.52,0.0,0.88,1.028,2024-11-08,PIT,4,WSH,2,Lost,0.0
"2024-11-11 - DAL 7, PIT 1",PIT,30.62,53.83,24.46,40.13,17.69,32.02,0.92,5.35,1.71,2.03,17.8,28.64,9.04,9.32,6.52,8.17,0.91,2.16,8.55,19.59,4.49,10.96,0.0,1.05,13.81,23.55,5.64,10.61,0.0,2.23,0.885,2024-11-11,DAL,7,PIT,1,Lost,2.0
"2024-11-13 - DET 3, PIT 2",PIT,64.62,54.6,42.99,36.69,26.77,27.05,1.87,1.06,2.72,1.84,26.45,26.63,11.17,6.39,5.68,3.16,0.0,0.0,15.25,20.28,6.69,12.56,1.03,1.05,37.22,29.26,13.41,10.14,0.89,0.0,1.031,2024-11-13,DET,3,PIT,2,Lost,1.0
"2024-11-15 - PIT 2, CBJ 6",PIT,47.11,67.56,32.62,43.64,16.44,31.16,1.01,3.86,2.84,2.8,25.66,28.39,11.91,12.95,6.92,10.05,1.04,1.93,13.6,15.63,1.0,7.04,0.0,1.92,16.77,36.3,7.48,11.84,0.0,0.0,0.938,2024-11-15,PIT,2,CBJ,6,Won,1.0
"2024-11-16 - SJ 3, PIT 4",PIT,74.09,41.12,42.89,29.66,27.05,24.77,2.92,2.03,2.51,1.72,28.55,19.39,12.01,6.95,4.98,5.88,1.93,1.04,16.86,12.14,7.08,7.79,0.98,1.06,47.87,25.12,15.33,10.16,0.0,0.0,1.026,2024-11-16,SJ,3,PIT,4,Won,0.0
"2024-11-19 - TB 3, PIT 2",PIT,32.53,61.63,22.97,43.57,15.93,24.17,0.94,2.03,1.48,2.84,13.78,32.92,5.86,13.1,3.91,8.02,0.94,1.04,8.01,19.55,4.91,6.99,0.0,1.06,19.43,32.62,7.08,8.38,0.0,0.0,0.975,2024-11-19,TB,3,PIT,2,Lost,2.0
"2024-11-22 - WPG 4, PIT 1",PIT,31.18,57.74,21.18,43.58,10.6,27.67,0.0,2.13,0.67,2.93,12.4,25.68,4.43,14.55,0.87,6.66,0.0,2.14,7.76,11.41,3.66,3.24,0.0,0.0,20.68,38.4,6.0,16.91,0.0,0.0,0.923,2024-11-22,WPG,4,PIT,1,Lost,2.0
"2024-11-23 - UHC 6, PIT 1",PIT,39.24,46.54,25.75,37.05,17.88,25.64,0.0,3.22,1.44,2.7,18.57,30.07,6.16,12.49,4.47,12.49,0.0,2.15,12.11,17.82,2.76,6.47,0.0,1.04,27.83,23.01,10.38,6.85,0.0,0.0,0.875,2024-11-23,UHC,6,PIT,1,Lost,0.0
"2024-11-27 - VAN 4, PIT 5",PIT,40.72,41.2,29.32,24.53,16.73,19.9,3.87,3.02,1.67,1.14,17.15,16.38,7.65,2.98,5.78,1.97,1.88,1.01,9.66,12.96,3.15,6.73,1.98,1.0,24.06,27.44,6.75,10.94,0.0,0.94,1.08,2024-11-27,VAN,4,PIT,5,Won,3.0
"2024-11-29 - PIT 2, BOS 1",PIT,53.92,40.91,43.6,27.64,33.63,24.98,2.07,0.94,3.26,1.43,24.26,16.37,13.29,6.46,11.09,3.85,2.07,0.0,10.94,9.98,7.11,5.86,0.0,0.95,39.83,26.55,15.4,13.37,0.0,0.0,1.024,2024-11-29,PIT,2,BOS,1,Lost,1.0
"2024-11-30 - CGY 2, PIT 6",PIT,59.48,57.23,45.08,36.22,32.31,22.91,2.94,2.01,2.62,1.97,27.78,24.13,10.1,9.02,7.14,6.89,0.98,2.04,17.97,15.04,12.25,6.08,1.95,0.0,35.27,36.27,11.88,9.66,0.0,0.0,1.003,2024-11-30,CGY,2,PIT,6,Won,0.0
"2024-12-03 - FLA 4, PIT 5",PIT,41.12,68.56,29.06,50.94,13.46,36.43,3.91,3.03,1.53,2.95,19.19,34.77,6.93,15.08,4.02,11.86,0.96,2.06,12.43,19.42,4.02,9.91,1.88,1.02,24.59,35.4,5.28,13.71,0.95,0.0,1.207,2024-12-03,FLA,4,PIT,5,Won,2.0
"2024-12-06 - PIT 2, NYR 4",PIT,35.28,41.84,25.33,33.04,13.05,24.36,2.07,3.8,1.99,1.85,20.76,19.02,10.47,6.54,6.14,5.68,1.01,0.94,10.29,12.5,4.11,5.79,1.05,2.85,15.85,26.62,2.86,10.94,0.0,0.0,1.002,2024-12-06,PIT,2,NYR,4,Won,2.0
