Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2024-10-08 - STL 3, SEA 2",SEA,63.78,51.08,45.38,37.66,29.57,23.29,1.93,2.07,3.29,1.68,36.64,17.83,20.02,6.42,11.52,4.2,1.93,1.06,16.47,11.41,3.94,7.2,0.0,0.0,32.41,44.43,12.05,10.74,0.0,0.94,0.977,2024-10-08,STL,3,SEA,2,Lost,
"2024-10-12 - SEA 5, MIN 4",SEA,40.82,50.79,32.98,33.58,25.97,30.63,2.03,2.83,1.2,1.63,14.22,22.42,6.06,8.54,2.96,8.64,1.04,1.88,8.1,13.98,4.06,5.88,1.06,0.95,25.69,27.95,16.64,13.0,0.0,0.0,0.986,2024-10-12,SEA,5,MIN,4,Lost,3.0
"2024-10-13 - SEA 0, DAL 2",SEA,43.52,41.45,33.98,28.04,20.77,19.5,0.0,1.93,1.7,1.69,16.65,18.14,7.91,8.87,3.9,6.94,0.0,0.94,8.65,9.35,1.95,3.99,0.0,0.0,32.75,25.96,14.32,8.56,0.0,1.06,0.901,2024-10-13,SEA,0,DAL,2,Won,0.0
"2024-10-15 - SEA 7, NSH 3",SEA,45.56,37.32,38.34,25.48,28.12,19.41,6.37,1.87,1.92,0.99,20.99,14.16,9.95,3.49,7.67,2.62,3.19,1.85,11.29,10.49,6.46,3.66,2.08,0.0,27.43,29.39,12.83,11.04,1.05,0.0,1.13,2024-10-15,SEA,7,NSH,3,Lost,1.0
"2024-10-17 - PHI 4, SEA 6",SEA,48.59,40.96,33.14,26.47,20.51,16.46,4.83,3.12,1.77,1.63,18.18,15.32,8.43,5.1,3.91,2.05,2.92,1.06,9.76,10.18,2.97,3.08,0.98,1.0,24.32,27.42,9.75,10.13,0.89,1.05,1.046,2024-10-17,PHI,4,SEA,6,Won,1.0
"2024-10-19 - CGY 1, SEA 2",SEA,38.13,52.26,24.9,39.69,16.33,18.7,0.0,0.0,1.0,3.11,8.45,24.28,3.69,12.83,0.0,7.38,0.0,0.0,4.74,11.55,3.84,4.16,0.0,0.0,37.39,28.15,10.67,6.17,0.0,0.0,1.0,2024-10-19,CGY,1,SEA,2,Won,1.0
"2024-10-22 - COL 3, SEA 2",SEA,56.98,55.4,34.3,38.83,18.8,25.8,0.92,2.11,2.37,2.73,25.65,29.41,10.7,11.11,3.65,6.66,0.92,1.06,14.88,18.44,4.86,7.44,0.0,0.0,36.81,27.32,9.19,10.68,0.0,1.05,0.967,2024-10-22,COL,3,SEA,2,Lost,2.0
"2024-10-24 - WPG 4, SEA 3",SEA,48.9,51.96,38.04,35.29,26.92,33.07,2.82,3.14,1.95,1.39,20.58,10.34,5.48,5.19,3.71,5.14,0.93,2.07,15.14,5.17,11.57,3.15,1.91,1.04,29.27,48.62,7.62,19.52,0.0,0.0,1.01,2024-10-24,WPG,4,SEA,3,Lost,1.0
"2024-10-26 - CAR 4, SEA 1",SEA,15.99,72.79,11.68,49.84,8.14,23.01,0.95,2.15,0.66,3.13,8.09,39.92,4.4,13.46,1.75,4.47,0.93,2.16,3.61,26.86,1.86,12.92,0.0,0.0,11.72,39.09,4.48,5.47,0.0,0.0,1.023,2024-10-26,CAR,4,SEA,1,Lost,1.0
"2024-10-29 - SEA 8, MTL 2",SEA,38.81,41.7,24.21,29.43,16.01,17.74,4.3,1.83,2.07,2.83,18.55,21.02,8.15,9.96,5.82,5.81,2.18,1.82,10.56,10.77,4.48,5.28,0.0,0.0,19.83,25.14,5.7,6.58,2.16,0.0,1.165,2024-10-29,SEA,8,MTL,2,Lost,2.0
