Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2024-10-10 - STL 5, SJ 4",SJ,42.55,63.49,26.58,44.43,21.43,33.72,1.89,3.03,1.72,3.75,19.84,35.47,7.82,17.67,4.87,14.39,0.94,1.02,12.15,17.69,7.95,4.03,0.0,2.08,25.18,29.92,8.54,14.39,0.95,0.0,0.998,2024-10-10,STL,5,SJ,4,Lost,
"2024-10-12 - ANA 2, SJ 0",SJ,45.4,36.15,34.85,31.03,23.33,22.68,0.0,1.06,2.78,1.6,21.89,14.68,12.15,5.33,7.57,3.16,0.0,0.0,9.66,9.31,3.89,5.14,0.0,1.05,26.18,22.61,10.85,13.27,0.0,0.0,0.953,2024-10-12,ANA,2,SJ,0,Lost,1.0
"2024-10-15 - SJ 2, DAL 3",SJ,40.27,60.26,30.96,47.73,20.56,29.68,2.11,1.85,2.57,2.92,25.16,28.09,9.59,11.06,6.32,7.45,1.06,0.92,15.52,16.96,10.29,8.57,1.05,0.96,13.31,36.92,3.04,12.73,0.0,0.0,1.041,2024-10-15,SJ,2,DAL,3,Won,2.0
"2024-10-17 - SJ 2, CHI 4",SJ,36.21,48.5,22.14,31.74,11.14,13.77,1.0,0.99,1.38,1.75,12.53,15.35,2.94,8.02,1.94,4.07,1.02,0.96,9.34,7.4,2.88,1.03,0.0,0.0,25.01,30.61,3.47,8.91,0.0,0.0,1.019,2024-10-17,SJ,2,CHI,4,Won,1.0
"2024-10-18 - SJ 3, WPG 8",SJ,33.76,58.22,27.27,39.86,15.56,26.8,2.01,3.92,1.33,1.99,12.18,32.35,4.83,7.09,1.9,3.07,0.0,0.0,7.17,26.01,2.82,11.52,2.0,3.89,22.15,25.48,9.45,7.86,0.0,0.0,0.983,2024-10-18,SJ,3,WPG,8,Won,0.0
"2024-10-20 - COL 4, SJ 1",SJ,38.39,39.74,23.59,27.48,14.62,16.36,0.0,2.15,1.09,1.5,14.36,24.21,4.4,7.82,1.77,5.57,0.0,2.16,9.8,16.63,1.86,5.38,0.0,0.0,24.37,14.15,9.11,4.32,0.0,0.0,0.868,2024-10-20,COL,4,SJ,1,Lost,1.0
"2024-10-22 - SJ 1, ANA 3",SJ,57.4,55.77,36.85,43.23,19.99,29.13,0.0,0.0,1.96,2.86,27.62,24.74,9.34,10.91,4.09,6.05,0.0,0.0,18.1,13.98,6.12,6.9,0.0,0.0,35.26,34.52,8.67,15.25,0.0,0.0,1.0,2024-10-22,SJ,1,ANA,3,Won,1.0
"2024-10-24 - SJ 2, LA 3",SJ,36.24,42.72,20.32,34.63,14.8,25.12,0.0,2.92,1.81,2.83,12.55,22.3,8.88,13.06,5.84,9.15,0.0,1.95,3.72,9.19,1.91,5.02,0.0,0.95,20.38,22.63,6.02,10.94,0.0,0.0,0.884,2024-10-24,SJ,2,LA,3,Won,1.0
"2024-10-26 - SJ 3, VGK 7",SJ,45.05,61.62,33.48,45.22,21.81,33.21,3.01,4.91,2.8,2.6,21.66,28.11,6.79,7.15,2.85,4.13,2.04,0.0,14.42,21.48,6.57,12.34,1.0,3.87,21.7,32.53,11.03,14.81,0.0,1.06,0.99,2024-10-26,SJ,3,VGK,7,Won,1.0
"2024-10-28 - SJ 5, UHC 4",SJ,49.85,54.06,39.43,37.34,31.76,20.81,1.01,3.91,1.94,1.85,13.54,22.49,6.0,6.96,3.91,5.08,0.0,1.98,7.39,15.92,4.83,4.05,1.02,0.95,35.66,33.25,19.23,11.89,0.0,1.07,0.844,2024-10-28,SJ,5,UHC,4,Lost,1.0
