Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2024-10-09 - TOR 0, MTL 1",TOR,81.27,34.28,63.0,21.6,38.86,18.5,0.0,0.0,4.94,1.56,38.93,18.03,18.05,2.99,6.94,2.02,0.0,0.0,20.62,15.29,10.08,10.94,0.0,0.0,39.53,13.67,17.72,4.22,0.0,0.0,1.0,2024-10-09,TOR,0,MTL,1,Won,
"2024-10-10 - TOR 4, NJ 2",TOR,44.2,43.61,28.95,24.29,22.08,12.1,4.23,0.92,1.87,1.27,16.99,17.28,8.01,4.28,5.71,2.59,1.07,0.0,9.14,12.71,6.54,6.27,2.02,0.96,28.1,28.15,8.79,3.31,1.11,0.0,1.116,2024-10-10,TOR,4,NJ,2,Lost,0.0
"2024-10-12 - PIT 2, TOR 4",TOR,38.44,46.54,30.02,27.36,24.97,16.1,2.86,1.01,1.42,1.07,15.65,17.72,6.72,4.36,5.78,1.05,0.92,0.0,8.97,13.22,6.87,4.01,1.89,1.02,21.25,29.06,10.19,10.97,0.0,0.0,1.051,2024-10-12,PIT,2,TOR,4,Won,1.0
"2024-10-16 - LA 2, TOR 6",TOR,29.4,53.25,21.28,41.03,18.04,27.38,3.91,2.01,0.98,3.91,10.29,26.65,5.01,12.65,5.08,7.68,3.87,1.02,5.35,13.83,4.12,6.71,0.0,1.0,20.92,31.05,6.75,12.67,0.0,0.0,1.144,2024-10-16,LA,2,TOR,6,Won,3.0
"2024-10-19 - NYR 4, TOR 1",TOR,56.64,47.44,36.37,36.01,24.73,24.9,0.95,1.06,2.63,2.62,34.21,24.12,16.03,11.04,9.82,7.63,0.93,0.0,17.77,13.32,5.54,4.27,0.0,1.05,21.7,25.4,8.3,12.09,0.0,0.0,0.996,2024-10-19,NYR,4,TOR,1,Lost,2.0
"2024-10-21 - TB 2, TOR 5",TOR,54.25,39.2,39.92,26.64,22.17,19.1,3.91,1.01,2.15,2.19,24.32,21.39,9.0,9.93,6.15,6.76,1.97,1.01,15.55,11.27,4.0,4.98,0.95,0.0,28.37,25.31,12.3,7.5,1.07,0.0,1.124,2024-10-21,TB,2,TOR,5,Won,1.0
"2024-10-22 - TOR 2, CBJ 6",TOR,40.36,62.75,26.64,47.47,17.6,29.87,2.01,5.91,1.9,2.95,24.9,26.05,10.76,9.06,8.7,5.02,1.02,2.9,13.91,17.36,4.85,11.45,1.0,2.92,23.72,47.3,4.24,13.52,0.0,0.0,0.916,2024-10-22,TOR,2,CBJ,6,Won,0.0
"2024-10-24 - STL 5, TOR 1",TOR,52.32,40.16,35.76,32.72,24.37,26.89,0.95,3.18,1.53,1.41,16.49,14.68,4.31,5.65,1.68,4.53,0.0,0.0,11.87,9.21,9.03,5.46,0.0,2.01,43.82,29.65,12.66,14.77,0.88,1.05,0.921,2024-10-24,STL,5,TOR,1,Lost,1.0
"2024-10-26 - TOR 3, BOS 4",TOR,41.24,47.39,27.33,32.34,15.24,25.51,1.06,1.87,1.57,2.13,19.55,21.92,7.33,9.32,5.21,8.46,1.06,1.86,12.12,12.64,3.06,3.84,0.0,0.0,24.95,23.43,7.0,12.29,0.0,0.0,0.996,2024-10-26,TOR,3,BOS,4,Won,1.0
"2024-10-28 - TOR 6, WPG 4",TOR,52.12,31.83,40.7,19.25,31.54,12.37,5.31,0.0,3.19,0.69,32.11,12.01,14.44,4.11,12.21,0.0,4.28,0.0,18.03,7.73,8.77,2.71,1.04,0.0,22.2,12.46,9.49,7.12,0.0,0.0,1.168,2024-10-28,TOR,6,WPG,4,Lost,1.0
