Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2024-10-08 - CHI 2, UHC 5",UHC,57.81,54.12,40.07,37.04,25.32,22.82,3.9,2.02,2.65,2.76,28.6,20.62,12.08,9.92,9.2,6.85,1.95,2.06,16.76,10.62,8.16,4.01,0.98,0.0,28.12,37.39,6.59,11.67,0.95,0.0,1.066,2024-10-08,CHI,2,UHC,5,Won,
"2024-10-10 - UHC 5, NYI 4",UHC,54.63,41.6,34.06,26.9,21.53,15.42,2.07,1.87,1.87,1.06,27.16,14.27,13.78,3.69,9.42,3.72,2.07,0.92,13.42,10.68,4.09,2.91,0.0,0.95,33.02,34.26,5.16,8.79,0.0,0.0,0.975,2024-10-10,UHC,5,NYI,4,Lost,1.0
"2024-10-12 - UHC 6, NYR 5",UHC,51.24,50.87,35.7,40.48,18.22,25.83,3.19,3.75,2.06,2.71,20.68,26.36,7.61,10.75,4.33,6.27,2.12,0.92,13.29,15.34,4.24,6.56,0.0,1.99,29.29,29.34,9.7,11.08,1.11,0.0,1.03,2024-10-12,UHC,6,NYR,5,Lost,1.0
"2024-10-14 - UHC 0, NJ 3",UHC,28.81,36.28,19.5,19.54,12.6,14.44,0.0,0.99,1.83,1.52,8.99,13.98,5.26,6.94,3.1,5.04,0.0,0.99,3.64,7.07,0.97,0.97,0.0,0.0,18.18,19.91,8.25,8.62,0.0,0.0,0.932,2024-10-14,UHC,0,NJ,3,Won,1.0
"2024-10-16 - UHC 4, ANA 5",UHC,57.59,49.26,37.62,35.28,23.91,27.73,3.08,3.73,2.35,2.5,26.45,23.1,12.87,10.03,8.37,8.22,2.07,1.84,13.64,12.91,5.2,6.7,1.06,0.95,36.59,23.53,9.47,10.85,0.0,0.95,0.994,2024-10-16,UHC,4,ANA,5,Won,1.0
"2024-10-19 - BOS 1, UHC 2",UHC,49.92,28.8,33.21,23.38,20.93,15.81,0.92,1.06,1.17,1.53,13.04,13.03,3.64,5.43,1.83,3.22,0.92,0.0,9.4,7.74,2.87,3.17,0.0,0.0,35.83,14.76,13.37,8.37,0.0,1.05,0.977,2024-10-19,BOS,1,UHC,2,Won,2.0
"2024-10-22 - OTT 4, UHC 0",UHC,51.8,45.42,39.31,32.41,22.86,20.92,0.0,1.08,3.03,2.32,26.16,16.14,9.32,10.49,6.02,5.92,0.0,1.09,16.6,5.85,8.1,4.46,0.0,0.0,26.57,35.55,6.99,10.75,0.0,0.0,0.948,2024-10-22,OTT,4,UHC,0,Lost,2.0
"2024-10-24 - COL 5, UHC 1",UHC,42.15,37.36,27.53,27.91,18.09,22.07,0.92,3.21,1.27,1.7,17.87,14.47,6.64,4.5,6.59,4.5,0.91,1.07,10.98,10.08,2.75,4.27,0.0,1.04,29.91,23.73,7.61,12.28,0.0,1.12,0.905,2024-10-24,COL,5,UHC,1,Lost,1.0
"2024-10-26 - UHC 2, LA 3",UHC,48.63,40.14,34.37,29.42,23.61,20.43,2.03,1.98,1.62,1.33,22.17,15.93,6.02,4.89,3.91,3.0,1.04,0.0,15.98,11.19,9.1,4.96,0.0,0.94,29.82,23.76,9.61,9.47,0.93,1.06,0.989,2024-10-26,UHC,2,LA,3,Won,1.0
"2024-10-28 - SJ 5, UHC 4",UHC,54.06,49.85,37.34,39.43,20.81,31.76,3.91,1.01,1.85,1.94,22.49,13.54,6.96,6.0,5.08,3.91,1.98,0.0,15.92,7.39,4.05,4.83,0.95,1.02,33.25,35.66,11.89,19.23,1.07,0.0,1.156,2024-10-28,SJ,5,UHC,4,Lost,1.0
"2024-10-30 - CGY 1, UHC 5",UHC,52.28,39.64,30.33,28.42,17.83,22.88,1.93,1.01,1.28,1.53,17.14,17.43,3.03,4.96,1.05,3.92,0.0,0.0,14.41,12.04,6.03,7.78,0.0,1.02,32.72,21.13,8.8,9.31,2.01,0.0,1.064,2024-10-30,CGY,1,UHC,5,Won,1.0
"2024-11-02 - UHC 3, VGK 4",UHC,51.94,46.35,34.83,38.44,18.83,30.13,3.14,2.82,2.92,2.69,22.73,25.85,11.02,10.68,5.44,7.96,1.01,0.92,11.82,15.09,4.16,9.68,1.05,0.95,28.21,28.6,9.2,11.44,1.11,0.88,1.073,2024-11-02,UHC,3,VGK,4,Won,2.0
"2024-11-05 - UHC 0, WPG 3",UHC,40.43,39.81,25.93,35.65,15.97,25.81,0.0,0.99,1.4,1.74,13.06,13.7,5.08,6.7,1.98,4.79,0.0,0.99,7.85,7.01,2.01,3.03,0.0,0.0,31.37,28.92,8.94,16.2,0.0,0.0,0.962,2024-11-05,UHC,0,WPG,3,Won,2.0
"2024-11-07 - UHC 4, STL 2",UHC,56.65,27.29,41.32,12.81,28.34,10.11,3.17,1.85,2.3,0.9,25.73,12.81,8.68,4.57,6.38,2.72,1.06,0.0,17.14,8.1,9.43,5.61,1.05,1.92,39.32,14.44,10.49,1.8,1.05,0.0,0.929,2024-11-07,UHC,4,STL,2,Lost,1.0
"2024-11-09 - UHC 0, NSH 4",UHC,43.21,29.55,35.04,22.59,21.18,13.97,0.0,0.99,1.53,0.8,21.1,10.32,5.92,1.01,3.87,1.03,0.0,0.96,14.74,9.58,5.71,4.08,0.0,0.0,26.45,20.09,11.22,8.0,0.0,0.0,0.929,2024-11-09,UHC,0,NSH,4,Won,1.0
