Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2024-10-09 - WPG 6, EDM 0",WPG,41.65,58.65,31.07,36.54,19.96,23.86,4.26,0.0,2.24,2.17,19.88,27.97,4.36,7.89,3.22,5.39,0.0,0.0,15.68,19.75,5.44,6.27,3.06,0.0,18.84,35.72,6.63,11.28,1.12,0.0,1.214,2024-10-09,WPG,6,EDM,0,Lost,
"2024-10-11 - CHI 1, WPG 2",WPG,55.89,49.9,39.38,41.32,25.34,23.2,0.0,1.06,1.73,2.33,23.95,21.48,9.04,6.5,5.56,4.28,0.0,0.0,14.78,15.07,1.86,5.32,0.0,0.0,44.19,32.84,17.86,13.53,0.0,1.05,0.954,2024-10-11,CHI,1,WPG,2,Won,1.0
"2024-10-13 - MIN 1, WPG 2",WPG,61.23,45.99,44.06,36.52,28.9,24.87,0.0,1.06,2.2,1.89,18.86,16.83,5.56,7.46,2.78,5.27,0.0,0.0,13.35,9.39,5.79,4.11,0.0,0.0,39.51,37.71,17.75,15.47,0.0,1.05,0.958,2024-10-13,MIN,1,WPG,2,Won,1.0
"2024-10-18 - SJ 3, WPG 8",WPG,58.22,33.76,39.86,27.27,26.8,15.56,3.92,2.01,1.99,1.33,32.35,12.18,7.09,4.83,3.07,1.9,0.0,0.0,26.01,7.17,11.52,2.82,3.89,2.0,25.48,22.15,7.86,9.45,0.0,0.0,1.017,2024-10-18,SJ,3,WPG,8,Won,4.0
"2024-10-20 - PIT 3, WPG 6",WPG,54.56,76.37,44.46,55.67,31.72,38.91,2.86,2.09,3.19,4.53,28.26,34.34,13.9,19.09,12.02,12.63,1.86,1.08,14.26,15.31,6.71,7.28,0.0,0.0,28.31,43.43,10.82,17.8,1.06,0.94,1.036,2024-10-20,PIT,3,WPG,6,Won,1.0
"2024-10-22 - WPG 3, STL 2",WPG,54.55,50.3,33.77,33.47,19.92,23.22,2.13,1.89,2.03,2.37,25.59,26.13,8.81,13.88,3.3,8.45,0.0,1.87,16.81,12.12,5.16,3.8,0.0,0.0,36.21,26.23,11.51,10.14,2.16,0.0,1.025,2024-10-22,WPG,3,STL,2,Lost,1.0
"2024-10-24 - WPG 4, SEA 3",WPG,51.96,48.9,35.29,38.04,33.07,26.92,3.14,2.82,1.39,1.95,10.34,20.58,5.19,5.48,5.14,3.71,2.07,0.93,5.17,15.14,3.15,11.57,1.04,1.91,48.62,29.27,19.52,7.62,0.0,0.0,0.99,2024-10-24,WPG,4,SEA,3,Lost,1.0
"2024-10-26 - WPG 5, CGY 3",WPG,51.01,48.29,33.76,34.41,25.25,22.42,1.06,2.79,1.54,1.36,14.96,14.72,5.33,5.45,4.22,3.61,0.0,0.0,9.73,9.15,7.33,6.63,0.0,1.91,32.5,30.69,9.39,11.22,1.05,0.89,0.917,2024-10-26,WPG,5,CGY,3,Lost,1.0
"2024-10-28 - TOR 6, WPG 4",WPG,31.83,52.12,19.25,40.7,12.37,31.54,0.0,5.31,0.69,3.19,12.01,32.11,4.11,14.44,0.0,12.21,0.0,4.28,7.73,18.03,2.71,8.77,0.0,1.04,12.46,22.2,7.12,9.49,0.0,0.0,0.832,2024-10-28,TOR,6,WPG,4,Lost,1.0
"2024-10-30 - WPG 6, DET 2",WPG,54.04,37.95,44.14,25.88,29.21,15.53,5.34,0.0,2.49,1.06,31.75,9.61,13.6,2.63,7.86,0.82,3.21,0.0,18.52,6.84,8.82,2.66,1.04,0.0,33.23,29.17,11.5,11.75,1.11,0.0,1.183,2024-10-30,WPG,6,DET,2,Lost,1.0
"2024-11-01 - WPG 6, CBJ 2",WPG,74.22,34.95,59.29,25.02,43.74,16.26,5.35,0.92,4.41,0.91,38.65,16.81,18.95,4.52,15.66,1.83,2.17,0.92,20.03,11.96,7.52,4.59,2.09,0.0,36.15,22.79,18.64,9.77,1.05,0.0,1.065,2024-11-01,WPG,6,CBJ,2,Lost,1.0
"2024-11-03 - TB 4, WPG 7",WPG,38.51,44.75,33.9,34.56,25.63,23.06,3.76,3.08,1.89,2.21,17.69,20.57,10.1,8.46,9.28,5.28,1.87,2.07,7.53,12.01,3.87,6.92,0.96,1.06,23.49,28.32,9.56,8.94,0.95,0.0,1.013,2024-11-03,TB,4,WPG,7,Won,1.0
"2024-11-05 - UHC 0, WPG 3",WPG,39.81,40.43,35.65,25.93,25.81,15.97,0.99,0.0,1.74,1.4,13.7,13.06,6.7,5.08,4.79,1.98,0.99,0.0,7.01,7.85,3.03,2.01,0.0,0.0,28.92,31.37,16.2,8.94,0.0,0.0,1.038,2024-11-05,UHC,0,WPG,3,Won,1.0
"2024-11-07 - COL 0, WPG 1",WPG,45.01,62.8,30.98,48.26,24.77,31.85,0.94,0.0,1.62,3.03,16.02,34.84,4.92,11.03,2.96,7.93,0.94,0.0,11.26,23.44,4.99,10.03,0.0,0.0,36.21,31.79,16.15,11.08,0.0,0.0,1.038,2024-11-07,COL,0,WPG,1,Won,1.0
"2024-11-09 - DAL 1, WPG 4",WPG,34.24,43.61,26.04,33.73,13.97,19.24,1.97,1.0,2.11,2.17,22.01,20.7,9.16,11.64,5.12,6.7,1.95,0.0,13.11,8.99,4.18,4.7,0.0,1.0,12.34,23.78,4.6,6.96,0.0,0.0,1.089,2024-11-09,DAL,1,WPG,4,Won,1.0
"2024-11-12 - WPG 6, NYR 3",WPG,53.02,44.13,39.73,35.34,31.04,24.43,4.27,1.87,2.76,2.14,27.08,23.8,11.03,7.19,6.64,5.4,2.14,1.85,16.19,16.47,8.4,7.6,2.09,0.0,25.8,19.61,15.03,9.69,0.0,0.0,1.061,2024-11-12,WPG,6,NYR,3,Lost,2.0
"2024-11-14 - WPG 1, TB 4",WPG,43.56,49.68,30.42,39.41,18.87,24.99,1.0,1.93,2.17,2.55,17.46,24.22,7.91,9.89,5.85,5.03,1.02,0.0,9.35,14.5,5.9,9.04,0.0,1.89,33.11,27.9,6.28,10.95,0.0,0.0,0.976,2024-11-14,WPG,1,TB,4,Won,1.0
"2024-11-16 - WPG 0, FLA 5",WPG,35.94,37.09,27.08,26.01,23.24,22.81,0.0,2.92,0.96,1.92,13.65,16.14,2.96,8.95,2.92,8.02,0.0,2.9,10.41,7.2,6.73,4.03,0.0,0.0,25.42,27.27,10.53,10.88,0.0,0.0,0.872,2024-11-16,WPG,0,FLA,5,Won,1.0
"2024-11-19 - FLA 3, WPG 6",WPG,50.61,42.29,37.38,35.11,16.7,17.51,2.92,1.0,1.85,1.87,21.25,16.13,8.85,10.36,2.98,3.08,1.93,0.0,12.64,5.77,4.07,2.98,0.94,0.0,33.17,30.16,9.8,10.25,0.0,0.94,1.118,2024-11-19,FLA,3,WPG,6,Won,2.0
"2024-11-22 - WPG 4, PIT 1",WPG,57.74,31.18,43.58,21.18,27.67,10.6,2.13,0.0,2.93,0.67,25.68,12.4,14.55,4.43,6.66,0.87,2.14,0.0,11.41,7.76,3.24,3.66,0.0,0.0,38.4,20.68,16.91,6.0,0.0,0.0,1.077,2024-11-22,WPG,4,PIT,1,Lost,2.0
"2024-11-23 - WPG 1, NSH 4",WPG,33.78,49.12,22.49,37.54,16.49,28.34,1.01,1.93,1.39,2.01,12.12,20.69,3.98,10.69,3.93,6.89,1.01,0.99,8.05,10.05,3.03,7.93,0.0,0.0,17.12,35.57,7.55,12.6,0.0,0.95,0.993,2024-11-23,WPG,1,NSH,4,Won,0.0
"2024-11-25 - WPG 4, MIN 1",WPG,57.06,53.47,40.69,37.78,27.54,30.49,2.07,0.94,2.41,2.31,27.09,19.68,12.03,10.18,8.68,8.45,2.07,0.94,15.21,9.37,7.37,2.91,0.0,0.0,28.91,34.01,8.28,17.98,0.0,0.0,1.044,2024-11-25,WPG,4,MIN,1,Lost,1.0
"2024-11-27 - WPG 1, LA 4",WPG,31.99,60.41,20.16,45.94,10.54,29.22,0.0,1.98,0.96,2.93,10.89,27.33,6.99,10.97,3.93,7.06,0.0,0.99,3.91,16.69,1.0,6.1,0.0,0.94,23.15,39.02,4.5,11.91,0.0,0.0,0.932,2024-11-27,WPG,1,LA,4,Won,1.0
"2024-11-29 - WPG 3, VGK 4",WPG,42.1,41.75,36.35,30.97,20.06,23.32,3.08,3.75,1.54,1.71,14.41,18.91,9.4,10.2,5.21,6.57,2.07,2.8,5.06,8.69,1.0,3.89,0.0,0.95,26.83,27.35,12.72,11.84,0.94,0.0,0.993,2024-11-29,WPG,3,VGK,4,Won,1.0
"2024-12-01 - WPG 1, DAL 3",WPG,49.25,38.2,35.72,29.81,25.33,19.24,1.06,1.87,1.74,1.54,16.78,18.86,6.39,6.55,4.22,3.72,0.0,0.94,10.4,12.3,4.17,3.84,1.05,0.96,36.47,24.15,13.74,10.76,0.0,0.0,0.945,2024-12-01,WPG,1,DAL,3,Won,1.0
