Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2024-10-12 - NJ 5, WSH 3",WSH,40.13,47.22,30.23,31.04,23.14,25.48,1.87,4.2,1.64,1.91,16.21,20.42,4.41,8.68,3.55,8.61,0.92,2.12,11.61,11.89,6.52,5.27,1.03,2.1,25.9,23.49,13.15,9.61,0.0,0.0,0.916,2024-10-12,NJ,5,WSH,3,Lost,
"2024-10-15 - VGK 2, WSH 4",WSH,44.73,39.09,29.34,28.45,15.61,18.92,2.92,1.0,2.98,1.44,27.58,14.81,12.11,7.14,4.09,1.94,1.95,1.02,15.65,7.55,6.07,4.93,0.95,0.0,16.88,25.41,3.2,9.75,0.0,0.0,1.134,2024-10-15,VGK,2,WSH,4,Won,2.0
"2024-10-17 - DAL 2, WSH 3",WSH,34.71,43.14,25.84,23.13,18.97,16.01,2.81,1.01,1.94,1.67,16.54,19.61,9.66,8.15,4.98,6.07,0.0,1.01,6.85,11.43,2.92,0.0,0.96,0.0,19.0,29.22,11.12,9.86,1.89,0.0,1.085,2024-10-17,DAL,2,WSH,3,Won,1.0
"2024-10-19 - WSH 6, NJ 5",WSH,57.02,43.25,40.8,33.47,30.87,23.24,5.28,3.77,2.4,2.03,29.03,21.88,14.11,8.85,9.68,6.17,5.29,0.93,15.11,12.98,3.15,11.46,0.0,1.91,27.16,20.81,14.13,3.63,0.0,0.88,1.009,2024-10-19,WSH,6,NJ,5,Lost,1.0
"2024-10-22 - WSH 4, PHI 1",WSH,45.55,30.18,33.82,17.61,21.2,11.56,1.05,0.0,1.46,0.77,22.48,10.52,6.82,2.62,2.26,1.75,0.0,0.0,15.92,7.71,5.44,3.64,0.97,0.0,19.22,14.68,9.06,5.14,0.0,0.0,1.049,2024-10-22,WSH,4,PHI,1,Lost,2.0
"2024-10-23 - PHI 3, WSH 6",WSH,43.12,39.99,34.25,25.13,18.7,20.54,3.91,1.0,2.29,1.85,21.18,23.23,7.93,9.88,4.95,7.81,1.91,0.0,13.4,13.11,5.11,6.77,1.94,0.0,21.39,20.72,5.35,5.24,0.0,0.94,1.16,2024-10-23,PHI,3,WSH,6,Won,0.0
"2024-10-26 - WSH 0, TB 3",WSH,57.98,49.74,41.19,31.17,28.51,18.22,0.0,2.92,2.53,1.49,23.13,19.49,12.11,6.67,8.02,2.9,0.0,1.93,10.99,12.95,3.09,4.94,0.0,0.98,39.9,25.92,14.16,6.18,0.0,0.0,0.84,2024-10-26,WSH,0,TB,3,Won,2.0
"2024-10-29 - NYR 3, WSH 5",WSH,64.42,37.66,53.23,29.67,36.96,14.37,2.88,1.01,3.95,1.73,33.86,13.78,14.78,7.98,11.93,4.94,1.93,1.01,19.31,5.76,9.95,2.01,0.95,0.0,35.82,23.22,15.06,6.35,0.0,0.0,1.007,2024-10-29,NYR,3,WSH,5,Won,2.0
"2024-10-31 - MTL 3, WSH 6",WSH,62.97,28.72,44.45,15.21,24.3,10.18,4.79,2.07,3.4,0.85,30.75,10.18,16.74,4.2,7.98,1.05,1.88,1.06,14.0,5.88,5.85,2.06,0.94,0.0,32.46,19.91,8.36,6.08,1.96,0.94,0.994,2024-10-31,MTL,3,WSH,6,Won,1.0
"2024-11-02 - CBJ 2, WSH 7",WSH,48.93,65.05,33.73,40.6,21.63,25.36,6.9,2.01,2.63,3.5,28.45,26.26,14.31,12.56,10.34,6.66,4.84,1.02,14.27,13.47,5.24,5.64,0.94,1.0,12.4,43.91,5.76,11.8,1.06,0.0,1.24,2024-11-02,CBJ,2,WSH,7,Won,1.0
"2024-11-03 - WSH 2, CAR 4",WSH,28.31,67.22,19.27,50.47,13.11,36.18,1.06,2.81,1.64,3.27,19.66,31.67,9.51,14.78,6.26,10.91,1.06,0.92,10.14,17.05,5.04,7.9,0.0,0.95,10.04,42.07,1.1,17.31,0.0,0.95,1.003,2024-11-03,WSH,2,CAR,4,Won,0.0
"2024-11-06 - NSH 2, WSH 3",WSH,53.07,67.15,38.58,48.87,28.96,26.48,2.81,2.07,3.9,3.21,29.33,31.13,13.92,13.6,8.45,8.31,1.86,2.07,15.37,17.47,8.7,6.12,0.95,0.0,29.21,40.16,10.76,11.15,0.0,0.0,1.019,2024-11-06,NSH,2,WSH,3,Won,2.0
"2024-11-08 - PIT 4, WSH 2",WSH,47.49,57.52,36.58,41.22,24.5,30.43,1.87,3.19,3.18,2.94,23.14,24.68,12.78,10.81,10.17,9.6,0.92,3.2,10.17,14.03,6.64,5.32,0.0,0.0,28.78,33.65,5.52,13.49,0.88,0.0,0.972,2024-11-08,PIT,4,WSH,2,Lost,1.0
"2024-11-09 - WSH 8, STL 1",WSH,43.37,36.24,36.37,22.32,20.64,15.2,6.44,0.92,2.12,1.37,24.14,16.19,10.32,6.05,6.93,3.53,3.28,0.92,13.87,10.03,7.29,3.8,2.09,0.0,26.0,22.04,6.53,7.6,1.05,0.0,1.251,2024-11-09,WSH,8,STL,1,Lost,0.0
"2024-11-13 - TOR 4, WSH 3",WSH,51.73,50.71,37.47,35.44,21.28,27.72,2.88,2.03,2.34,3.23,21.62,22.62,9.84,12.06,4.97,11.9,1.88,2.05,11.81,10.44,4.91,3.93,0.0,0.0,32.1,33.34,10.57,11.91,1.06,0.0,1.062,2024-11-13,TOR,4,WSH,3,Lost,3.0
"2024-11-15 - WSH 5, COL 2",WSH,44.09,47.56,28.99,30.59,18.79,15.37,3.21,1.89,0.95,0.99,13.24,19.42,3.37,2.67,2.23,1.81,1.08,0.93,10.0,16.36,5.37,4.54,2.09,0.0,30.59,37.51,7.96,9.0,0.0,0.95,1.048,2024-11-15,WSH,5,COL,2,Lost,1.0
"2024-11-17 - WSH 5, VGK 2",WSH,65.33,58.94,46.78,43.15,25.28,28.42,3.23,0.95,1.9,3.05,24.46,27.26,6.72,11.33,2.26,7.83,0.0,0.0,18.01,15.54,6.46,3.61,3.12,1.03,35.88,42.73,11.0,14.12,0.0,0.0,1.094,2024-11-17,WSH,5,VGK,2,Lost,1.0
"2024-11-18 - WSH 6, UHC 2",WSH,27.41,38.97,21.35,24.83,17.84,16.01,5.28,1.86,1.33,2.25,12.43,16.85,2.2,6.38,2.19,4.58,1.06,1.85,10.39,10.2,6.63,3.54,2.08,0.0,18.3,27.4,8.98,7.79,2.05,0.0,1.18,2024-11-18,WSH,6,UHC,2,Lost,0.0
"2024-11-21 - COL 2, WSH 1",WSH,38.19,50.21,24.9,33.99,16.39,24.68,0.94,1.06,1.63,2.38,17.79,29.16,9.37,12.7,3.85,9.48,0.94,1.06,8.25,16.43,3.78,9.29,0.0,0.0,21.34,21.46,5.83,6.08,0.0,0.0,1.015,2024-11-21,COL,2,WSH,1,Lost,2.0
"2024-11-23 - NJ 3, WSH 2",WSH,60.04,46.59,34.4,27.87,21.32,20.37,0.94,1.06,1.72,1.3,24.79,11.82,10.91,5.48,5.44,3.28,0.0,0.0,13.65,6.4,3.76,5.25,0.0,0.0,35.24,31.33,12.02,11.95,0.95,1.05,0.992,2024-11-23,NJ,3,WSH,2,Lost,1.0
"2024-11-25 - WSH 4, FLA 1",WSH,60.76,36.71,42.25,29.84,23.72,16.3,1.01,0.94,2.24,1.95,30.55,17.12,10.8,6.54,6.44,2.84,0.0,0.0,19.78,10.57,6.27,4.81,1.06,0.95,39.71,23.31,9.95,8.65,0.0,0.0,0.985,2024-11-25,WSH,4,FLA,1,Lost,1.0
"2024-11-27 - WSH 5, TB 4",WSH,45.56,35.22,35.49,24.01,24.74,20.99,2.02,2.83,1.54,1.54,23.18,16.64,7.16,5.9,6.1,5.98,0.0,0.0,15.77,10.8,7.12,7.8,2.12,2.84,25.83,20.3,10.39,7.14,0.0,0.0,0.947,2024-11-27,WSH,5,TB,4,Lost,1.0
