Game,Team,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2021-10-14 - TB 7, DET 6",DET,2021-10-14,TB,7,DET,6,Lost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-16 - VAN 1, DET 3",DET,2021-10-16,VAN,1,DET,3,Won,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-19 - CBJ 1, DET 4",DET,2021-10-19,CBJ,1,DET,4,Won,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-21 - CGY 3, DET 0",DET,2021-10-21,CGY,3,DET,0,Lost,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-23 - DET 1, MTL 6",DET,2021-10-23,DET,1,MTL,6,Won,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-24 - DET 6, CHI 3",DET,2021-10-24,DET,6,CHI,3,Lost,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-27 - DET 3, WSH 2",DET,2021-10-27,DET,3,WSH,2,Lost,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-29 - FLA 3, DET 2",DET,2021-10-29,FLA,3,DET,2,Lost,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-30 - DET 4, TOR 5",DET,2021-10-30,DET,4,TOR,5,Won,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-02 - DET 0, MTL 3",DET,2021-11-02,DET,0,MTL,3,Won,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-04 - DET 1, BOS 5",DET,2021-11-04,DET,1,BOS,5,Won,1.0,47.858999999999995,37.71,35.256,29.824,1.8850000000000002,1.799,12.03,7.181,0.9970000000000001,1.2100000000000002,8.434000000000001,5.616,20.058,17.208000000000002,0.296,0.0,10.128,10.099,12.422,11.487,0.583,0.593,5.772,6.63,1.0025,25.954,24.424,18.738,23.625999999999998,2.194,1.89
"2021-11-06 - DET 4, BUF 3",DET,2021-11-06,DET,4,BUF,3,Lost,1.0,49.15,37.98,36.275999999999996,30.043,1.7840000000000003,1.409,11.222,6.779000000000001,0.8950000000000001,0.923,7.8340000000000005,5.214,20.532999999999998,17.03,0.296,0.0,10.498000000000001,9.902,13.540000000000001,11.786,0.583,0.499,6.2090000000000005,6.609999999999999,0.9827,26.090000000000003,24.687,18.674,23.095,2.154,1.799
"2021-11-07 - VGK 2, DET 5",DET,2021-11-07,VGK,2,DET,5,Won,0.0,49.187,39.575,36.443,31.346000000000004,1.874,1.623,11.449000000000002,7.425,1.086,1.036,8.181000000000001,5.84,20.564,17.418,0.202,0.0,10.691,9.899,13.289999999999997,12.431000000000001,0.583,0.6010000000000001,6.075,7.026000000000001,0.9863,26.365999999999996,24.65,19.969,23.983999999999998,2.168,1.918
"2021-11-09 - EDM 2, DET 4",DET,2021-11-09,EDM,2,DET,4,Won,1.0,50.235,38.275999999999996,36.983,29.883999999999997,2.08,1.627,11.589,7.590000000000001,1.086,1.135,7.932,5.898,20.653,15.995000000000001,0.202,0.10700000000000001,10.822,8.751999999999999,13.866999999999999,12.110000000000001,0.788,0.41200000000000003,6.9319999999999995,6.757,0.9803999999999998,26.990999999999996,25.396,19.811,22.875,2.222,1.903
"2021-11-11 - WSH 2, DET 0",DET,2021-11-11,WSH,2,DET,0,Lost,1.0,49.832,39.071,36.57,30.275,2.069,1.9189999999999998,12.143,9.475,1.08,1.425,8.278,7.394999999999999,20.034,15.323999999999998,0.29500000000000004,0.10700000000000001,10.607,8.828,13.666999999999998,11.81,0.683,0.41200000000000003,6.473999999999999,6.147,0.9882,26.669999999999998,25.791000000000004,21.389999999999997,23.488,2.291,2.068
"2021-11-13 - MTL 2, DET 3",DET,2021-11-13,MTL,2,DET,3,Won,1.0,48.489999999999995,38.948,36.968,30.573,1.893,1.9189999999999998,11.758,9.689,1.09,1.425,8.13,7.461,19.815999999999995,15.280000000000001,0.293,0.10700000000000001,10.59,8.842,13.413999999999998,11.742,0.493,0.41200000000000003,6.728,6.146,0.9970000000000001,26.758999999999997,25.159,21.541,23.469,2.292,2.118
"2021-11-15 - DET 3, CBJ 5",DET,2021-11-15,DET,3,CBJ,5,Won,1.0,49.878,39.324,38.229,30.981,1.916,1.577,12.045,9.450999999999999,0.907,0.9970000000000001,8.364,7.162000000000001,20.241,15.762,0.398,0.196,11.346,8.543,14.139,11.369,0.599,0.40199999999999997,7.2620000000000005,5.821,0.9952,28.292,26.157999999999998,20.941000000000003,22.859,2.3310000000000004,1.9929999999999999
"2021-11-16 - DET 2, DAL 5",DET,2021-11-16,DET,2,DAL,5,Won,0.0,50.862,39.562,38.654999999999994,31.149,2.29,1.693,11.334,9.578,1.092,1.004,7.930999999999999,7.183,20.529,15.354,0.493,0.30700000000000005,11.709999999999999,8.642,15.596,11.870999999999999,0.695,0.40199999999999997,8.303,5.732,0.9865999999999999,29.139,26.893,21.55,23.080000000000002,2.3329999999999997,2.017
"2021-11-18 - DET 2, VGK 5",DET,2021-11-18,DET,2,VGK,5,Won,1.0,49.934999999999995,41.37,38.756,32.268,2.4680000000000004,1.6059999999999999,11.165000000000001,9.793000000000001,1.076,0.9120000000000001,7.9510000000000005,6.964,19.486,16.631,0.493,0.30700000000000005,11.154,9.52,15.600999999999999,11.846,0.8869999999999999,0.39899999999999997,8.468,5.657,0.9753999999999999,29.110000000000003,26.726999999999997,21.738,23.582,2.257,2.0029999999999997
"2021-11-20 - DET 1, ARI 2",DET,2021-11-20,DET,1,ARI,2,Won,1.0,49.106,41.696,37.846,32.069,2.567,1.6049999999999998,10.837,10.775,1.07,1.0140000000000002,7.494999999999999,7.633000000000001,19.228,16.104,0.504,0.30700000000000005,11.386,8.934999999999999,15.525,12.009,0.985,0.297,8.617,5.648999999999999,0.9711000000000001,28.534,26.308,22.871,23.315,2.212,2.154
"2021-11-24 - STL 2, DET 4",DET,2021-11-24,STL,2,DET,4,Won,3.0,47.436,43.535999999999994,36.376999999999995,33.54,2.466,1.7109999999999999,9.3,10.620000000000001,0.976,1.1199999999999999,6.071,7.777999999999999,19.782,17.47,0.504,0.30700000000000005,11.343,9.764,15.353,12.235,0.9870000000000001,0.297,8.567,5.893,0.9753999999999999,26.813,24.612,22.914,24.376,1.9300000000000002,2.1470000000000002
"2021-11-27 - BUF 2, DET 3",DET,2021-11-27,BUF,2,DET,3,Won,2.0,47.397,44.81400000000001,35.897000000000006,34.1,2.4669999999999996,1.9919999999999998,10.146,11.758,0.976,1.214,6.9030000000000005,8.346,19.454,17.389,0.598,0.30700000000000005,10.908999999999999,10.129000000000001,14.699000000000002,12.275,0.8870000000000001,0.488,8.265,5.993,0.9899000000000001,26.895,24.851,24.060000000000002,25.202,2.008,2.259
"2021-11-30 - DET 2, BOS 1",DET,2021-11-30,DET,2,BOS,1,Lost,2.0,47.135000000000005,45.238,35.414,35.05,2.382,1.871,9.824,11.867,0.891,1.193,6.4510000000000005,8.383,19.421,18.405,0.598,0.30700000000000005,11.350999999999999,10.724,14.607,11.594999999999999,0.8870000000000001,0.386,8.105,5.866,0.9865,26.875,24.434,23.499000000000002,25.958999999999996,1.9460000000000002,2.273
"2021-12-01 - SEA 3, DET 4",DET,2021-12-01,SEA,3,DET,4,Won,0.0,47.286,44.019,35.813,33.867000000000004,2.1759999999999997,1.7799999999999998,9.455,10.893,0.891,1.2000000000000002,6.6240000000000006,7.695,20.204,18.371,0.598,0.2,12.004000000000001,10.257,14.636999999999997,11.600999999999999,0.682,0.386,7.965999999999999,5.776000000000001,0.9962,27.588,24.095999999999997,22.529,24.569,1.904,2.09
"2021-12-04 - NYI 3, DET 4",DET,2021-12-04,NYI,3,DET,4,Won,2.0,46.626999999999995,42.194,35.864,32.120999999999995,2.181,1.675,9.084999999999999,9.228,0.8949999999999999,0.9100000000000001,6.14,6.3149999999999995,20.320999999999998,18.443,0.505,0.2,12.012,9.951,14.485,11.364999999999998,0.788,0.577,8.279,5.958,0.9951000000000001,27.201,23.564,20.612000000000002,23.148000000000003,1.862,1.893
"2021-12-07 - NSH 5, DET 2",DET,2021-12-07,NSH,5,DET,2,Lost,2.0,46.70700000000001,42.63100000000001,34.931,31.782,1.968,1.9560000000000002,8.577,8.892999999999999,0.787,1.004,6.0920000000000005,6.343999999999999,21.006,19.07,0.4,0.29500000000000004,12.364,9.999,14.224,11.094,0.788,0.673,7.513,6.075,1.019,26.764,22.826,19.979,23.319,1.812,1.816
"2021-12-09 - DET 2, STL 6",DET,2021-12-09,DET,2,STL,6,Won,1.0,47.954,40.474000000000004,35.705,29.064,2.0810000000000004,1.861,9.167,8.579,1.0030000000000001,1.0950000000000002,6.675,6.0200000000000005,20.84,18.247,0.29500000000000004,0.20600000000000004,12.252,9.812999999999999,15.122,10.051,0.779,0.578,7.557,5.185,1.0188000000000001,27.165000000000003,24.272,18.645000000000003,21.621000000000002,1.957,1.7299999999999998
