Game,Team,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2021-10-13 - MTL 1, TOR 2",MTL,2021-10-13,MTL,1,TOR,2,Won,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-14 - MTL 1, BUF 5",MTL,2021-10-14,MTL,1,BUF,5,Won,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-16 - NYR 3, MTL 1",MTL,2021-10-16,NYR,3,MTL,1,Lost,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-19 - SJ 5, MTL 0",MTL,2021-10-19,SJ,5,MTL,0,Lost,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-21 - CAR 4, MTL 1",MTL,2021-10-21,CAR,4,MTL,1,Lost,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-23 - DET 1, MTL 6",MTL,2021-10-23,DET,1,MTL,6,Won,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-26 - MTL 1, SEA 5",MTL,2021-10-26,MTL,1,SEA,5,Won,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-28 - MTL 4, SJ 0",MTL,2021-10-28,MTL,4,SJ,0,Lost,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-30 - MTL 2, LA 5",MTL,2021-10-30,MTL,2,LA,5,Won,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-31 - MTL 2, ANA 4",MTL,2021-10-31,MTL,2,ANA,4,Won,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-02 - DET 0, MTL 3",MTL,2021-11-02,DET,0,MTL,3,Won,1.0,41.693,37.144,31.067,25.895999999999997,1.701,1.309,7.936,7.008,1.101,0.604,5.442,5.332,18.634,16.529,0.22300000000000003,0.21800000000000003,8.815999999999999,7.718000000000001,12.669,11.344,0.38,0.497,6.2509999999999994,5.843999999999999,0.9838000000000001,21.972,20.558,18.448,19.779,1.673,1.558
"2021-11-04 - NYI 6, MTL 2",MTL,2021-11-04,NYI,6,MTL,2,Lost,1.0,39.621,39.013999999999996,29.214000000000006,27.6,1.607,1.3960000000000001,7.13,8.164,1.101,0.5920000000000001,4.784000000000001,6.219,18.77,17.519,0.22300000000000003,0.21800000000000003,9.452,8.831,11.266000000000002,10.963,0.285,0.591,5.86,5.326,0.9883,21.593,18.368000000000002,19.212,21.359,1.5490000000000002,1.768
"2021-11-06 - VGK 5, MTL 2",MTL,2021-11-06,VGK,5,MTL,2,Lost,1.0,39.497,41.007,29.178000000000004,28.65,1.9449999999999998,1.295,7.904000000000001,8.988,1.4360000000000002,0.592,5.311,6.953999999999999,17.356,17.261,0.22300000000000003,0.21800000000000003,9.219,8.731,11.686,12.434999999999999,0.29500000000000004,0.48900000000000005,6.115,5.470000000000001,0.974,22.267,19.549,21.533,22.092,1.6439999999999997,1.8679999999999999
"2021-11-09 - LA 3, MTL 2",MTL,2021-11-09,LA,3,MTL,2,Lost,2.0,39.247,42.041000000000004,28.649,29.606,1.9400000000000002,1.302,8.243,9.021,1.431,0.599,5.644,6.884,17.330000000000002,17.657,0.22300000000000003,0.21800000000000003,9.493,8.684999999999999,10.939,13.035,0.29500000000000004,0.48900000000000005,5.39,6.058,0.9721,21.836000000000002,19.136000000000003,22.153,22.551,1.659,1.8699999999999999
"2021-11-11 - CGY 2, MTL 4",MTL,2021-11-11,CGY,2,MTL,4,Won,1.0,40.612,43.912,29.752999999999997,30.921999999999997,1.829,1.489,8.075,9.99,1.217,0.693,5.506,7.289,18.208000000000002,18.538,0.31,0.21800000000000003,10.323,8.977,11.684999999999999,13.869,0.29500000000000004,0.585,5.3580000000000005,6.399,0.9890000000000001,22.387999999999998,19.747,23.942,23.522,1.717,2.029
"2021-11-13 - MTL 2, DET 3",MTL,2021-11-13,MTL,2,DET,3,Won,1.0,40.399,43.458,28.769,30.656,1.825,1.581,7.711,9.841,1.3210000000000002,0.7849999999999999,5.373,6.945,18.467,18.692,0.199,0.21800000000000003,10.153,9.565000000000001,11.732,13.540000000000001,0.29500000000000004,0.585,5.025,6.042,0.9917,21.538,19.444,23.459,23.413,1.672,2.005
"2021-11-14 - MTL 2, BOS 5",MTL,2021-11-14,MTL,2,BOS,5,Won,0.0,41.593,42.29299999999999,30.366999999999997,30.701999999999998,2.0119999999999996,1.399,7.767,9.414000000000001,1.3210000000000002,0.687,5.569,7.096000000000001,18.536,18.423,0.288,0.21600000000000003,9.892,9.898,12.424,13.172,0.39,0.501,5.722,6.039,0.9736,22.363999999999997,20.169,22.689,24.092000000000002,1.687,1.9709999999999996
"2021-11-16 - MTL 2, NYR 3",MTL,2021-11-16,MTL,2,NYR,3,Won,1.0,41.474000000000004,44.217,31.041999999999994,32.007999999999996,1.8119999999999998,1.509,7.981,9.853,1.2189999999999999,0.586,5.6930000000000005,7.436999999999999,18.712,19.625,0.288,0.321,10.574,10.520999999999999,12.273,13.113999999999999,0.29500000000000004,0.606,5.7700000000000005,5.679,0.9898,23.299,20.27,23.03,24.913999999999998,1.7670000000000001,2.0279999999999996
"2021-11-18 - PIT 6, MTL 0",MTL,2021-11-18,PIT,6,MTL,0,Lost,1.0,42.703,46.556,32.641999999999996,33.217,2.1,1.499,8.681999999999999,10.281,1.506,0.6849999999999999,6.079,7.053,18.743000000000002,19.504,0.288,0.20999999999999996,10.539,11.23,12.268,14.398000000000001,0.29500000000000004,0.606,6.108,5.95,0.9786999999999999,24.000999999999998,20.936,24.781,25.423000000000002,1.9060000000000001,2.018
"2021-11-20 - NSH 3, MTL 6",MTL,2021-11-20,NSH,3,MTL,6,Won,1.0,44.424,46.608999999999995,34.321999999999996,32.881,2.444,1.293,8.925,9.952,1.8439999999999999,0.6849999999999999,6.606,6.936,19.910999999999998,20.067,0.288,0.20999999999999996,11.243,11.498000000000001,12.671000000000001,13.681000000000001,0.296,0.40099999999999997,6.648000000000001,5.375,0.9648,25.774,21.544,23.738999999999997,25.098,2.037,1.948
"2021-11-24 - MTL 3, WSH 6",MTL,2021-11-24,MTL,3,WSH,6,Won,3.0,46.291,49.719,36.364,35.69,2.3499999999999996,1.584,9.843,9.728,1.75,0.6779999999999999,7.31,6.526999999999999,21.000999999999998,21.59,0.288,0.316,11.927,12.623000000000001,12.519,14.995999999999999,0.296,0.595,6.736,6.0920000000000005,0.9776999999999999,27.3,22.32,24.797,26.598000000000003,2.2190000000000003,2.082
"2021-11-26 - MTL 1, BUF 4",MTL,2021-11-26,MTL,1,BUF,4,Won,1.0,49.992,47.093,39.522999999999996,33.75599999999999,2.84,1.6920000000000002,10.362,8.908,2.037,0.7879999999999999,7.728,5.686,22.759,20.619,0.501,0.316,12.629,11.516000000000002,13.9,14.573000000000002,0.296,0.601,7.1659999999999995,5.954000000000001,0.9731,28.764999999999997,24.171,23.556,24.587,2.305,1.8519999999999999
"2021-11-27 - MTL 6, PIT 3",MTL,2021-11-27,MTL,6,PIT,3,Lost,0.0,52.199,45.931,40.93,33.678,2.592,1.793,10.269,8.575,1.7,0.7879999999999999,7.601999999999999,5.244999999999999,24.378999999999998,20.375,0.501,0.316,13.136,11.25,14.188999999999998,13.725,0.384,0.707,6.904999999999999,6.112,0.9865,29.096000000000004,24.378,22.347,24.228,2.289,1.866
