Game,Team,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2021-10-12 - SEA 3, VGK 4",SEA,2021-10-12,SEA,3,VGK,4,Won,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-14 - SEA 4, NSH 3",SEA,2021-10-14,SEA,4,NSH,3,Lost,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-16 - SEA 1, CBJ 2",SEA,2021-10-16,SEA,1,CBJ,2,Won,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-18 - SEA 1, PHI 6",SEA,2021-10-18,SEA,1,PHI,6,Won,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-19 - SEA 2, NJ 4",SEA,2021-10-19,SEA,2,NJ,4,Won,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-23 - VAN 4, SEA 2",SEA,2021-10-23,VAN,4,SEA,2,Lost,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-26 - MTL 1, SEA 5",SEA,2021-10-26,MTL,1,SEA,5,Won,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-28 - MIN 1, SEA 4",SEA,2021-10-28,MIN,1,SEA,4,Won,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-31 - NYR 3, SEA 1",SEA,2021-10-31,NYR,3,SEA,1,Lost,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-01 - SEA 2, EDM 5",SEA,2021-11-01,SEA,2,EDM,5,Won,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-04 - BUF 2, SEA 5",SEA,2021-11-04,BUF,2,SEA,5,Won,2.0,39.582,41.367000000000004,29.429000000000002,31.038999999999998,2.566,1.873,7.062,9.009,1.459,1.1,6.311,6.919,19.134999999999998,18.772,0.21200000000000002,0.183,8.787,8.539,11.324,11.879999999999999,0.9019999999999999,0.588,5.059,6.2170000000000005,0.9612999999999999,21.168,18.432,20.923000000000002,22.172,1.7239999999999998,1.796
"2021-11-06 - SEA 4, ARI 5",SEA,2021-11-06,SEA,4,ARI,5,Won,1.0,38.011,40.333999999999996,28.137,30.737000000000002,2.281,1.8560000000000003,6.68,8.503,1.169,0.8939999999999999,5.9159999999999995,6.927,18.750999999999998,18.319,0.21200000000000002,0.195,8.485999999999999,8.698,10.669,11.908999999999999,0.913,0.779,5.0649999999999995,6.22,0.9711000000000001,20.536,17.426,20.424,22.309,1.6039999999999999,1.781
"2021-11-09 - SEA 2, VGK 4",SEA,2021-11-09,SEA,2,VGK,4,Won,2.0,37.572,42.042,28.0,31.875999999999998,2.4690000000000003,2.0709999999999997,6.5969999999999995,8.822999999999999,1.262,1.002,5.833,7.0200000000000005,19.217000000000002,19.354999999999997,0.21200000000000002,0.195,8.722,8.652,10.205,12.488,1.0090000000000001,0.883,4.962000000000001,6.563,0.9682999999999999,20.413999999999998,16.875999999999998,21.304000000000002,22.587,1.542,1.863
