Game,Team,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2021-10-16 - STL 5, COL 3",STL,2021-10-16,STL,5,COL,3,Lost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-18 - STL 7, ARI 4",STL,2021-10-18,STL,7,ARI,4,Lost,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-20 - STL 3, VGK 1",STL,2021-10-20,STL,3,VGK,1,Lost,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-23 - LA 3, STL 7",STL,2021-10-23,LA,3,STL,7,Won,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-25 - LA 0, STL 3",STL,2021-10-25,LA,0,STL,3,Won,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-28 - COL 4, STL 3",STL,2021-10-28,COL,4,STL,3,Lost,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-30 - CHI 0, STL 1",STL,2021-10-30,CHI,0,STL,1,Won,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-03 - STL 2, LA 3",STL,2021-11-03,STL,2,LA,3,Won,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-04 - STL 5, SJ 3",STL,2021-11-04,STL,5,SJ,3,Lost,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-07 - STL 1, ANA 4",STL,2021-11-07,STL,1,ANA,4,Won,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-09 - STL 3, WPG 2",STL,2021-11-09,STL,3,WPG,2,Lost,1.0,42.525999999999996,46.091,33.754000000000005,35.413,1.558,2.246,9.686,8.641,1.066,0.925,7.470999999999999,7.034999999999999,19.361,19.905,0.11100000000000002,0.189,9.302,9.328,13.252,17.224,0.391,1.1320000000000001,6.395,8.919,1.0261,24.169,23.012,25.779000000000003,26.219,2.036,2.09
"2021-11-11 - NSH 4, STL 3",STL,2021-11-11,NSH,4,STL,3,Lost,1.0,44.501,46.248,35.464999999999996,35.19199999999999,1.653,2.029,10.575999999999999,8.581999999999999,1.16,1.026,8.188999999999998,6.997,20.713,19.703,0.2,0.189,10.197,9.102,12.913999999999998,17.698,0.29500000000000004,0.826,6.137,8.898,1.0162,25.526999999999997,23.553,26.207,25.947000000000003,2.2079999999999997,2.07
"2021-11-13 - STL 2, CAR 3",STL,2021-11-13,STL,2,CAR,3,Won,1.0,46.379,47.588,36.659,35.622,1.6830000000000003,1.584,10.642,8.693999999999999,1.079,0.7969999999999999,8.114,6.757000000000001,20.991000000000003,19.593,0.30500000000000005,0.189,10.248000000000001,9.363999999999999,14.748,18.425,0.30199999999999994,0.607,7.1659999999999995,9.23,1.0039,26.511000000000003,25.465000000000003,27.055,26.487000000000002,2.2329999999999997,2.061
"2021-11-14 - EDM 5, STL 4",STL,2021-11-14,EDM,5,STL,4,Lost,0.0,44.685,45.456,35.282,34.297999999999995,1.778,1.478,9.965,7.7299999999999995,0.985,0.6910000000000001,7.224000000000001,5.81,20.867,19.520999999999997,0.4,0.189,10.34,9.225,13.897,17.293,0.39699999999999996,0.607,6.489,8.708000000000002,0.9960999999999999,24.679,23.935,24.956,24.901999999999997,2.0919999999999996,1.966
"2021-11-16 - ARI 3, STL 2",STL,2021-11-16,ARI,3,STL,2,Lost,1.0,44.858000000000004,45.062,35.05200000000001,34.807,1.8920000000000001,1.5610000000000002,9.411999999999999,7.9159999999999995,0.884,0.588,6.684,5.6259999999999994,21.309,19.453000000000003,0.4,0.277,10.788,9.42,14.203,17.063,0.607,0.7030000000000001,6.786999999999999,8.934999999999999,0.9953,24.839,23.663,24.938000000000002,25.122,1.9989999999999999,2.021
"2021-11-18 - SJ 1, STL 4",STL,2021-11-18,SJ,1,STL,4,Won,1.0,44.697,43.992000000000004,34.653000000000006,33.979,1.998,1.46,9.117,7.706999999999999,0.99,0.49400000000000005,6.388,5.418,21.080000000000002,18.608,0.4,0.277,10.51,9.287,13.831,16.692,0.607,0.705,6.698,8.898,0.9862,24.288999999999998,22.987000000000002,24.380000000000003,24.514999999999997,2.0260000000000002,1.9989999999999999
"2021-11-20 - STL 1, DAL 4",STL,2021-11-20,STL,1,DAL,4,Won,1.0,43.282,47.5,34.525999999999996,36.702000000000005,1.7830000000000001,1.4709999999999999,8.756,8.791999999999998,0.993,0.5900000000000001,5.822,6.016,20.720000000000002,21.171,0.289,0.182,10.202,10.182,14.151,17.811,0.5029999999999999,0.687,6.639,9.561000000000002,0.9812000000000001,23.165,22.996000000000002,26.535000000000004,26.588,2.057,2.138
"2021-11-22 - VGK 2, STL 5",STL,2021-11-22,VGK,2,STL,5,Won,1.0,41.334999999999994,44.900999999999996,33.165,34.737,1.7830000000000001,1.4709999999999999,8.284,8.162,0.993,0.5900000000000001,5.893,5.46,19.849,20.538,0.289,0.182,9.845,10.228,13.190999999999999,16.059,0.5029999999999999,0.687,6.597999999999999,8.892999999999999,0.9812000000000001,23.044999999999998,21.538000000000004,24.179000000000002,25.598999999999997,1.9620000000000002,1.9789999999999999
"2021-11-24 - STL 2, DET 4",STL,2021-11-24,STL,2,DET,4,Won,1.0,41.053,43.898,33.887,33.63,1.809,1.8509999999999998,8.738,7.626,1.113,0.776,6.5120000000000005,5.26,18.802,19.483,0.289,0.27,10.123,10.287,12.924000000000001,15.722,0.40700000000000003,0.7849999999999999,6.531000000000001,9.08,0.9959000000000001,23.973999999999997,21.742,23.272,25.554,2.024,1.876
"2021-11-26 - STL 2, CHI 3",STL,2021-11-26,STL,2,CHI,3,Won,1.0,41.966,44.664,34.338,34.211,1.9959999999999998,1.6439999999999997,9.514999999999999,8.233,1.113,0.6699999999999999,6.795999999999999,5.768,17.887999999999998,19.199,0.289,0.27,9.894,10.344,13.040000000000001,15.559999999999999,0.598,0.6789999999999999,7.01,9.174000000000001,0.9778,24.494999999999997,22.637,23.73,26.313,2.1109999999999998,1.9630000000000003
"2021-11-27 - CBJ 3, STL 6",STL,2021-11-27,CBJ,3,STL,6,Won,0.0,42.361000000000004,43.851,34.269999999999996,33.404,1.9920000000000002,1.6440000000000001,8.597,7.937,1.015,0.6699999999999999,6.1419999999999995,5.804,18.948999999999998,19.241999999999997,0.289,0.27,10.280000000000001,10.239,13.253,15.607,0.694,0.6789999999999999,7.356999999999999,9.085,0.9785999999999999,24.541999999999998,21.934,23.473,26.023000000000003,2.08,1.9490000000000003
"2021-11-30 - TB 3, STL 4",STL,2021-11-30,TB,3,STL,4,Won,2.0,39.934,44.275999999999996,31.836000000000002,34.574,1.905,2.126,7.455000000000001,8.582,0.9209999999999999,0.8539999999999999,5.328,6.074,17.253,18.45,0.2,0.27,9.003,9.855999999999998,13.638,16.165,0.7939999999999999,0.9709999999999999,7.758,9.859,0.9948,22.806,21.190000000000005,24.654,26.713,1.8760000000000001,2.057
"2021-12-02 - STL 2, TB 4",STL,2021-12-02,STL,2,TB,4,Won,1.0,40.194,42.813,31.778000000000002,33.842,1.8079999999999998,2.126,7.903999999999999,7.984999999999999,0.9259999999999999,0.76,5.669,5.588,18.162,18.287,0.095,0.358,9.023,9.612,13.339000000000002,16.256,0.692,0.9710000000000001,7.178999999999999,9.8,1.0005000000000002,22.687,21.302,24.174,25.794999999999998,1.922,2.0119999999999996
"2021-12-04 - STL 3, FLA 4",STL,2021-12-04,STL,3,FLA,4,Won,1.0,40.894999999999996,43.416,32.378,33.88,1.907,2.025,8.788,7.590999999999999,1.119,0.659,6.667,5.5009999999999994,17.4,18.468,0.095,0.358,8.793000000000001,9.885,14.151999999999997,16.952,0.597,0.9710000000000001,7.476000000000001,9.702,0.9951000000000001,23.806,22.991000000000003,24.494,25.905,1.991,1.934
"2021-12-07 - FLA 3, STL 4",STL,2021-12-07,FLA,3,STL,4,Won,2.0,43.446999999999996,42.187,34.355000000000004,32.254000000000005,1.672,1.956,9.403,7.036,1.002,0.673,6.842999999999999,5.1899999999999995,18.696,17.808,0.095,0.27,9.589,9.572,14.568999999999999,16.544,0.483,0.9799999999999999,7.347999999999999,9.193999999999999,1.0052,24.73,24.043,23.502,25.072,2.2,1.891
"2021-12-09 - DET 2, STL 6",STL,2021-12-09,DET,2,STL,6,Won,1.0,45.525999999999996,41.870999999999995,36.00599999999999,32.357,1.8780000000000001,2.051,10.129999999999999,7.399000000000001,1.103,0.767,7.462999999999999,5.468,18.405,17.506999999999998,0.095,0.27,9.496,9.491,16.256999999999998,15.876000000000001,0.588,0.9800000000000001,8.391,8.535,1.0073,26.389,26.457,23.21,24.909,2.347,1.887
