Game,Team,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2021-10-13 - WPG 1, ANA 4",WPG,2021-10-13,WPG,1,ANA,4,Won,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-16 - WPG 3, SJ 4",WPG,2021-10-16,WPG,3,SJ,4,Won,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-19 - WPG 5, MIN 6",WPG,2021-10-19,WPG,5,MIN,6,Won,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-21 - ANA 1, WPG 5",WPG,2021-10-21,ANA,1,WPG,5,Won,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-23 - NSH 4, WPG 6",WPG,2021-10-23,NSH,4,WPG,6,Won,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-26 - WPG 4, ANA 3",WPG,2021-10-26,WPG,4,ANA,3,Lost,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-28 - WPG 3, LA 2",WPG,2021-10-28,WPG,3,LA,2,Lost,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-30 - WPG 1, SJ 2",WPG,2021-10-30,WPG,1,SJ,2,Won,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-02 - DAL 3, WPG 4",WPG,2021-11-02,DAL,3,WPG,4,Won,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-05 - CHI 1, WPG 5",WPG,2021-11-05,CHI,1,WPG,5,Won,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-06 - NYI 2, WPG 0",WPG,2021-11-06,NYI,2,WPG,0,Lost,0.0,40.566,46.102999999999994,30.611,33.138999999999996,1.448,2.407,8.486,8.443000000000001,0.876,1.363,6.397,6.553999999999999,18.547,23.237000000000002,0.188,0.30300000000000005,8.987,9.361,12.376999999999999,14.147,0.38099999999999995,0.727,5.843,6.5969999999999995,1.0391,22.779999999999998,21.015,22.544999999999998,23.537,1.841,1.9949999999999999
"2021-11-09 - STL 3, WPG 2",WPG,2021-11-09,STL,3,WPG,2,Lost,2.0,43.892,47.253,33.471000000000004,33.731,1.468,2.306,9.469999999999999,8.574000000000002,0.991,1.363,6.894,6.627,19.663999999999998,23.612000000000002,0.188,0.21000000000000002,9.533,9.808,13.315999999999999,14.939999999999998,0.2859999999999999,0.727,6.614,6.366,1.0422,24.805,22.912,23.475,23.836000000000002,2.109,1.9809999999999999
"2021-11-11 - SJ 1, WPG 4",WPG,2021-11-11,SJ,1,WPG,4,Won,1.0,44.652,49.861000000000004,33.764,36.733999999999995,1.47,2.286,9.334,9.892000000000001,0.993,1.351,6.718000000000001,7.617999999999999,19.591,24.333000000000002,0.188,0.29900000000000004,9.838,11.048,13.918000000000001,15.073000000000002,0.2859999999999999,0.625,6.743,6.335,1.0345,25.077999999999996,23.377000000000002,24.938,25.941000000000003,2.066,2.247
