Game,Team,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2022-10-12 - CBJ 1, CAR 4",CAR,2022-10-12,CBJ,1,CAR,4,Won,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-14 - CAR 2, SJ 1",CAR,2022-10-14,CAR,2,SJ,1,Lost,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-17 - CAR 5, SEA 1",CAR,2022-10-17,CAR,5,SEA,1,Lost,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-20 - CAR 4, EDM 6",CAR,2022-10-20,CAR,4,EDM,6,Won,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-22 - CAR 2, CGY 3",CAR,2022-10-22,CAR,2,CGY,3,Won,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-24 - CAR 3, VAN 2",CAR,2022-10-24,CAR,3,VAN,2,Lost,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-28 - NYI 6, CAR 2",CAR,2022-10-28,NYI,6,CAR,2,Lost,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-29 - CAR 4, PHI 3",CAR,2022-10-29,CAR,4,PHI,3,Lost,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-31 - WSH 2, CAR 3",CAR,2022-10-31,WSH,2,CAR,3,Won,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-11-03 - CAR 4, TB 3",CAR,2022-11-03,CAR,4,TB,3,Lost,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-11-04 - BUF 3, CAR 5",CAR,2022-11-04,BUF,3,CAR,5,Won,0.0,31.681,57.023,23.959,41.281,1.498,2.2359999999999998,7.127,11.641,0.8009999999999999,1.332,5.186,7.787999999999999,12.653,27.029000000000003,0.388,0.372,6.17,12.108,8.786,16.384,0.29700000000000004,0.514,5.49,7.044,1.0046,18.706,15.919,28.008,28.203000000000003,1.5350000000000001,2.495
"2022-11-06 - TOR 3, CAR 1",CAR,2022-11-06,TOR,3,CAR,1,Lost,1.0,30.068,52.262,22.462,37.965,1.6029999999999998,2.138,7.196,10.861999999999998,0.8009999999999999,1.24,5.1739999999999995,7.295,12.47,24.396,0.28300000000000003,0.366,6.146,11.174,7.808,15.86,0.507,0.5109999999999999,4.6419999999999995,6.9510000000000005,1.0005,17.41,15.014,26.709999999999997,26.493000000000002,1.468,2.3489999999999998
"2022-11-09 - CAR 0, FLA 3",CAR,2022-11-09,CAR,0,FLA,3,Won,2.0,31.912,52.65899999999999,24.192,39.137,1.823,1.9309999999999998,7.765000000000001,10.987,1.0150000000000001,1.0330000000000001,5.316999999999999,7.160000000000001,12.674,23.880000000000003,0.28300000000000003,0.366,6.609999999999999,11.129,8.538,15.780000000000001,0.518,0.5109999999999999,5.055999999999999,7.214999999999999,0.9867999999999999,18.432,16.315,26.734,26.389,1.5939999999999999,2.4
"2022-11-10 - EDM 2, CAR 7",CAR,2022-11-10,EDM,2,CAR,7,Won,0.0,33.013999999999996,51.303999999999995,25.311,38.205,1.9169999999999998,1.6119999999999997,8.056000000000001,10.952,1.109,0.7110000000000001,5.407,7.351999999999999,13.491,23.431,0.28300000000000003,0.366,7.118,10.964,8.937000000000001,15.423000000000002,0.518,0.5109999999999999,5.106999999999999,6.976999999999999,0.9711000000000001,18.891,16.981,26.368000000000002,26.116000000000003,1.634,2.394
"2022-11-12 - CAR 1, COL 4",CAR,2022-11-12,CAR,1,COL,4,Won,1.0,32.325,52.625,25.234,39.303000000000004,1.8189999999999997,1.998,8.303,12.199000000000002,1.112,0.905,5.22,8.131,13.536000000000001,23.446,0.177,0.27199999999999996,7.131,10.416,8.091999999999999,15.152000000000001,0.518,0.796,4.406,6.997999999999999,0.9847999999999999,17.886,16.393,27.32,26.285000000000004,1.5870000000000002,2.508
"2022-11-14 - CAR 3, CHI 0",CAR,2022-11-14,CAR,3,CHI,0,Lost,1.0,31.893,52.31699999999999,24.909,39.242000000000004,1.925,1.8860000000000003,8.82,11.877,1.112,0.9030000000000001,5.834,7.744999999999999,12.884,23.849,0.194,0.27199999999999996,6.723999999999999,11.236,7.728,14.164000000000001,0.612,0.692,4.122,6.632,0.9715999999999999,17.723,16.558,26.038999999999998,26.254,1.652,2.449
"2022-11-17 - COL 3, CAR 2",CAR,2022-11-17,COL,3,CAR,2,Lost,2.0,31.355,50.66799999999999,25.029,37.528000000000006,1.8299999999999996,1.991,9.206,10.693999999999999,1.112,0.6890000000000001,6.319999999999999,7.108000000000001,12.165,23.294,0.10600000000000001,0.383,6.678999999999999,11.132,7.586,13.996,0.612,0.8939999999999999,4.0969999999999995,6.008,0.9879,18.139,16.815,24.697,24.875999999999998,1.6780000000000002,2.249
"2022-11-19 - CAR 1, MIN 2",CAR,2022-11-19,CAR,1,MIN,2,Won,1.0,28.899,49.17,23.017000000000003,36.981,1.4069999999999998,1.991,8.562,10.786,0.898,0.6890000000000001,5.904,7.389,11.526,22.773000000000003,0.10600000000000001,0.29400000000000004,5.824,11.178999999999998,6.8420000000000005,13.399000000000001,0.41000000000000003,0.99,3.3609999999999998,6.106,0.9931999999999999,15.913,15.433000000000002,24.18,25.288999999999998,1.513,2.255
"2022-11-21 - CAR 3, WPG 4",CAR,2022-11-21,CAR,3,WPG,4,Won,1.0,30.352000000000004,50.096,23.851,37.448,1.31,1.7830000000000001,8.357,10.05,0.711,0.5810000000000001,5.693,6.768000000000001,13.45,23.435,0.10600000000000001,0.2,6.292,11.426,6.431,13.780000000000001,0.506,0.9899999999999999,3.246,6.327,0.9898,15.930000000000001,14.825,23.819,25.166999999999998,1.517,2.163
"2022-11-23 - ARI 4, CAR 0",CAR,2022-11-23,ARI,4,CAR,0,Lost,1.0,31.047000000000004,51.602999999999994,24.4,38.778999999999996,1.501,1.691,8.536,9.794999999999998,0.709,0.48900000000000005,5.798,6.212000000000001,13.39,24.011,0.10600000000000001,0.2,6.207,11.168000000000001,7.044000000000001,14.941000000000003,0.6980000000000001,0.9899999999999999,3.746,6.825,0.9741,16.265,15.600999999999999,24.764,24.868000000000002,1.59,2.225
"2022-11-25 - CAR 2, BOS 3",CAR,2022-11-25,CAR,2,BOS,3,Won,1.0,31.360000000000003,50.632999999999996,24.526000000000003,37.22,1.725,1.5850000000000002,8.495000000000001,9.633,0.8300000000000001,0.48900000000000005,5.802,5.787,13.071000000000002,21.704,0.10600000000000001,0.2,6.1690000000000005,10.593,7.423,14.349,0.8030000000000002,0.885,4.115,6.138,0.96,16.497,15.909,24.039,23.387999999999998,1.6189999999999998,2.127
"2022-11-26 - CGY 2, CAR 3",CAR,2022-11-26,CGY,2,CAR,3,Won,0.0,32.18900000000001,49.766000000000005,25.053,36.702999999999996,1.7009999999999998,1.2990000000000002,8.363,9.483,0.923,0.39,5.888,5.923,13.376,21.698,0.195,0.11100000000000002,6.540000000000001,10.765,8.437000000000001,13.665000000000001,0.5930000000000001,0.79,4.454000000000001,5.779999999999999,0.9498,17.197,16.799,23.201999999999998,23.535999999999998,1.5930000000000002,2.0740000000000003
"2022-11-29 - CAR 3, PIT 2",CAR,2022-11-29,CAR,3,PIT,2,Lost,2.0,32.108,49.352999999999994,24.826,36.239000000000004,1.488,1.3930000000000002,8.033999999999999,9.495999999999999,0.8099999999999999,0.4840000000000001,5.765,5.929,12.95,20.979,0.195,0.11100000000000002,6.254,10.971,8.412,13.822,0.487,0.79,4.35,5.993,0.9622999999999999,16.773000000000003,16.455000000000002,23.356,23.872,1.554,2.074
