Game,Team,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2022-10-12 - CHI 2, COL 5",COL,2022-10-12,CHI,2,COL,5,Won,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-13 - COL 3, CGY 5",COL,2022-10-13,COL,3,CGY,5,Won,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-17 - COL 6, MIN 3",COL,2022-10-17,COL,6,MIN,3,Lost,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-19 - WPG 4, COL 3",COL,2022-10-19,WPG,4,COL,3,Lost,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-21 - SEA 3, COL 2",COL,2022-10-21,SEA,3,COL,2,Lost,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-22 - COL 3, VGK 2",COL,2022-10-22,COL,3,VGK,2,Lost,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-25 - COL 3, NYR 2",COL,2022-10-25,COL,3,NYR,2,Lost,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-28 - COL 0, NJ 1",COL,2022-10-28,COL,0,NJ,1,Won,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-29 - COL 4, NYI 5",COL,2022-10-29,COL,4,NYI,5,Won,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-11-04 - CBJ 3, COL 6",COL,2022-11-04,CBJ,3,COL,6,Won,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-11-05 - COL 5, CBJ 1",COL,2022-11-05,COL,5,CBJ,1,Lost,0.0,41.408,47.434000000000005,31.514,33.837,1.267,1.411,9.419,7.987,0.867,1.014,6.935,5.536,17.606,20.753,0.199,0.0,9.482000000000001,11.571000000000002,11.693999999999999,14.553,0.20099999999999998,0.38899999999999996,6.046,7.159000000000001,1.0065,23.972,21.173000000000002,22.46,25.695,2.1109999999999998,1.9149999999999998
"2022-11-10 - NSH 3, COL 5",COL,2022-11-10,NSH,3,COL,5,Won,4.0,42.708,50.863,32.787,36.498,1.267,1.8490000000000002,9.16,9.447,0.867,1.2280000000000002,6.978,6.808,18.797,21.693,0.199,0.0,10.716000000000001,11.775,11.562000000000001,15.118,0.20099999999999998,0.6,5.831,7.970000000000001,1.0137,25.197,20.769,24.48,28.040999999999997,2.084,2.116
"2022-11-12 - CAR 1, COL 4",COL,2022-11-12,CAR,1,COL,4,Won,1.0,44.371,52.909000000000006,33.745999999999995,37.970000000000006,1.282,2.041,9.137,10.097999999999999,0.6759999999999999,1.416,6.809,7.172,19.857999999999997,22.601999999999997,0.398,0.0,11.427000000000001,12.096,11.679,15.384,0.20099999999999998,0.6,6.068,7.974000000000001,1.0225000000000002,26.029000000000003,20.885,25.383000000000003,28.629,2.116,2.232
"2022-11-14 - STL 3, COL 2",COL,2022-11-14,STL,3,COL,2,Lost,1.0,44.517,49.032000000000004,33.768,34.797999999999995,1.383,1.92,9.508,9.6,0.78,1.202,6.7700000000000005,7.017,19.707,20.857000000000003,0.398,0.10600000000000001,11.147000000000002,11.234,11.549000000000001,13.729,0.20099999999999998,0.5890000000000001,6.470000000000001,6.788000000000001,1.0240000000000002,25.826,21.122,23.26,26.326,2.15,2.084
"2022-11-17 - COL 3, CAR 2",COL,2022-11-17,COL,3,CAR,2,Lost,2.0,45.676,49.663,35.311,36.21,1.482,1.8240000000000003,10.562000000000001,9.618,0.881,1.016,7.829000000000001,6.842999999999999,20.125999999999998,21.25,0.392,0.20099999999999998,12.138000000000002,11.986,11.053999999999998,14.014000000000001,0.20099999999999998,0.5890000000000001,6.034000000000001,6.984999999999999,1.0195,27.427,21.687,23.564,27.073,2.289,2.048
"2022-11-19 - COL 4, WSH 0",COL,2022-11-19,COL,4,WSH,0,Lost,1.0,45.773,48.571000000000005,35.123,35.54899999999999,1.4540000000000002,1.8350000000000002,10.341000000000001,9.385000000000002,0.7590000000000001,1.029,7.572,6.953,20.384999999999998,21.556,0.392,0.20099999999999998,12.256000000000002,11.962,11.244,13.038999999999998,0.297,0.5890000000000001,5.943,6.611,1.0234999999999999,27.099,21.687,22.334,26.568,2.2329999999999997,2.022
