Game,Team,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2022-10-12 - VAN 3, EDM 5",EDM,2022-10-12,VAN,3,EDM,5,Won,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-15 - CGY 4, EDM 3",EDM,2022-10-15,CGY,4,EDM,3,Lost,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-18 - BUF 4, EDM 2",EDM,2022-10-18,BUF,4,EDM,2,Lost,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-20 - CAR 4, EDM 6",EDM,2022-10-20,CAR,4,EDM,6,Won,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-22 - STL 2, EDM 0",EDM,2022-10-22,STL,2,EDM,0,Lost,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-24 - PIT 3, EDM 6",EDM,2022-10-24,PIT,3,EDM,6,Won,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-26 - EDM 3, STL 1",EDM,2022-10-26,EDM,3,STL,1,Lost,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-27 - EDM 6, CHI 5",EDM,2022-10-27,EDM,6,CHI,5,Lost,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-29 - EDM 3, CGY 2",EDM,2022-10-29,EDM,3,CGY,2,Lost,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-11-01 - NSH 4, EDM 7",EDM,2022-11-01,NSH,4,EDM,7,Won,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-11-03 - NJ 4, EDM 3",EDM,2022-11-03,NJ,4,EDM,3,Lost,1.0,43.574,45.141,34.761,32.936,1.737,2.072,7.769,8.866,1.117,1.3599999999999999,5.04,6.313,19.403,18.889,0.31,0.2,11.206,8.467,12.492,14.713999999999999,0.306,0.505,7.106,7.755,1.012,25.069,20.285,23.662,23.549,2.178,2.09
"2022-11-05 - DAL 6, EDM 2",EDM,2022-11-05,DAL,6,EDM,2,Lost,1.0,45.674,46.914,36.487,35.016,1.9329999999999998,2.167,8.333,10.278,1.011,1.36,5.519,7.134,20.175,19.516,0.292,0.2,10.68,8.953,13.720000000000002,14.975999999999999,0.623,0.6,8.265,7.905000000000001,1.0098999999999998,26.276999999999997,22.134,25.32,25.036,2.317,2.269
