Game,Team,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2022-10-07 - SJ 1, NSH 4",NSH,2022-10-07,SJ,1,NSH,4,Won,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-08 - NSH 3, SJ 2",NSH,2022-10-08,NSH,3,SJ,2,Lost,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-13 - DAL 4, NSH 1",NSH,2022-10-13,DAL,4,NSH,1,Lost,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-15 - NSH 1, DAL 5",NSH,2022-10-15,NSH,1,DAL,5,Won,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-18 - LA 4, NSH 3",NSH,2022-10-18,LA,4,NSH,3,Lost,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-20 - NSH 3, CBJ 5",NSH,2022-10-20,NSH,3,CBJ,5,Won,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-22 - PHI 3, NSH 1",NSH,2022-10-22,PHI,3,NSH,1,Lost,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-27 - STL 2, NSH 6",NSH,2022-10-27,STL,2,NSH,6,Won,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-29 - WSH 3, NSH 0",NSH,2022-10-29,WSH,3,NSH,0,Lost,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-11-01 - NSH 4, EDM 7",NSH,2022-11-01,NSH,4,EDM,7,Won,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-11-03 - NSH 4, CGY 1",NSH,2022-11-03,NSH,4,CGY,1,Lost,1.0,43.393,43.238,32.073,31.575,2.102,1.786,8.754,7.897,1.025,0.998,6.015,4.955,18.506999999999998,21.19,0.183,0.20600000000000002,8.484,9.456999999999999,14.303,13.126,0.8869999999999999,0.585,7.345000000000001,6.0280000000000005,0.9965999999999999,22.874000000000002,23.006,21.133000000000003,21.556,2.073,1.988
"2022-11-05 - NSH 4, VAN 3",NSH,2022-11-05,NSH,4,VAN,3,Lost,1.0,43.656,43.303000000000004,31.656,32.376,2.093,1.7109999999999999,8.628,7.428,1.116,1.1179999999999999,6.029999999999999,4.739,18.466,21.106,0.183,0.20600000000000002,8.608,10.031,14.254000000000001,13.394,0.7809999999999999,0.396,7.106999999999999,6.095000000000001,0.992,22.77,22.845000000000002,20.93,21.949,2.015,2.011
"2022-11-08 - NSH 1, SEA 5",NSH,2022-11-08,NSH,1,SEA,5,Won,2.0,45.144,43.596,33.269,33.195,2.192,1.6059999999999999,9.052000000000001,8.046000000000001,1.215,1.0170000000000001,6.353,5.244,18.080000000000002,19.909,0.278,0.29900000000000004,9.337,10.306000000000001,14.770000000000001,13.409,0.686,0.29100000000000004,7.42,5.882,0.9789999999999999,24.322,23.762,21.576,22.703000000000003,2.0629999999999997,2.1390000000000002
"2022-11-10 - NSH 3, COL 5",NSH,2022-11-10,NSH,3,COL,5,Won,1.0,45.660000000000004,45.093,33.04,34.227,2.3720000000000003,1.614,8.864999999999998,8.284,1.002,1.1190000000000002,5.878,5.452,18.395,20.229,0.373,0.29900000000000004,9.330000000000002,10.308,14.686000000000002,14.308000000000002,0.9780000000000001,0.195,7.3759999999999994,5.923,0.9678000000000001,24.024,23.490000000000002,22.743000000000002,22.78,2.038,2.2239999999999998
