Game,Team,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2022-10-13 - ARI 2, PIT 6",PIT,2022-10-13,ARI,2,PIT,6,Won,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-15 - TB 2, PIT 6",PIT,2022-10-15,TB,2,PIT,6,Won,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-17 - PIT 2, MTL 3",PIT,2022-10-17,PIT,2,MTL,3,Won,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-20 - LA 1, PIT 6",PIT,2022-10-20,LA,1,PIT,6,Won,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-22 - PIT 6, CBJ 3",PIT,2022-10-22,PIT,6,CBJ,3,Lost,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-24 - PIT 3, EDM 6",PIT,2022-10-24,PIT,3,EDM,6,Won,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-25 - PIT 1, CGY 4",PIT,2022-10-25,PIT,1,CGY,4,Won,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-28 - PIT 1, VAN 5",PIT,2022-10-28,PIT,1,VAN,5,Won,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-29 - PIT 1, SEA 3",PIT,2022-10-29,PIT,1,SEA,3,Won,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-11-01 - BOS 6, PIT 5",PIT,2022-11-01,BOS,6,PIT,5,Lost,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-11-02 - PIT 3, BUF 6",PIT,2022-11-02,PIT,3,BUF,6,Won,0.0,46.202,51.013999999999996,33.946000000000005,39.07,1.847,2.6100000000000003,8.358,11.044,1.746,1.693,6.361,8.051,21.380000000000003,22.825,0.10700000000000001,0.599,9.847,11.831,13.497,14.372,0.0,0.30700000000000005,7.665000000000001,7.833,1.0164,25.294999999999998,22.002000000000002,25.39,29.415999999999997,2.036,2.689
"2022-11-05 - SEA 3, PIT 2",PIT,2022-11-05,SEA,3,PIT,2,Lost,2.0,46.809,49.004000000000005,34.959,36.905,2.129,2.432,8.238,10.279,1.8399999999999999,1.405,6.25,7.141000000000001,20.994,22.898,0.196,0.493,10.153,11.451,14.298999999999998,13.415000000000001,0.10300000000000001,0.516,7.8420000000000005,7.220000000000001,1.0058,25.957,22.677,23.684,27.365999999999996,2.066,2.524
"2022-11-09 - PIT 4, WSH 1",PIT,2022-11-09,PIT,4,WSH,1,Lost,3.0,46.623,49.706,35.230000000000004,37.007,2.341,2.329,8.784,9.687000000000001,1.95,1.214,6.581,6.74,20.32,22.796,0.29,0.582,10.248000000000001,11.065999999999999,13.773000000000001,13.416,0.10300000000000001,0.513,7.359,7.297,0.9949999999999999,25.99,22.669,23.099,26.949,2.1109999999999998,2.414
"2022-11-11 - PIT 4, TOR 2",PIT,2022-11-11,PIT,4,TOR,2,Lost,1.0,46.202,49.671,34.701,36.88,2.338,2.327,9.23,9.657999999999998,1.948,1.106,7.030000000000001,6.601000000000001,19.993000000000002,22.939,0.29,0.694,9.916,10.781,13.415000000000001,13.065000000000001,0.10300000000000001,0.5130000000000001,6.619,7.404999999999999,0.9945,25.3,22.752,22.731,26.740999999999996,2.118,2.442
"2022-11-12 - PIT 4, MTL 5",PIT,2022-11-12,PIT,4,MTL,5,Won,0.0,45.634,49.138,34.29600000000001,36.59,2.432,2.2479999999999998,9.262,9.810999999999998,1.948,1.02,7.270999999999999,6.521000000000001,18.703,22.836,0.29,0.599,9.767,10.726,13.559999999999999,12.344,0.198,0.6180000000000001,6.1240000000000006,6.7620000000000005,0.9911999999999999,24.807,22.913000000000004,22.212,25.928999999999995,2.132,2.407
"2022-11-15 - TOR 5, PIT 2",PIT,2022-11-15,TOR,5,PIT,2,Lost,2.0,45.807,47.262,34.438,35.102999999999994,2.518,1.8370000000000002,9.403,9.282,1.8470000000000002,0.8099999999999999,7.397,6.093999999999999,18.130000000000003,22.051,0.47400000000000003,0.4130000000000001,10.082,9.885000000000002,13.405000000000001,11.536000000000001,0.198,0.618,6.0200000000000005,6.0440000000000005,0.9841,25.228,22.916,20.87,24.139,2.145,2.2760000000000002
"2022-11-17 - PIT 6, MIN 4",PIT,2022-11-17,PIT,6,MIN,4,Lost,1.0,45.381,48.46,33.129,35.468,2.4650000000000003,1.811,9.007,9.988000000000001,1.6939999999999997,0.7949999999999999,6.706999999999999,6.563,17.129,21.563000000000002,0.579,0.4130000000000001,9.666,9.274000000000001,14.383,12.830000000000002,0.198,0.617,6.389000000000001,6.348999999999999,0.9811,24.387,23.448,22.915999999999997,24.181,2.073,2.341
"2022-11-19 - PIT 3, WPG 0",PIT,2022-11-19,PIT,3,WPG,0,Lost,1.0,43.309999999999995,48.012,32.125,34.568,2.452,2.132,8.154,9.667,1.593,0.7949999999999999,6.178999999999999,6.628,16.695999999999998,21.489,0.472,0.518,9.721,9.318999999999999,14.622,12.357,0.39699999999999996,0.825,6.343,5.917,0.9925,23.552,22.842,22.071,23.805,1.9920000000000002,2.257
"2022-11-20 - PIT 5, CHI 3",PIT,2022-11-20,PIT,5,CHI,3,Lost,0.0,43.745,48.559000000000005,32.656,35.723,2.259,2.3449999999999998,8.102,10.23,1.4,0.7949999999999999,5.9430000000000005,6.864999999999999,17.310000000000002,20.967000000000002,0.472,0.623,10.317000000000002,8.956999999999999,14.553999999999998,12.346,0.39699999999999996,0.9289999999999999,6.319,6.244999999999999,1.008,23.764,22.741000000000003,22.593,24.256999999999998,1.9,2.3150000000000004
"2022-11-23 - CGY 1, PIT 2",PIT,2022-11-23,CGY,1,PIT,2,Won,2.0,42.519,47.994,31.887,34.837,2.256,2.663,7.513000000000001,10.008999999999999,1.3050000000000002,0.9030000000000001,5.539,6.610000000000001,17.215,20.977,0.561,0.7350000000000001,10.789000000000001,9.296,14.103,12.51,0.39699999999999996,1.034,6.176,5.758,1.0230000000000001,23.758000000000003,21.739,22.502999999999997,23.56,1.8059999999999998,2.2520000000000002
"2022-11-25 - PIT 4, PHI 1",PIT,2022-11-25,PIT,4,PHI,1,Lost,1.0,43.128,47.188,32.365,34.361000000000004,2.0490000000000004,2.373,7.204000000000001,9.229,0.9949999999999999,0.6180000000000001,5.231,6.214,17.464999999999996,20.192,0.561,0.628,10.925,9.16,14.562000000000001,13.485,0.503,1.129,6.304,6.635,1.0211000000000001,23.924999999999997,21.884999999999998,22.671,23.719,1.7760000000000002,2.158
"2022-11-26 - TOR 4, PIT 1",PIT,2022-11-26,TOR,4,PIT,1,Lost,0.0,42.82,49.166,32.199,35.074,1.859,2.586,7.614,9.708,0.992,1.048,5.468,6.921000000000001,17.584,20.145,0.4720000000000001,0.628,11.004999999999999,8.724,13.403,14.253,0.4,0.9199999999999999,5.745,6.846000000000001,1.0335,23.871000000000002,21.124000000000002,23.924,24.519,1.7760000000000002,2.2270000000000003
"2022-11-29 - CAR 3, PIT 2",PIT,2022-11-29,CAR,3,PIT,2,Lost,2.0,44.193999999999996,46.688,33.07299999999999,33.381,1.97,2.491,8.017,9.513,0.993,1.048,5.748,6.836,18.261,18.757,0.378,0.539,11.153,8.599,13.761000000000001,13.715,0.601,0.921,6.540000000000001,6.514,1.0326,24.994,21.852,23.226,23.594,1.886,2.143
"2022-12-01 - VGK 3, PIT 4",PIT,2022-12-01,VGK,3,PIT,4,Won,1.0,45.269,46.625,34.626000000000005,33.405,2.085,2.3739999999999997,8.065000000000001,10.039000000000001,1.109,1.142,5.955,7.332000000000001,19.768,18.729,0.378,0.322,12.169,9.068,12.856,13.222999999999999,0.601,0.921,6.487,5.947,1.0254,26.524,20.98,23.29,24.191,1.9460000000000002,2.125
"2022-12-03 - STL 2, PIT 6",PIT,2022-12-03,STL,2,PIT,6,Won,1.0,45.469,48.154,35.428999999999995,34.315999999999995,2.097,2.344,7.885000000000001,10.546000000000001,1.215,1.0270000000000001,5.654999999999999,7.793000000000001,20.818,19.104000000000003,0.378,0.41000000000000003,12.427,9.827,12.458,13.643,0.506,0.9109999999999999,6.822,6.095000000000001,1.0186,26.927,20.383000000000003,24.241,25.544999999999998,1.9130000000000003,2.1740000000000004
"2022-12-06 - CBJ 1, PIT 4",PIT,2022-12-06,CBJ,1,PIT,4,Won,2.0,44.07,50.168,34.802,35.584,2.0200000000000005,2.425,7.478999999999999,11.426,1.225,1.0150000000000001,5.329,8.075,20.213,18.963,0.28700000000000003,0.41000000000000003,11.564,10.097999999999999,12.643,14.819999999999999,0.506,0.9979999999999999,6.837000000000001,6.920999999999999,1.0147,25.838,20.176000000000002,26.264999999999997,26.736,1.8880000000000003,2.289
"2022-12-09 - PIT 4, BUF 3",PIT,2022-12-09,PIT,4,BUF,3,Lost,2.0,43.507999999999996,49.308,34.021,35.719,1.7,2.425,7.5920000000000005,11.261,0.9019999999999999,1.11,5.694000000000001,7.759,20.63,19.104,0.182,0.41000000000000003,10.947999999999999,10.584999999999999,11.523,14.101999999999999,0.611,0.8949999999999999,6.599000000000001,6.689,1.0253,25.359,19.199,25.327999999999996,26.577999999999996,1.834,2.294
"2022-12-10 - BUF 1, PIT 3",PIT,2022-12-10,BUF,1,PIT,3,Won,0.0,43.681,48.427,34.372,35.696999999999996,1.608,2.311,7.889000000000001,11.242,0.9960000000000001,1.211,5.984,7.953999999999999,20.268,18.981,0.182,0.41000000000000003,10.9,10.641000000000002,11.629000000000001,14.145,0.41200000000000003,0.687,7.214,6.678,1.0283,26.419,19.579,25.368,26.807,1.871,2.287
"2022-12-12 - DAL 1, PIT 2",PIT,2022-12-12,DAL,1,PIT,2,Won,1.0,44.933,47.848,34.89,35.131,1.709,2.2960000000000003,7.844999999999999,11.687999999999999,1.1,1.31,6.1,8.442,20.994999999999997,18.003,0.182,0.30500000000000005,10.546000000000001,10.412,11.806999999999999,14.267,0.41200000000000003,0.6769999999999999,7.424000000000001,6.4590000000000005,1.0251,26.744,19.731,25.937,26.443,1.991,2.37
"2022-12-15 - PIT 4, FLA 2",PIT,2022-12-15,PIT,4,FLA,2,Lost,2.0,45.988,47.364,34.774,34.517,1.6310000000000002,1.966,8.036,10.923,1.009,1.19,6.269,8.058,22.017,18.613,0.093,0.193,10.421,10.452,11.754000000000001,13.671000000000001,0.517,0.572,7.1049999999999995,6.326,1.0141,26.487000000000002,19.851000000000003,24.6,26.176,1.9669999999999999,2.257
"2022-12-18 - PIT 2, CAR 3",PIT,2022-12-18,PIT,2,CAR,3,Won,2.0,45.955,46.911,35.061,35.281,1.719,1.8719999999999999,9.035,11.25,1.103,1.19,6.9079999999999995,8.154,21.988000000000003,18.549,0.093,0.193,10.350999999999999,10.459,10.366,13.190000000000001,0.514,0.477,6.553,6.09,1.0083,26.596000000000004,19.459,24.459,26.162,1.9969999999999999,2.3240000000000003
"2022-12-20 - NYR 2, PIT 3",PIT,2022-12-20,NYR,2,PIT,3,Won,1.0,46.55499999999999,45.411,35.318,35.339,1.908,1.552,9.017,11.276,1.106,0.76,6.973000000000001,7.540000000000001,22.759999999999998,18.666,0.182,0.193,10.756,10.608,10.88,12.041,0.609,0.5820000000000001,6.759,5.756,0.9906999999999998,26.699,19.943,23.337,25.362000000000002,2.038,2.315
"2022-12-22 - CAR 4, PIT 3",PIT,2022-12-22,CAR,4,PIT,3,Lost,1.0,45.88,45.334,34.211,35.001999999999995,1.6919999999999997,1.559,8.297,11.199000000000002,0.9969999999999999,0.859,6.368,7.55,22.082,18.637999999999998,0.28700000000000003,0.193,10.577,10.6,11.666,12.093,0.40800000000000003,0.48599999999999993,6.075,5.792,0.9924,25.110999999999997,20.045,23.282999999999998,25.401999999999997,1.8829999999999998,2.314
