Game,Team,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2022-10-11 - TB 1, NYR 3",TB,2022-10-11,TB,1,NYR,3,Won,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-14 - TB 5, CBJ 2",TB,2022-10-14,TB,5,CBJ,2,Lost,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-15 - TB 2, PIT 6",TB,2022-10-15,TB,2,PIT,6,Won,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-18 - PHI 3, TB 2",TB,2022-10-18,PHI,3,TB,2,Lost,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-21 - TB 3, FLA 2",TB,2022-10-21,TB,3,FLA,2,Lost,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-22 - NYI 3, TB 5",TB,2022-10-22,NYI,3,TB,5,Won,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-25 - TB 2, LA 4",TB,2022-10-25,TB,2,LA,4,Won,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-26 - TB 4, ANA 2",TB,2022-10-26,TB,4,ANA,2,Lost,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-29 - TB 4, SJ 3",TB,2022-10-29,TB,4,SJ,3,Lost,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-11-01 - OTT 3, TB 4",TB,2022-11-01,OTT,3,TB,4,Won,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-11-03 - CAR 4, TB 3",TB,2022-11-03,CAR,4,TB,3,Lost,1.0,40.846,43.528999999999996,29.1,31.867,2.149,2.12,8.684999999999999,9.809000000000001,0.985,1.101,5.558999999999999,6.8260000000000005,19.459,21.316,0.184,0.705,8.757,9.428999999999998,13.265,13.788999999999998,0.994,0.304,6.099,5.811999999999999,0.9847999999999999,21.213,21.964000000000002,23.538,23.033,1.982,2.0469999999999997
"2022-11-05 - BUF 3, TB 5",TB,2022-11-05,BUF,3,TB,5,Won,1.0,42.815000000000005,43.861,31.084000000000003,32.156,2.156,2.214,9.016,9.786999999999999,0.8859999999999999,1.1949999999999998,5.744,6.651000000000001,21.331,21.465,0.184,0.705,9.287,9.531,14.236,13.931000000000001,1.099,0.304,7.049000000000001,5.99,0.9926,22.863,23.28,23.669999999999998,23.156,2.049,2.0300000000000002
"2022-11-08 - EDM 3, TB 2",TB,2022-11-08,EDM,3,TB,2,Lost,2.0,44.856,41.144,32.062,29.942,2.176,2.0709999999999997,10.104,9.610999999999999,1.093,1.0719999999999998,6.590999999999999,6.601999999999999,22.032999999999998,20.072,0.184,0.49399999999999994,9.097,8.366999999999999,15.155000000000001,13.419,0.908,0.49399999999999994,6.891,5.592999999999999,0.9955999999999999,23.341,25.289,23.016,21.584,2.184,1.9969999999999999
"2022-11-11 - TB 1, WSH 5",TB,2022-11-11,TB,1,WSH,5,Won,2.0,43.122,40.891,30.273000000000003,29.619999999999997,1.886,2.1580000000000004,9.383,10.289,0.9019999999999999,1.0630000000000002,6.293,6.938,20.553,20.194,0.184,0.49399999999999994,8.507,8.119,15.178,13.102,0.8099999999999999,0.5900000000000001,6.631,5.262,1.0088000000000001,22.186,24.578,23.377,21.317,1.975,2.009
"2022-11-13 - WSH 3, TB 6",TB,2022-11-13,WSH,3,TB,6,Won,1.0,43.5,38.816,30.716,27.602999999999998,2.1700000000000004,2.258,9.325,9.267,1.185,1.0630000000000002,6.168,6.166,20.749000000000002,20.07,0.184,0.5879999999999999,8.416,7.6899999999999995,14.931999999999999,11.699,0.805,0.5900000000000001,6.6450000000000005,4.8740000000000006,1.0009000000000001,22.181,24.246000000000002,20.979,19.832,1.9739999999999998,1.879
