Game,Team,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2022-10-12 - BOS 5, WSH 2",WSH,2022-10-12,BOS,5,WSH,2,Lost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-13 - WSH 2, TOR 3",WSH,2022-10-13,WSH,2,TOR,3,Won,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-15 - MTL 1, WSH 3",WSH,2022-10-15,MTL,1,WSH,3,Won,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-17 - VAN 4, WSH 6",WSH,2022-10-17,VAN,4,WSH,6,Won,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-20 - WSH 2, OTT 5",WSH,2022-10-20,WSH,2,OTT,5,Won,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-22 - LA 3, WSH 4",WSH,2022-10-22,LA,3,WSH,4,Won,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-24 - WSH 6, NJ 3",WSH,2022-10-24,WSH,6,NJ,3,Lost,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-27 - WSH 0, DAL 2",WSH,2022-10-27,WSH,0,DAL,2,Won,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-29 - WSH 3, NSH 0",WSH,2022-10-29,WSH,3,NSH,0,Lost,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-31 - WSH 2, CAR 3",WSH,2022-10-31,WSH,2,CAR,3,Won,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-11-01 - VGK 3, WSH 2",WSH,2022-11-01,VGK,3,WSH,2,Lost,0.0,45.119,41.972,33.757999999999996,30.497000000000003,1.793,2.071,9.18,8.391,1.385,0.8950000000000001,6.426,5.093,19.506,18.197,0.0,0.11200000000000002,10.442,8.026,13.153,11.498999999999999,0.41,1.106,5.961,5.298,1.0269,24.326,22.343,19.918,20.284,2.086,1.7510000000000001
"2022-11-03 - WSH 1, DET 3",WSH,2022-11-03,WSH,1,DET,3,Won,1.0,45.56,42.727,33.616,30.289000000000005,1.5740000000000003,1.9779999999999998,8.671,8.162,1.17,0.8950000000000001,6.161,5.018,20.241999999999997,18.156,0.0,0.11200000000000002,10.813999999999998,7.778999999999999,13.245999999999999,12.227,0.41200000000000003,1.002,6.122,5.151000000000001,1.0333,24.473,21.979000000000003,20.372,19.937,2.029,1.6809999999999998
"2022-11-05 - ARI 3, WSH 2",WSH,2022-11-05,ARI,3,WSH,2,Lost,1.0,44.738,43.154,32.904999999999994,30.535000000000004,1.481,1.877,8.459,8.264,1.0779999999999998,0.8950000000000001,6.048,5.13,20.648,18.246,0.0,0.11200000000000002,11.145,8.405,12.277000000000001,12.147,0.41200000000000003,0.8960000000000001,5.34,5.147,1.0280999999999998,23.677,20.811,20.392,20.990000000000002,1.9649999999999999,1.7129999999999999
"2022-11-07 - EDM 4, WSH 5",WSH,2022-11-07,EDM,4,WSH,5,Won,1.0,44.134,44.261,32.882,31.836000000000002,1.6829999999999998,1.7890000000000001,8.771,8.559999999999999,1.1809999999999998,0.808,6.567,5.142,19.913999999999998,18.743000000000002,0.0,0.11200000000000002,10.985,8.934999999999999,12.107,12.344999999999999,0.518,0.8960000000000001,5.343,5.628,1.0131999999999999,24.109,20.934,20.883000000000003,22.087,2.032,1.844
"2022-11-09 - PIT 4, WSH 1",WSH,2022-11-09,PIT,4,WSH,1,Lost,1.0,43.609,45.010000000000005,32.653000000000006,32.132,1.5779999999999998,1.5030000000000001,9.037,8.489,1.1809999999999998,0.615,6.6370000000000005,4.984,19.565999999999995,19.179,0.0,0.11200000000000002,10.433,8.652,12.075,12.616,0.4119999999999999,0.8,5.650999999999999,5.861,1.0054,23.841,21.175,21.062,21.894,2.061,1.814
