Game,Team,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2023-10-11 - CHI 1, BOS 3",BOS,2023-10-11,CHI,1,BOS,3,Won,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-14 - NSH 2, BOS 3",BOS,2023-10-14,NSH,2,BOS,3,Won,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-19 - BOS 3, SJ 1",BOS,2023-10-19,BOS,3,SJ,1,Lost,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-21 - BOS 4, LA 2",BOS,2023-10-21,BOS,4,LA,2,Lost,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-22 - BOS 3, ANA 1",BOS,2023-10-22,BOS,3,ANA,1,Lost,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-24 - BOS 3, CHI 0",BOS,2023-10-24,BOS,3,CHI,0,Lost,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-26 - ANA 4, BOS 3",BOS,2023-10-26,ANA,4,BOS,3,Lost,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-28 - DET 1, BOS 4",BOS,2023-10-28,DET,1,BOS,4,Won,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-30 - FLA 2, BOS 3",BOS,2023-10-30,FLA,2,BOS,3,Won,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-11-02 - TOR 2, BOS 3",BOS,2023-11-02,TOR,2,BOS,3,Won,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
