Game,Team,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2023-10-11 - WPG 3, CGY 5",CGY,2023-10-11,WPG,3,CGY,5,Won,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-14 - CGY 2, PIT 5",CGY,2023-10-14,CGY,2,PIT,5,Won,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-16 - CGY 2, WSH 3",CGY,2023-10-16,CGY,2,WSH,3,Won,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-20 - CGY 1, CBJ 3",CGY,2023-10-20,CGY,1,CBJ,3,Won,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-22 - CGY 2, DET 6",CGY,2023-10-22,CGY,2,DET,6,Won,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-24 - NYR 3, CGY 1",CGY,2023-10-24,NYR,3,CGY,1,Lost,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-26 - STL 3, CGY 0",CGY,2023-10-26,STL,3,CGY,0,Lost,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-29 - CGY 2, EDM 5",CGY,2023-10-29,CGY,2,EDM,5,Won,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-11-01 - DAL 4, CGY 3",CGY,2023-11-01,DAL,4,CGY,3,Lost,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-11-04 - CGY 6, SEA 3",CGY,2023-11-04,CGY,6,SEA,3,Lost,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-11-07 - NSH 2, CGY 4",CGY,2023-11-07,NSH,2,CGY,4,Won,2.0,42.696,47.061,30.706,34.068,2.5620000000000003,1.193,9.108,8.862,0.683,0.695,6.382,5.389,23.3,30.131,0.43000000000000005,0.189,7.648000000000001,11.658,12.909,11.116,1.481,0.305,6.326,4.4799999999999995,0.9407,21.468,21.941,20.071,23.366,2.069,2.013
"2023-11-10 - CGY 4, TOR 5",CGY,2023-11-10,CGY,4,TOR,5,Won,2.0,40.528000000000006,49.863,29.576999999999998,36.936,2.472,1.286,8.347,9.64,0.796,0.601,6.034000000000001,5.897,22.669,31.090999999999998,0.43000000000000005,0.094,7.67,12.413999999999998,11.978,12.192,1.2690000000000001,0.599,6.252000000000001,5.335,0.9369,21.083000000000002,20.223999999999997,21.94,25.313,1.9289999999999998,2.238
"2023-11-11 - CGY 1, OTT 4",CGY,2023-11-11,CGY,1,OTT,4,Won,0.0,44.443,48.04299999999999,31.921,35.808,2.2809999999999997,1.5899999999999999,9.024,9.306000000000001,0.9870000000000001,0.805,6.325,5.986,24.863,30.028999999999996,0.43000000000000005,0.094,8.205,11.815000000000001,12.874,10.84,0.8859999999999999,0.6990000000000001,6.058999999999999,5.184,0.9650000000000001,21.917,21.798,20.248,24.607,2.029,2.193
"2023-11-14 - CGY 2, MTL 1",CGY,2023-11-14,CGY,2,MTL,1,Lost,2.0,45.827000000000005,46.931,33.357000000000006,34.964999999999996,2.386,1.585,9.062,9.15,0.9880000000000001,0.909,6.2620000000000005,5.74,26.274,28.362000000000002,0.43000000000000005,0.094,8.927,11.328999999999999,12.837,10.706999999999999,0.982,0.5940000000000001,5.8229999999999995,4.854,0.9661,22.720999999999997,21.769,19.985999999999997,23.482999999999997,2.039,2.126
"2023-11-16 - VAN 2, CGY 5",CGY,2023-11-16,VAN,2,CGY,5,Won,1.0,45.510000000000005,46.671,33.099000000000004,34.993,2.285,1.796,9.313,8.872,0.9880000000000001,1.0150000000000001,6.623,5.443,24.764,28.830000000000002,0.519,0.094,8.345,10.947999999999999,12.777,10.854,0.7929999999999999,0.6990000000000001,5.9079999999999995,5.377000000000001,0.9778,22.599999999999998,21.975,19.852,23.436,2.0669999999999997,2.099
"2023-11-18 - NYI 5, CGY 4",CGY,2023-11-18,NYI,5,CGY,4,Lost,1.0,46.196000000000005,49.45,33.314,36.534,1.797,1.8799999999999997,9.345,8.77,0.9959999999999999,1.0070000000000001,6.525,5.458,24.68,30.009999999999998,0.41200000000000003,0.089,7.911999999999999,11.11,13.023,12.219,0.4029999999999999,0.797,5.9990000000000006,6.29,0.9982000000000001,22.158,22.294999999999998,21.091,24.575,2.054,2.1229999999999998
"2023-11-20 - CGY 4, SEA 3",CGY,2023-11-20,CGY,4,SEA,3,Lost,1.0,48.695,50.474000000000004,35.119,37.394999999999996,2.004,2.16,10.365,8.911999999999999,1.1019999999999999,1.1919999999999997,7.206,5.895,26.24,31.142999999999994,0.41200000000000003,0.178,8.817,11.717,13.463999999999999,12.872,0.509,0.797,6.096,6.569,0.9985999999999999,23.706,23.742,21.887,25.587,2.249,2.146
"2023-11-22 - CGY 2, NSH 4",CGY,2023-11-22,CGY,2,NSH,4,Won,1.0,49.620999999999995,50.482,35.762,37.259,2.175,2.367,9.998,8.991,1.2879999999999998,1.293,6.8759999999999994,5.879,26.987000000000002,30.327999999999996,0.39,0.178,8.6,11.501999999999999,13.779,13.232,0.509,0.9019999999999999,6.151999999999999,6.726999999999999,0.9997,23.416,23.705999999999996,22.312,25.709999999999997,2.205,2.135
"2023-11-24 - CGY 7, DAL 4",CGY,2023-11-24,CGY,7,DAL,4,Lost,1.0,49.621,50.777,35.878,37.404,1.9769999999999999,2.468,8.903,9.5,1.189,1.293,6.275,6.382,28.216999999999995,30.206,0.178,0.178,9.217,11.334,14.248,13.062999999999999,0.603,1.008,6.233,6.736,1.012,23.568,23.058999999999997,22.634999999999998,26.226,2.092,2.23
"2023-11-25 - CGY 1, COL 3",CGY,2023-11-25,CGY,1,COL,3,Won,0.0,48.585,49.773,35.116,36.305,1.9460000000000002,2.897,8.459999999999999,9.606,1.081,1.6149999999999998,5.712,6.253,26.897999999999996,29.038,0.367,0.178,9.370000000000001,10.674000000000001,14.112,12.905000000000001,0.487,1.121,6.263,6.689,1.0345,23.220000000000002,22.489,22.569,25.223999999999997,2.024,2.213
"2023-11-27 - VGK 1, CGY 2",CGY,2023-11-27,VGK,1,CGY,2,Won,1.0,50.022000000000006,50.777,36.165,36.745,2.05,2.684,8.998000000000001,9.654,1.0859999999999999,1.51,5.938000000000001,6.215,27.435000000000002,29.901999999999997,0.47300000000000003,0.178,9.355,10.675,14.300999999999998,13.631,0.487,1.016,6.383,6.752000000000001,1.021,23.665,23.206,23.392,25.335,2.103,2.194
