Game,Team,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2023-10-10 - CHI 4, PIT 2",CHI,2023-10-10,CHI,4,PIT,2,Lost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-11 - CHI 1, BOS 3",CHI,2023-10-11,CHI,1,BOS,3,Won,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-14 - CHI 2, MTL 3",CHI,2023-10-14,CHI,2,MTL,3,Won,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-16 - CHI 4, TOR 1",CHI,2023-10-16,CHI,4,TOR,1,Lost,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-19 - CHI 0, COL 4",CHI,2023-10-19,CHI,0,COL,4,Won,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-21 - VGK 5, CHI 3",CHI,2023-10-21,VGK,5,CHI,3,Lost,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-24 - BOS 3, CHI 0",CHI,2023-10-24,BOS,3,CHI,0,Lost,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-27 - CHI 4, VGK 3",CHI,2023-10-27,CHI,4,VGK,3,Lost,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-30 - CHI 1, ARI 8",CHI,2023-10-30,CHI,1,ARI,8,Won,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-11-04 - FLA 2, CHI 5",CHI,2023-11-04,FLA,2,CHI,5,Won,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-11-05 - NJ 4, CHI 2",CHI,2023-11-05,NJ,4,CHI,2,Lost,0.0,52.795,41.138,38.268,29.326999999999998,2.57,1.421,10.638,6.559,1.497,0.316,8.221,4.436999999999999,30.865,23.463,0.40800000000000003,0.10700000000000001,10.833,8.448,15.206,12.671,0.6900000000000001,1.026,7.31,7.023000000000001,0.9635999999999999,27.811,25.779000000000003,19.325,20.479,2.3890000000000002,1.7560000000000002
"2023-11-09 - CHI 5, TB 3",CHI,2023-11-09,CHI,5,TB,3,Lost,3.0,53.948,40.202999999999996,38.678,28.413999999999998,2.59,1.302,11.492,6.195,1.6170000000000002,0.399,8.503,4.201,31.261000000000003,23.321,0.302,0.10700000000000001,11.520999999999999,8.387,15.447,12.370000000000001,0.6900000000000001,0.8150000000000001,7.045999999999999,6.773000000000001,0.9597999999999999,28.093,26.851,18.648999999999997,20.293,2.45,1.6320000000000001
"2023-11-12 - CHI 3, FLA 4",CHI,2023-11-12,CHI,3,FLA,4,Won,2.0,51.528999999999996,39.42700000000001,37.29600000000001,28.145,2.497,1.6119999999999997,11.162,6.141,1.7109999999999999,0.608,8.172999999999998,4.332000000000001,30.358999999999998,23.697000000000003,0.302,0.20099999999999998,10.927999999999999,8.455,14.596,11.666,0.499,0.8150000000000001,6.8260000000000005,6.941,0.9732,27.04,25.689,17.864,20.779999999999998,2.3790000000000004,1.591
"2023-11-16 - TB 4, CHI 2",CHI,2023-11-16,TB,4,CHI,2,Lost,3.0,52.422000000000004,40.057,37.724000000000004,28.669,2.493,1.9149999999999998,11.548,6.35,1.7109999999999999,0.709,8.267,4.638,30.817999999999994,24.792,0.29100000000000004,0.29500000000000004,10.972,8.924,14.645,11.184000000000001,0.499,0.921,6.706999999999999,6.848999999999999,0.9882,26.854000000000003,26.145999999999997,17.578000000000003,21.483,2.414,1.609
"2023-11-18 - CHI 2, NSH 4",CHI,2023-11-18,CHI,2,NSH,4,Won,1.0,52.21600000000001,37.266,38.214999999999996,26.840999999999998,2.612,1.796,11.918000000000001,6.142,1.725,0.695,8.486,4.36,30.307,24.139,0.396,0.29500000000000004,10.961,8.517,14.611999999999998,10.126999999999999,0.499,0.8160000000000001,6.673,5.78,0.9875,26.997999999999998,26.47,16.335,19.629,2.469,1.534
