Game,Team,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2023-10-12 - STL 1, DAL 2",DAL,2023-10-12,STL,1,DAL,2,Won,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-17 - DAL 2, VGK 3",DAL,2023-10-17,DAL,2,VGK,3,Won,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-19 - DAL 3, ANA 2",DAL,2023-10-19,DAL,3,ANA,2,Lost,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-21 - PHI 4, DAL 5",DAL,2023-10-21,PHI,4,DAL,5,Won,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-24 - DAL 4, PIT 1",DAL,2023-10-24,DAL,4,PIT,1,Lost,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-30 - CBJ 3, DAL 5",DAL,2023-10-30,CBJ,3,DAL,5,Won,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-11-01 - DAL 4, CGY 3",DAL,2023-11-01,DAL,4,CGY,3,Lost,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-11-02 - DAL 4, EDM 3",DAL,2023-11-02,DAL,4,EDM,3,Lost,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-11-04 - DAL 0, VAN 2",DAL,2023-11-04,DAL,0,VAN,2,Won,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-11-06 - BOS 3, DAL 2",DAL,2023-11-06,BOS,3,DAL,2,Lost,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-11-09 - DAL 5, CBJ 2",DAL,2023-11-09,DAL,5,CBJ,2,Lost,2.0,47.795,47.838,33.418,35.458,1.7439999999999998,2.321,7.731,10.678999999999998,0.875,1.307,5.275,6.683,30.055,29.423000000000002,0.195,0.10500000000000001,11.23,10.213,12.656,13.100999999999999,0.6869999999999999,0.9029999999999999,5.071,6.157,1.0151,23.273,20.429,23.762999999999998,23.378,1.893,2.3169999999999997
"2023-11-11 - DAL 3, WPG 2",DAL,2023-11-11,DAL,3,WPG,2,Lost,1.0,48.154,48.857,34.512,36.158,1.8359999999999999,2.643,7.709999999999999,10.719,0.868,1.528,5.206,6.859,31.049,29.811999999999994,0.195,0.10500000000000001,11.421000000000001,9.985,12.758000000000001,13.950999999999999,0.7809999999999999,1.0050000000000001,5.326,6.279999999999999,1.0244,23.848000000000003,20.506999999999998,24.648000000000003,23.437,1.8670000000000002,2.408
"2023-11-12 - DAL 8, MIN 3",DAL,2023-11-12,DAL,8,MIN,3,Lost,0.0,48.492000000000004,47.652,34.868,35.565999999999995,1.841,2.538,7.691,9.972,0.869,1.4220000000000002,5.189,6.547,31.616000000000003,28.984,0.194,0.0,11.809000000000001,10.134,12.672,13.732999999999999,0.7809999999999999,1.1099999999999999,5.5089999999999995,6.289,1.0215,24.401,20.394,23.698,23.384999999999998,1.85,2.3
"2023-11-14 - ARI 3, DAL 4",DAL,2023-11-14,ARI,3,DAL,4,Won,1.0,46.465,47.363,33.958,34.909,1.8439999999999999,2.54,7.545999999999999,9.961,0.9620000000000001,1.424,4.871,6.711,30.565000000000005,29.024,0.28200000000000003,0.0,11.717,10.040000000000001,11.999,13.485,0.59,1.1099999999999999,5.311999999999999,6.0969999999999995,1.0130000000000001,23.418,19.596,23.422,23.256999999999998,1.737,2.232
"2023-11-18 - COL 6, DAL 3",DAL,2023-11-18,COL,6,DAL,3,Lost,3.0,44.322,48.709,32.169,35.713,1.954,2.339,7.489,10.553999999999998,0.9639999999999999,1.417,4.909999999999999,6.952,28.238,29.985000000000003,0.28200000000000003,0.0,11.189,10.301,11.958000000000002,13.690999999999999,0.695,0.922,5.023,5.877,0.9963000000000001,22.407999999999998,19.488,24.250999999999998,23.731,1.682,2.213
"2023-11-20 - NYR 3, DAL 6",DAL,2023-11-20,NYR,3,DAL,6,Won,1.0,44.355000000000004,46.307,32.458000000000006,33.892,2.275,2.113,7.749,10.133,1.1789999999999998,1.199,5.414999999999999,7.001,28.108999999999998,27.269,0.28200000000000003,0.0,11.096,9.145,11.300999999999998,13.296000000000001,0.7989999999999999,0.9129999999999999,4.770999999999999,5.448,0.9843,22.641,19.07,23.427,22.202,1.7739999999999998,2.076
"2023-11-22 - VGK 2, DAL 1",DAL,2023-11-22,VGK,2,DAL,1,Lost,1.0,44.373000000000005,46.796,33.192,33.871,2.281,2.0189999999999997,8.221,9.493,1.186,1.1099999999999999,5.776000000000001,6.7459999999999996,27.484,28.044999999999998,0.28200000000000003,0.0,11.24,9.178999999999998,11.441999999999998,13.322999999999999,0.7989999999999999,0.9219999999999999,5.188999999999999,5.8100000000000005,0.9819000000000001,23.756999999999998,19.669,22.822,22.589,1.86,1.9920000000000002
"2023-11-24 - CGY 7, DAL 4",DAL,2023-11-24,CGY,7,DAL,4,Lost,1.0,41.69,47.207,31.082,33.699,2.092,1.797,7.850999999999999,8.995000000000001,1.0919999999999999,1.002,5.672,6.414,25.486,28.105,0.28200000000000003,0.0,10.133,9.374,10.899000000000001,13.315999999999999,0.704,0.807,5.049,5.744000000000001,0.9785999999999999,22.323,18.734,22.342000000000002,22.618,1.768,1.9220000000000002
"2023-11-28 - DAL 2, WPG 0",DAL,2023-11-28,DAL,2,WPG,0,Lost,3.0,39.998,46.829,29.715999999999998,33.875,2.431,1.764,7.8050000000000015,9.057,1.4149999999999998,0.8949999999999999,5.476,6.24,24.159,26.992,0.28200000000000003,0.189,9.666,9.204,9.991,13.216,0.72,0.692,4.648,5.632000000000001,0.9597,21.189,17.75,22.319,22.048,1.659,1.938
"2023-11-30 - DAL 3, CGY 4",DAL,2023-11-30,DAL,3,CGY,4,Won,1.0,40.165000000000006,48.598,29.57,34.622,2.2380000000000004,1.9769999999999999,7.878,9.196000000000002,1.3210000000000002,1.109,5.464,6.359,24.037,27.854000000000003,0.176,0.189,9.789,9.598,9.794,13.851999999999999,0.72,0.692,4.622999999999999,5.5649999999999995,0.9834999999999999,21.449,17.655,23.074,22.605,1.656,1.996
"2023-12-02 - TB 1, DAL 8",DAL,2023-12-02,TB,1,DAL,8,Won,1.0,41.259,48.662,30.708,33.373000000000005,2.304,2.089,8.028,9.206,1.415,1.223,5.776,6.210000000000001,23.910999999999998,27.125999999999998,0.265,0.189,10.09,8.848,9.751999999999999,14.047,0.607,0.692,4.7669999999999995,5.327,0.9939,22.206,17.794,23.248,21.541999999999998,1.717,2.0040000000000004
"2023-12-04 - DAL 0, TB 4",DAL,2023-12-04,DAL,0,TB,4,Won,1.0,40.668,46.827,30.35,32.682,2.1109999999999998,2.262,7.981999999999999,8.951,1.3210000000000002,1.002,5.805999999999999,5.886,23.76,25.889,0.265,0.40199999999999997,9.787,9.080000000000002,9.508999999999999,13.325999999999999,0.513,0.8879999999999999,4.758000000000001,5.4350000000000005,1.0072,21.817,17.529000000000003,22.253,21.749,1.7289999999999999,1.954
"2023-12-06 - DAL 4, FLA 5",DAL,2023-12-06,DAL,4,FLA,5,Won,1.0,41.18,48.354,30.601,33.577000000000005,2.213,2.1559999999999997,8.746,9.303,1.421,1.002,6.048,6.144,23.162,26.583999999999996,0.177,0.40199999999999997,8.711,8.684000000000001,10.245000000000001,13.746,0.611,0.783,5.389,5.702999999999999,0.9963000000000001,21.434,19.006,23.066,21.971,1.873,2.054
"2023-12-07 - DAL 5, WSH 4",DAL,2023-12-07,DAL,5,WSH,4,Lost,0.0,43.883,48.245,32.405,34.253,2.4050000000000002,2.25,9.405000000000001,9.198,1.5159999999999998,0.9949999999999999,6.582000000000001,5.866,24.904,25.956,0.089,0.40199999999999997,8.908,8.803,11.183,13.528,0.8,0.889,5.9,5.885,0.9998999999999999,22.568,20.572000000000003,22.766000000000002,22.403,2.0349999999999997,2.093
"2023-12-11 - DET 3, DAL 6",DAL,2023-12-11,DET,3,DAL,6,Won,3.0,44.38,48.73800000000001,32.6,34.463,2.4819999999999998,2.3689999999999998,9.618,8.759,1.6030000000000002,0.9029999999999999,6.529999999999999,5.952,24.976,26.669,0.184,0.4959999999999999,8.594999999999999,9.236,11.354,13.888,0.6950000000000001,1.001,6.078,6.018000000000001,0.9972999999999999,22.376,20.947000000000003,22.71,22.95,2.0869999999999997,2.163
"2023-12-15 - OTT 4, DAL 5",DAL,2023-12-15,OTT,4,DAL,5,Won,3.0,42.386,51.217000000000006,30.986999999999995,35.537,2.273,2.468,8.904,8.847999999999999,1.4,0.9030000000000001,5.8180000000000005,5.75,24.092000000000002,28.201999999999998,0.184,0.4959999999999999,8.563999999999998,9.635,11.242,14.889,0.6910000000000001,1.095,6.163,6.715999999999999,1.0006,21.549,20.136000000000003,23.785,23.963,1.95,2.1879999999999997
"2023-12-16 - DAL 3, STL 4",DAL,2023-12-16,DAL,3,STL,4,Won,0.0,42.249,49.329,30.320999999999998,34.379000000000005,2.386,2.369,8.156,8.367999999999999,1.406,0.712,5.287000000000001,5.178,24.97,27.360000000000003,0.28900000000000003,0.591,8.921000000000001,9.579,10.71,14.666,0.6910000000000001,1.0879999999999999,5.857000000000001,6.712000000000001,0.9937999999999999,20.867,18.865000000000002,23.086000000000002,23.052,1.8490000000000002,2.077
"2023-12-18 - SEA 3, DAL 4",DAL,2023-12-18,SEA,3,DAL,4,Won,1.0,44.608000000000004,49.275999999999996,32.214999999999996,34.357000000000006,2.5729999999999995,2.5909999999999997,8.367,8.314,1.5,0.9189999999999999,5.51,4.872,26.958999999999996,27.330000000000002,0.28900000000000003,0.591,9.8,9.666,11.356,14.521,0.787,1.096,6.3,6.3629999999999995,0.9984,22.211,19.738,22.878999999999998,22.801,1.957,2.0439999999999996
