Game,Team,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2023-10-12 - FLA 0, MIN 2",FLA,2023-10-12,FLA,0,MIN,2,Won,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-14 - FLA 4, WPG 6",FLA,2023-10-14,FLA,4,WPG,6,Won,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-16 - FLA 4, NJ 3",FLA,2023-10-16,FLA,4,NJ,3,Lost,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-19 - TOR 1, FLA 3",FLA,2023-10-19,TOR,1,FLA,3,Won,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-21 - VAN 5, FLA 3",FLA,2023-10-21,VAN,5,FLA,3,Lost,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-24 - SJ 1, FLA 3",FLA,2023-10-24,SJ,1,FLA,3,Won,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-28 - SEA 2, FLA 3",FLA,2023-10-28,SEA,2,FLA,3,Won,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-30 - FLA 2, BOS 3",FLA,2023-10-30,FLA,2,BOS,3,Won,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-11-04 - FLA 2, CHI 5",FLA,2023-11-04,FLA,2,CHI,5,Won,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-11-06 - CBJ 4, FLA 5",FLA,2023-11-06,CBJ,4,FLA,5,Won,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-11-08 - FLA 4, WSH 3",FLA,2023-11-08,FLA,4,WSH,3,Lost,1.0,42.620999999999995,52.931,29.68,36.613,1.591,1.781,8.177,9.7,0.884,1.288,5.7829999999999995,6.552,23.723,33.507,0.30700000000000005,0.40199999999999997,9.193999999999999,13.541999999999998,12.397,12.688,0.4,0.10500000000000001,4.868,5.681,0.9936999999999999,20.921,20.584,22.415,26.405,1.903,2.019
