Game,Team,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2023-10-11 - COL 5, LA 2",LA,2023-10-11,COL,5,LA,2,Lost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-14 - CAR 6, LA 5",LA,2023-10-14,CAR,6,LA,5,Lost,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-17 - LA 5, WPG 1",LA,2023-10-17,LA,5,WPG,1,Lost,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-19 - LA 7, MIN 3",LA,2023-10-19,LA,7,MIN,3,Lost,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-21 - BOS 4, LA 2",LA,2023-10-21,BOS,4,LA,2,Lost,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-24 - ARI 3, LA 6",LA,2023-10-24,ARI,3,LA,6,Won,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-27 - LA 5, ARI 4",LA,2023-10-27,LA,5,ARI,4,Lost,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-28 - VGK 4, LA 3",LA,2023-10-28,VGK,4,LA,3,Lost,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-31 - LA 4, TOR 1",LA,2023-10-31,LA,4,TOR,1,Lost,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-11-02 - LA 3, OTT 2",LA,2023-11-02,LA,3,OTT,2,Lost,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-11-04 - LA 5, PHI 0",LA,2023-11-04,LA,5,PHI,0,Lost,1.0,38.288,50.323,28.613999999999997,36.235,2.212,2.941,6.220000000000001,8.891,1.0939999999999999,1.9280000000000002,4.846,6.04,22.783,31.746,0.22400000000000003,0.399,8.746,11.51,11.878,14.089000000000002,0.908,0.616,6.202,6.43,1.0074,20.509999999999998,18.18,22.979999999999997,25.305,1.675,2.3120000000000003
"2023-11-08 - LA 4, VGK 1",LA,2023-11-08,LA,4,VGK,1,Lost,3.0,36.429,50.794000000000004,27.098000000000003,37.023,1.8940000000000001,3.184,6.0,9.5,1.0939999999999999,1.9579999999999997,4.626,6.401000000000001,20.564999999999998,31.696999999999996,0.11200000000000002,0.511,7.897000000000001,11.581999999999999,11.789,14.035,0.6990000000000001,0.72,5.486,6.6370000000000005,1.0242,18.827999999999996,17.911,23.488999999999997,25.957,1.533,2.327
"2023-11-09 - PIT 4, LA 3",LA,2023-11-09,PIT,4,LA,3,Lost,0.0,38.418,53.286,28.726999999999997,38.288,1.671,3.1029999999999998,6.476000000000001,9.666999999999998,1.0939999999999999,2.064,4.855,6.886,21.499000000000002,32.22,0.0,0.42300000000000004,8.922,11.507,12.577000000000002,14.612,0.5930000000000001,0.617,6.057,6.549000000000001,1.0388,20.722,19.214999999999996,24.195,26.699,1.6480000000000001,2.406
