Game,Team,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2023-10-12 - DET 3, NJ 4",NJ,2023-10-12,DET,3,NJ,4,Won,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-13 - ARI 4, NJ 3",NJ,2023-10-13,ARI,4,NJ,3,Lost,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-16 - FLA 4, NJ 3",NJ,2023-10-16,FLA,4,NJ,3,Lost,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-20 - NJ 5, NYI 4",NJ,2023-10-20,NJ,5,NYI,4,Lost,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-24 - NJ 5, MTL 2",NJ,2023-10-24,NJ,5,MTL,2,Lost,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-25 - WSH 6, NJ 4",NJ,2023-10-25,WSH,6,NJ,4,Lost,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-27 - BUF 4, NJ 5",NJ,2023-10-27,BUF,4,NJ,5,Won,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-29 - MIN 3, NJ 4",NJ,2023-10-29,MIN,3,NJ,4,Won,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-11-02 - NJ 5, MIN 3",NJ,2023-11-02,NJ,5,MIN,3,Lost,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-11-03 - NJ 1, STL 4",NJ,2023-11-03,NJ,1,STL,4,Won,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-11-05 - NJ 4, CHI 2",NJ,2023-11-05,NJ,4,CHI,2,Lost,1.0,39.823,50.4,29.951999999999998,35.233,2.327,1.552,8.234,8.385,1.238,0.96,5.922,5.412,22.381,28.298000000000002,0.365,0.19,10.982,11.385,9.802,15.613,0.698,0.4,4.237,6.08,0.962,22.351,18.043,24.028,24.127000000000002,1.8969999999999998,2.137
"2023-11-07 - NJ 3, COL 6",NJ,2023-11-07,NJ,3,COL,6,Won,1.0,40.07,52.215999999999994,29.883,36.284,2.41,1.5759999999999998,8.363,9.75,1.319,1.174,5.864,6.312,22.026000000000003,29.311,0.365,0.095,10.65,12.644,10.454,15.098999999999998,0.698,0.305,4.586,5.729000000000001,0.9551000000000001,22.546,18.830000000000002,24.868,25.918,1.861,2.193
"2023-11-10 - WSH 4, NJ 2",NJ,2023-11-10,WSH,4,NJ,2,Lost,2.0,40.249,52.037,29.913999999999998,35.94,2.5919999999999996,1.682,8.120999999999999,10.002,1.6059999999999999,1.174,5.57,6.233,22.662,29.086000000000002,0.365,0.2,10.527,12.398,10.584,15.036000000000001,0.593,0.305,4.739,5.95,0.9517,22.206000000000003,18.726000000000003,25.044999999999998,25.519,1.7760000000000002,2.1670000000000003
