Game,Team,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2023-10-12 - NYR 5, BUF 1",NYR,2023-10-12,NYR,5,BUF,1,Lost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-14 - NYR 3, CBJ 5",NYR,2023-10-14,NYR,3,CBJ,5,Won,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-16 - ARI 1, NYR 2",NYR,2023-10-16,ARI,1,NYR,2,Won,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-19 - NSH 4, NYR 1",NYR,2023-10-19,NSH,4,NYR,1,Lost,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-21 - NYR 4, SEA 1",NYR,2023-10-21,NYR,4,SEA,1,Lost,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-24 - NYR 3, CGY 1",NYR,2023-10-24,NYR,3,CGY,1,Lost,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-26 - NYR 3, EDM 0",NYR,2023-10-26,NYR,3,EDM,0,Lost,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-28 - NYR 4, VAN 3",NYR,2023-10-28,NYR,4,VAN,3,Lost,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-30 - NYR 3, WPG 2",NYR,2023-10-30,NYR,3,WPG,2,Lost,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-11-02 - CAR 1, NYR 2",NYR,2023-11-02,CAR,1,NYR,2,Won,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-11-04 - NYR 4, MIN 5",NYR,2023-11-04,NYR,4,MIN,5,Won,1.0,43.317,42.823,30.044,31.646000000000004,1.16,1.343,7.82,7.420999999999999,0.78,0.627,5.037000000000001,4.331,26.905,25.726,0.29100000000000004,0.10500000000000001,9.542,10.801,10.362,11.504999999999999,0.096,0.599,4.307,5.191,0.9926999999999999,19.387,18.250999999999998,18.856,21.130000000000003,1.8800000000000001,1.8530000000000002
"2023-11-07 - DET 3, NYR 5",NYR,2023-11-07,DET,3,NYR,5,Won,2.0,46.214999999999996,42.189,31.856,30.768,1.442,1.5510000000000002,8.556999999999999,7.056,1.059,0.728,5.6850000000000005,3.9720000000000004,27.373,24.794999999999998,0.29100000000000004,0.21600000000000003,9.307,10.425,11.229,11.939,0.096,0.599,4.411,5.1850000000000005,0.9959,20.093,19.846,18.927,20.396,2.024,1.737
"2023-11-09 - MIN 1, NYR 4",NYR,2023-11-09,MIN,1,NYR,4,Won,1.0,44.975,40.859,31.141000000000002,30.141999999999996,1.355,1.639,8.181000000000001,6.681,0.874,0.826,5.4,3.495,26.494,24.137999999999998,0.27799999999999997,0.20600000000000002,8.898,9.968,11.027000000000001,11.972,0.196,0.599,4.587,5.424,1.0014,19.712,19.284,18.559,19.675,1.932,1.607
"2023-11-12 - CBJ 3, NYR 4",NYR,2023-11-12,CBJ,3,NYR,4,Won,2.0,46.589000000000006,40.876999999999995,32.442,30.292,1.456,1.734,8.375,6.8870000000000005,0.975,0.9199999999999999,5.481,3.6910000000000003,27.333,24.749000000000002,0.27799999999999997,0.20600000000000002,9.241000000000001,9.986,11.498000000000001,11.693999999999999,0.196,0.599,4.380999999999999,5.4350000000000005,0.9992000000000001,19.855,19.959,18.491,20.017000000000003,1.9569999999999996,1.609
"2023-11-18 - NYR 5, NJ 3",NYR,2023-11-18,NYR,5,NJ,3,Lost,5.0,46.08200000000001,42.535000000000004,31.975,31.743000000000002,1.5550000000000002,1.921,8.187000000000001,6.813000000000001,0.867,0.9199999999999999,5.084999999999999,3.781,26.703000000000003,26.216,0.27799999999999997,0.20600000000000002,8.603000000000002,10.263,12.062000000000001,12.527000000000001,0.40700000000000003,0.7899999999999999,4.976999999999999,6.209999999999999,1.0007,19.538999999999998,20.353,19.241,21.157,1.879,1.6969999999999998
"2023-11-20 - NYR 3, DAL 6",NYR,2023-11-20,NYR,3,DAL,6,Won,1.0,47.773,43.108999999999995,33.477,31.561,1.6480000000000001,1.814,9.158999999999999,7.304,0.961,0.8109999999999999,5.974000000000001,4.393,26.969,25.416999999999998,0.27199999999999996,0.20600000000000002,8.994,9.867999999999999,12.638000000000002,12.775,0.40700000000000003,0.79,4.896,6.393,0.9930999999999999,20.651000000000003,21.907999999999998,19.991,21.654999999999998,2.0309999999999997,1.7100000000000002
