Game,Team,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2023-10-11 - OTT 3, CAR 5",OTT,2023-10-11,OTT,3,CAR,5,Won,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-14 - PHI 2, OTT 5",OTT,2023-10-14,PHI,2,OTT,5,Won,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-15 - TB 2, OTT 5",OTT,2023-10-15,TB,2,OTT,5,Won,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-18 - WSH 1, OTT 6",OTT,2023-10-18,WSH,1,OTT,6,Won,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-21 - DET 5, OTT 2",OTT,2023-10-21,DET,5,OTT,2,Lost,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-24 - BUF 6, OTT 4",OTT,2023-10-24,BUF,6,OTT,4,Lost,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-26 - OTT 2, NYI 3",OTT,2023-10-26,OTT,2,NYI,3,Won,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-28 - OTT 5, PIT 2",OTT,2023-10-28,OTT,5,PIT,2,Lost,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-11-02 - LA 3, OTT 2",OTT,2023-11-02,LA,3,OTT,2,Lost,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-11-04 - TB 6, OTT 4",OTT,2023-11-04,TB,6,OTT,4,Lost,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-11-08 - OTT 6, TOR 3",OTT,2023-11-08,OTT,6,TOR,3,Lost,3.0,48.739999999999995,42.433,34.212,31.544999999999998,2.445,2.5439999999999996,10.261,7.473999999999999,1.3430000000000002,1.2630000000000001,7.667,5.497,26.356,25.298,0.382,0.28900000000000003,9.818999999999999,9.466,14.159,11.959999999999999,0.712,0.977,6.593999999999999,6.455,1.0102,25.384999999999998,24.411,19.469,22.913,2.429,1.866
"2023-11-09 - VAN 5, OTT 2",OTT,2023-11-09,VAN,5,OTT,2,Lost,0.0,48.247,43.582,33.5,32.150999999999996,2.342,2.8619999999999997,10.585999999999999,8.135,1.4280000000000002,1.4780000000000002,7.744999999999999,5.92,25.667,25.192999999999998,0.193,0.383,9.27,9.367,13.934999999999999,12.332,0.712,0.976,6.192,6.547,1.0221,24.719,24.522,20.514000000000003,23.508000000000003,2.4189999999999996,1.951
"2023-11-11 - CGY 1, OTT 4",OTT,2023-11-11,CGY,1,OTT,4,Won,1.0,48.989999999999995,44.182,33.624,32.3,2.668,2.856,10.902,7.816999999999998,1.6440000000000001,1.5710000000000002,8.026,5.61,25.343,26.137999999999998,0.193,0.472,9.061,10.065000000000001,14.235999999999999,12.447,0.82,0.7869999999999999,6.234999999999999,6.299,1.0032999999999999,25.049,25.103,20.342000000000002,23.552,2.4810000000000003,1.889
"2023-11-16 - DET 4, OTT 5",OTT,2023-11-16,DET,4,OTT,5,Won,4.0,49.852,44.011,34.152,32.519999999999996,2.567,2.7659999999999996,11.207999999999998,7.532000000000001,1.546,1.3780000000000001,8.134,5.2170000000000005,25.222,26.006999999999998,0.193,0.472,9.579,9.895,14.219999999999999,12.318999999999999,0.82,0.884,5.833,6.228,1.0087,25.232,25.387999999999998,19.916,22.91,2.548,1.8370000000000002
"2023-11-18 - MIN 1, OTT 2",OTT,2023-11-18,MIN,1,OTT,2,Won,1.0,51.483000000000004,42.748000000000005,35.812,32.263,2.8689999999999998,2.473,10.821,7.928999999999999,1.5440000000000003,1.2850000000000001,7.7440000000000015,5.725,26.963,25.003,0.28700000000000003,0.36499999999999994,10.494,9.5,15.297999999999998,11.814,1.0219999999999998,0.7899999999999999,6.309,5.917,0.9874,26.177999999999997,26.112000000000002,19.827,22.848,2.502,1.902
"2023-11-24 - NYI 5, OTT 3",OTT,2023-11-24,NYI,5,OTT,3,Lost,5.0,52.42099999999999,42.943,36.337,31.73,2.761,2.473,10.550999999999998,7.606999999999999,1.541,1.1940000000000002,7.368,5.482,27.832,25.418,0.182,0.454,10.982,9.855,15.737,11.688999999999998,1.0219999999999998,0.7899999999999999,6.4159999999999995,5.931,0.9972,26.634999999999998,26.281,19.362000000000002,23.044,2.425,1.8340000000000003
"2023-11-27 - FLA 5, OTT 0",OTT,2023-11-27,FLA,5,OTT,0,Lost,2.0,53.032000000000004,44.841,36.223,31.921000000000003,2.754,2.381,11.141,7.515000000000001,1.7470000000000003,1.2850000000000001,7.828,5.299,27.127,25.948,0.182,0.366,10.785,9.498000000000001,15.99,12.162,0.8130000000000001,0.694,6.1899999999999995,5.861000000000001,0.9956000000000002,26.660000000000004,27.128000000000004,19.727,22.601000000000003,2.495,1.8160000000000003
"2023-12-01 - OTT 2, CBJ 4",OTT,2023-12-01,OTT,2,CBJ,4,Won,3.0,52.727999999999994,42.382,36.106,30.127000000000002,2.669,2.2800000000000002,10.987,7.072999999999999,1.7570000000000003,1.2850000000000001,7.406000000000001,4.894,27.49,25.080000000000002,0.182,0.27199999999999996,11.054,9.225999999999999,15.505,11.151,0.718,0.694,5.746,5.393000000000001,0.9938999999999998,26.159,26.488,18.244999999999997,21.168,2.436,1.719
"2023-12-02 - SEA 0, OTT 2",OTT,2023-12-02,SEA,0,OTT,2,Won,0.0,50.386,41.998000000000005,34.278999999999996,29.826999999999998,2.673,1.9599999999999997,10.273,6.839,1.6660000000000004,1.1750000000000003,6.648000000000001,4.6899999999999995,26.758000000000003,25.788999999999998,0.094,0.27199999999999996,10.659,9.425,14.983999999999998,10.388,0.909,0.493,5.333,4.928,0.9755999999999998,24.457,25.196,17.266,20.810000000000002,2.209,1.6300000000000001
"2023-12-05 - NYR 2, OTT 6",OTT,2023-12-05,NYR,2,OTT,6,Won,2.0,48.51299999999999,42.341,33.001,30.538,2.46,2.058,9.616,7.494,1.5590000000000002,1.275,6.461,5.164,25.988,26.059000000000005,0.094,0.27199999999999996,10.383999999999999,9.606,14.871,9.952,0.805,0.493,5.294,4.957,0.9843999999999999,23.857,24.484,17.466,21.531,2.066,1.723
"2023-12-07 - TOR 4, OTT 3",OTT,2023-12-07,TOR,4,OTT,3,Lost,1.0,46.17,44.371,31.653,31.608000000000004,2.037,2.2700000000000005,8.983,8.184,1.24,1.4789999999999999,5.742,5.552,24.584,26.857,0.094,0.27199999999999996,10.189,9.879000000000001,13.722,10.012,0.7,0.491,5.015,5.203,0.9965999999999999,22.607999999999997,22.737000000000002,18.2,22.55,1.9140000000000001,1.8690000000000002
"2023-12-09 - OTT 5, DET 1",OTT,2023-12-09,OTT,5,DET,1,Lost,1.0,46.4,45.103,30.827999999999996,31.72,2.274,1.934,8.492999999999999,8.065,1.27,1.252,5.367,5.904999999999999,24.527,28.309000000000005,0.094,0.266,10.019,10.965,14.144,9.306999999999999,0.9099999999999999,0.386,4.951,4.758,0.9681,22.1,22.660999999999998,17.384,23.459,1.811,1.8350000000000002
