Game,Team,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2023-10-12 - PHI 4, CBJ 2",PHI,2023-10-12,PHI,4,CBJ,2,Lost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-14 - PHI 2, OTT 5",PHI,2023-10-14,PHI,2,OTT,5,Won,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-17 - VAN 0, PHI 2",PHI,2023-10-17,VAN,0,PHI,2,Won,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-19 - EDM 1, PHI 4",PHI,2023-10-19,EDM,1,PHI,4,Won,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-21 - PHI 4, DAL 5",PHI,2023-10-21,PHI,4,DAL,5,Won,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-24 - PHI 2, VGK 3",PHI,2023-10-24,PHI,2,VGK,3,Won,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-26 - MIN 2, PHI 6",PHI,2023-10-26,MIN,2,PHI,6,Won,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-28 - ANA 7, PHI 4",PHI,2023-10-28,ANA,7,PHI,4,Lost,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-30 - CAR 3, PHI 2",PHI,2023-10-30,CAR,3,PHI,2,Lost,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-11-01 - BUF 5, PHI 2",PHI,2023-11-01,BUF,5,PHI,2,Lost,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-11-03 - PHI 5, BUF 1",PHI,2023-11-03,PHI,5,BUF,1,Lost,1.0,44.164,48.791000000000004,30.262,36.150999999999996,2.3129999999999997,2.0460000000000003,7.801,10.0,1.133,1.165,4.708,7.292,26.458999999999996,27.069,0.095,0.2,9.696,10.291,11.08,12.34,1.0939999999999999,0.689,5.316,6.385,0.9635,21.137,18.883000000000003,22.344,26.025,1.8030000000000002,2.164
"2023-11-04 - LA 5, PHI 0",PHI,2023-11-04,LA,5,PHI,0,Lost,0.0,43.7,48.19,30.028999999999996,35.402,2.3129999999999997,2.37,8.433,10.404,1.041,1.275,4.936,7.331,26.130000000000003,26.615000000000002,0.095,0.2,8.966,9.904,10.825999999999999,11.742999999999999,1.19,0.8969999999999999,5.38,6.203,0.9815999999999999,20.525,19.278,22.145,25.307000000000002,1.832,2.189
"2023-11-07 - PHI 1, SJ 2",PHI,2023-11-07,PHI,1,SJ,2,Won,2.0,44.868,48.244,31.214999999999996,35.689,2.55,2.2689999999999997,9.062000000000001,10.053,1.2550000000000001,1.275,5.425,7.281999999999999,26.519,26.449,0.20700000000000002,0.2,9.149000000000001,10.2,11.144,11.848,1.105,0.7949999999999999,5.432,5.975,0.9678999999999999,21.238999999999997,20.222,21.910000000000004,25.427,1.831,2.187
"2023-11-10 - PHI 6, ANA 3",PHI,2023-11-10,PHI,6,ANA,3,Lost,2.0,45.115,47.946999999999996,30.426,34.989,2.6439999999999997,2.2760000000000002,8.763,9.468,1.2550000000000001,1.275,5.531999999999999,6.770999999999999,27.125,26.933,0.20700000000000002,0.2,9.091,10.557,10.934000000000001,11.838,1.1999999999999997,0.8019999999999999,5.136,6.0600000000000005,0.9625,21.073,19.674,21.35,24.96,1.799,2.078
"2023-11-11 - PHI 4, LA 2",PHI,2023-11-11,PHI,4,LA,2,Lost,0.0,44.352999999999994,49.525999999999996,30.219,35.612,2.635,2.5119999999999996,8.33,9.593,1.2420000000000002,1.52,5.255000000000001,6.968000000000001,26.830000000000002,27.920000000000005,0.20700000000000002,0.2,8.59,11.161,11.050999999999998,12.063,1.1999999999999997,0.8019999999999999,5.584999999999999,5.482,0.9693999999999999,21.006,19.389,21.684,25.264,1.7879999999999998,2.1079999999999997
"2023-11-15 - PHI 3, CAR 1",PHI,2023-11-15,PHI,3,CAR,1,Lost,3.0,45.273,47.428999999999995,30.703999999999997,33.971,2.432,2.8340000000000005,8.17,9.888000000000002,1.2340000000000002,1.736,5.113,7.13,27.750999999999998,26.008999999999997,0.29500000000000004,0.31100000000000005,9.052999999999999,10.379999999999999,11.245000000000001,11.654,0.916,0.8019999999999999,5.1530000000000005,5.311,0.9944,21.093,19.463,21.544,24.34,1.8039999999999998,2.105
"2023-11-18 - VGK 3, PHI 4",PHI,2023-11-18,VGK,3,PHI,4,Won,2.0,45.258,45.473,31.206,32.953,2.2429999999999994,2.9450000000000003,8.215,9.584,1.1400000000000001,1.85,5.179,6.9430000000000005,27.714999999999996,26.476,0.2,0.31100000000000005,8.786,10.366,11.684000000000001,10.835,0.916,0.8019999999999999,5.578,5.321,1.0087,21.306,19.973000000000003,20.421,24.034,1.8030000000000002,2.057
"2023-11-19 - CBJ 2, PHI 5",PHI,2023-11-19,CBJ,2,PHI,5,Won,0.0,45.109,45.372,30.377,32.498,2.2439999999999998,2.648,7.8790000000000004,8.969,1.035,1.655,5.019,6.331,27.606,27.282999999999998,0.293,0.31100000000000005,8.626,10.091,11.569999999999999,11.488,0.916,0.702,5.896,6.004,0.9984,21.095,19.521,20.446,23.741999999999997,1.7120000000000002,1.9579999999999997
"2023-11-22 - PHI 2, NYI 3",PHI,2023-11-22,PHI,2,NYI,3,Won,2.0,45.375,45.269,30.623,32.388,2.02,2.566,7.798,8.523,0.8130000000000001,1.564,4.634,5.843,27.924,26.070999999999998,0.293,0.417,8.843,10.202,11.664,11.623000000000001,0.917,0.605,6.331,6.156,1.0067,21.088,19.579,20.076,23.411,1.707,1.9419999999999997
"2023-11-24 - NYR 3, PHI 1",PHI,2023-11-24,NYR,3,PHI,1,Lost,1.0,45.071000000000005,48.302,30.15,33.462,2.101,2.582,8.215,8.897,0.999,1.482,4.784,6.069000000000001,26.619999999999997,28.195999999999998,0.293,0.417,8.167,11.617,12.062,12.27,0.812,0.707,6.21,5.770999999999999,0.9978,20.431,20.387999999999998,21.122999999999998,24.6,1.707,2.0140000000000002
"2023-11-25 - PHI 1, NYI 0",PHI,2023-11-25,PHI,1,NYI,0,Lost,0.0,45.983000000000004,46.019,30.677999999999997,32.071999999999996,1.9989999999999999,2.487,8.352999999999998,8.425,1.1079999999999999,1.481,5.017,5.773000000000001,26.284,26.242,0.293,0.417,7.785000000000001,11.405000000000001,13.05,11.931000000000001,0.602,0.612,6.344,5.475,1.0076,20.648,21.483999999999998,20.321,23.810000000000002,1.752,1.9329999999999998
"2023-11-28 - CAR 4, PHI 1",PHI,2023-11-28,CAR,4,PHI,1,Lost,2.0,47.314,47.09400000000001,30.975,33.169,1.9069999999999996,1.9520000000000004,8.028,8.197999999999999,1.1079999999999999,1.2650000000000001,5.091,5.816,27.375999999999998,27.952999999999996,0.293,0.417,8.127,12.771,13.644,12.324000000000002,0.506,0.29900000000000004,6.390000000000001,5.228,0.9858,21.097,21.722,20.517000000000003,24.951999999999998,1.7280000000000002,1.985
"2023-11-30 - NJ 4, PHI 3",PHI,2023-11-30,NJ,4,PHI,3,Lost,1.0,49.111000000000004,48.331,31.504,34.164,1.796,2.044,7.669999999999999,8.473,1.106,1.2650000000000001,4.627,6.006,28.363,29.370000000000005,0.292,0.417,8.811000000000002,13.232,14.461000000000002,12.297,0.40199999999999997,0.395,6.4719999999999995,5.618,0.9948,21.52,22.183999999999997,20.767,25.994999999999997,1.8,2.071
"2023-12-02 - PHI 4, PIT 3",PHI,2023-12-02,PHI,4,PIT,3,Lost,1.0,48.55,48.929,32.326,34.788,1.9149999999999998,2.038,8.080000000000002,8.453999999999999,1.106,1.2650000000000001,4.901000000000001,5.8229999999999995,27.747000000000003,30.814,0.292,0.417,8.503,13.891,14.446000000000002,12.141000000000002,0.516,0.396,6.712000000000001,4.889,0.9907999999999999,22.064,22.573,20.607000000000003,25.782,1.8920000000000001,2.023
"2023-12-04 - PIT 1, PHI 2",PHI,2023-12-04,PIT,1,PHI,2,Won,1.0,48.606,47.729,32.287,34.096,2.012,1.611,7.67,7.842999999999999,1.109,0.8310000000000001,4.563999999999999,5.11,28.939,30.401999999999997,0.387,0.417,9.491,13.526,14.203999999999999,11.912,0.516,0.396,6.163,5.167,0.9721,21.996000000000002,21.887999999999998,19.794,24.968,1.8369999999999997,1.972
"2023-12-07 - PHI 4, ARI 1",PHI,2023-12-07,PHI,4,ARI,1,Lost,2.0,48.35699999999999,49.082,32.612,34.946000000000005,1.9349999999999998,1.28,7.795999999999999,7.6739999999999995,1.018,0.5109999999999999,4.947,4.921,27.878999999999998,30.802,0.29900000000000004,0.30599999999999994,9.291,13.587,14.612,12.478,0.621,0.492,6.545,5.3100000000000005,0.9606999999999999,22.567,22.413,20.211000000000002,25.171,1.8509999999999998,1.9629999999999999
"2023-12-09 - PHI 5, COL 2",PHI,2023-12-09,PHI,5,COL,2,Lost,1.0,48.071999999999996,50.373,32.772999999999996,36.257999999999996,1.9380000000000002,1.28,7.4449999999999985,8.022,1.111,0.404,4.593999999999999,4.926,27.778,30.24,0.29900000000000004,0.20099999999999998,9.958,13.35,14.011000000000001,13.16,0.525,0.694,5.92,5.525,0.9585000000000001,22.285000000000004,21.438,21.231,25.491,1.8199999999999998,1.9760000000000002
"2023-12-12 - PHI 2, NSH 3",PHI,2023-12-12,PHI,2,NSH,3,Won,2.0,48.690999999999995,50.852999999999994,33.719,37.372,1.922,1.61,7.344999999999999,8.958,1.1019999999999999,0.7230000000000001,4.546,6.016,27.907999999999998,30.375,0.294,0.10600000000000001,10.402999999999999,12.907,14.956,13.074000000000002,0.525,0.798,6.34,5.578,0.9698999999999998,22.95,22.294,22.091,26.189,1.8719999999999999,2.239
"2023-12-14 - WSH 3, PHI 4",PHI,2023-12-14,WSH,3,PHI,4,Won,1.0,49.681,50.103,33.364,37.306,1.813,1.6199999999999999,7.894,9.466,1.092,0.9279999999999999,4.54,6.417,27.808,30.574,0.294,0.0,10.347999999999999,12.902000000000001,15.609000000000004,12.506,0.41900000000000004,0.703,5.743,5.377000000000001,0.9717,22.23,23.45,22.065,26.493000000000002,1.8350000000000002,2.249
"2023-12-16 - DET 0, PHI 1",PHI,2023-12-16,DET,0,PHI,1,Won,1.0,49.485,47.489,33.012,35.952,1.7280000000000002,1.6960000000000002,7.365,9.066,1.0070000000000001,1.01,4.273000000000001,6.456999999999999,27.851,28.504,0.294,0.089,10.003,11.846,16.165,11.996,0.41900000000000004,0.601,5.8709999999999996,5.371,0.9814,21.961,23.491,21.14,25.348999999999997,1.8009999999999997,2.177
"2023-12-19 - PHI 3, NJ 2",PHI,2023-12-19,PHI,3,NJ,2,Lost,2.0,49.714,49.137,33.198,37.196000000000005,1.4100000000000001,1.6979999999999997,7.5040000000000004,9.241,0.792,0.9190000000000002,4.436999999999999,6.627,28.206,29.387,0.294,0.184,10.885,12.232,15.930000000000001,13.041,0.31399999999999995,0.601,5.518,5.793,1.0017999999999998,22.536,23.446,22.313,26.293,1.8189999999999997,2.2470000000000003
"2023-12-22 - PHI 6, DET 7",PHI,2023-12-22,PHI,6,DET,7,Won,2.0,49.963,46.577,33.232000000000006,36.007000000000005,1.504,1.9,7.884,8.589,0.8859999999999999,1.02,4.443,6.199,27.752999999999997,27.798000000000002,0.294,0.184,10.902999999999999,11.578,16.032999999999998,12.196000000000002,0.31399999999999995,0.7070000000000001,5.3229999999999995,5.688,1.0072999999999999,22.361,23.933,20.818,25.118000000000002,1.9119999999999997,2.065
"2023-12-28 - PHI 4, VAN 1",PHI,2023-12-28,PHI,4,VAN,1,Lost,5.0,47.946,46.95399999999999,32.056,36.92100000000001,1.6689999999999998,2.419,7.821000000000001,9.559000000000001,0.9640000000000001,1.5370000000000001,4.729,6.743,26.639999999999997,27.681,0.27199999999999996,0.27799999999999997,10.24,11.748000000000001,15.211000000000002,11.818999999999999,0.414,0.611,5.101,5.627,1.014,21.558,23.047000000000004,21.378999999999998,25.683,1.932,2.1710000000000003
"2023-12-29 - PHI 1, SEA 2",PHI,2023-12-29,PHI,1,SEA,2,Won,0.0,48.488,46.082,31.703999999999997,36.019999999999996,1.548,2.537,7.783999999999999,9.568,1.055,1.6440000000000001,4.486,6.681,27.26,26.72,0.27199999999999996,0.27799999999999997,10.815000000000001,11.120000000000001,14.922,11.779,0.205,0.612,4.74,5.566,1.0273999999999999,21.369000000000003,22.759,21.307,24.909,1.8679999999999999,2.156
"2023-12-31 - PHI 3, CGY 4",PHI,2023-12-31,PHI,3,CGY,4,Won,1.0,50.12,46.522000000000006,32.868,36.085,1.359,2.436,8.501,9.491000000000001,0.961,1.543,4.8469999999999995,6.489,27.897,27.795000000000005,0.177,0.27799999999999997,10.69,11.799,15.063999999999998,11.732000000000001,0.205,0.612,4.934,5.171,1.0347,21.81,23.638,21.168,24.806,1.991,2.116
"2024-01-02 - PHI 2, EDM 5",PHI,2024-01-02,PHI,2,EDM,5,Won,1.0,49.173,45.872,31.870000000000005,35.214,1.44,2.45,8.461,9.532,1.0530000000000002,1.543,4.924,6.567,28.281,26.9,0.177,0.27799999999999997,10.472,11.664,14.325999999999999,11.864,0.195,0.621,4.555,4.807,1.032,21.174,22.863,21.33,24.32,1.984,2.0940000000000003
"2024-01-04 - CBJ 3, PHI 2",PHI,2024-01-04,CBJ,3,PHI,2,Lost,1.0,48.936,43.712,32.190000000000005,33.572,1.637,2.335,8.829,9.415000000000001,1.155,1.5390000000000001,5.161,6.589,27.675,25.287,0.177,0.27799999999999997,10.224999999999998,11.512,14.687000000000001,11.384,0.29,0.525,5.087999999999999,4.759,1.0234999999999999,21.866999999999997,23.54,20.764,23.855,2.025,2.094
"2024-01-06 - CGY 2, PHI 3",PHI,2024-01-06,CGY,2,PHI,3,Won,1.0,47.171,43.128,30.814,32.975,1.6529999999999998,2.104,8.817,8.478,1.164,1.314,5.3149999999999995,5.789,27.136000000000003,25.593,0.089,0.384,9.601,12.099,13.512,10.948,0.392,0.4210000000000001,4.354,4.205,1.0140999999999998,20.791,22.345,19.394,23.065,1.9920000000000002,1.828
"2024-01-08 - PIT 4, PHI 1",PHI,2024-01-08,PIT,4,PHI,1,Lost,1.0,46.79,44.687,31.058000000000003,33.713,1.77,1.9929999999999999,8.413,8.475,1.176,1.201,5.334999999999999,5.828999999999999,28.637,27.075,0.089,0.384,10.205000000000002,12.639999999999999,12.831,11.132000000000001,0.497,0.4210000000000001,4.3759999999999994,4.284000000000001,1.0049,21.423,21.286,19.573999999999998,23.511,2.0029999999999997,1.8959999999999997
"2024-01-10 - MTL 2, PHI 3",PHI,2024-01-10,MTL,2,PHI,3,Won,1.0,47.943,44.903000000000006,32.798,33.721,1.8829999999999998,1.714,9.481,8.155,0.9690000000000001,1.0150000000000001,6.290000000000001,5.334,29.301,28.064999999999998,0.31100000000000005,0.295,10.578,13.228,12.156,10.957,0.594,0.4210000000000001,4.390000000000001,4.2669999999999995,0.9926,22.762999999999998,21.654,19.092,23.696,2.182,1.8239999999999998
"2024-01-12 - PHI 4, MIN 3",PHI,2024-01-12,PHI,4,MIN,3,Lost,1.0,47.725,46.397999999999996,32.596,34.194,2.096,1.7150000000000003,9.737,8.277,1.075,1.0150000000000001,6.426,5.196,29.602999999999998,29.492,0.42200000000000004,0.288,10.29,13.555000000000001,11.711000000000002,10.91,0.594,0.4210000000000001,4.505,4.051,0.9813000000000001,22.6,21.441,19.199,23.677999999999997,2.205,1.846
"2024-01-13 - PHI 2, WPG 0",PHI,2024-01-13,PHI,2,WPG,0,Lost,0.0,47.635999999999996,47.69199999999999,33.092999999999996,35.398,2.29,1.8170000000000002,9.263,8.376000000000001,0.9809999999999999,1.0150000000000001,6.325,5.188000000000001,30.402000000000005,30.687,0.517,0.288,10.9,14.161000000000001,11.437999999999999,11.611999999999998,0.783,0.523,4.608,4.454000000000001,0.9754000000000002,23.299,20.69,20.012999999999998,24.577,2.128,1.9120000000000001
"2024-01-15 - PHI 4, STL 2",PHI,2024-01-15,PHI,4,STL,2,Lost,1.0,49.015,48.885000000000005,34.202,36.044,1.8060000000000003,1.3119999999999998,9.334999999999999,8.006,0.6910000000000001,0.604,6.227,4.994000000000001,30.736,31.612000000000002,0.4280000000000001,0.194,11.059999999999999,14.453,11.772,12.279,0.683,0.523,4.552,4.821,0.9776,23.578,21.141,20.304000000000002,25.119999999999997,2.0949999999999998,1.8330000000000002
"2024-01-18 - DAL 1, PHI 5",PHI,2024-01-18,DAL,1,PHI,5,Won,2.0,49.882,52.38199999999999,34.926,38.734,1.8059999999999998,1.416,8.82,8.737,0.6,0.8150000000000001,6.164,5.523999999999999,31.0,33.366,0.5170000000000001,0.194,11.370999999999999,15.407999999999998,12.794999999999998,13.226999999999999,0.683,0.41900000000000004,5.034000000000001,5.443,0.975,24.217,21.642999999999997,21.976,27.325,2.1439999999999997,1.966
"2024-01-20 - COL 7, PHI 4",PHI,2024-01-20,COL,7,PHI,4,Lost,1.0,48.316,54.452,33.266,39.644999999999996,1.907,1.709,8.232000000000001,9.175999999999998,0.6,0.8150000000000001,5.711,6.101999999999999,29.608999999999998,33.364999999999995,0.5170000000000001,0.194,10.792,14.864999999999998,12.578,14.544,0.7849999999999999,0.708,5.138,6.348000000000001,0.9745000000000001,23.204,20.831,23.695,28.293,2.034,2.0610000000000004
"2024-01-21 - OTT 5, PHI 3",PHI,2024-01-21,OTT,5,PHI,3,Lost,0.0,47.72,55.284000000000006,32.584,40.301,2.2479999999999998,1.9729999999999996,8.186000000000002,8.814,0.8280000000000001,0.999,5.328,5.89,28.235000000000003,34.63,0.6290000000000001,0.28200000000000003,10.594,15.327000000000002,12.267999999999999,14.306999999999999,0.7939999999999999,0.6990000000000001,5.136,6.5969999999999995,0.9662000000000001,22.856,20.439999999999998,23.123,28.772000000000002,1.9460000000000002,2.0420000000000003
"2024-01-23 - TB 6, PHI 3",PHI,2024-01-23,TB,6,PHI,3,Lost,1.0,47.455,55.46299999999999,32.444,39.916,2.2640000000000002,1.8690000000000002,8.234,8.394,0.8400000000000001,0.8950000000000001,5.743,5.585,28.518,35.373000000000005,0.6290000000000001,0.28200000000000003,10.363000000000001,15.075,11.715,14.514999999999997,0.8009999999999999,0.687,4.638,6.581999999999999,0.9603999999999999,22.348000000000003,19.967999999999996,22.892000000000003,28.162,1.9229999999999996,1.9469999999999998
"2024-01-25 - PHI 0, DET 3",PHI,2024-01-25,PHI,0,DET,3,Won,1.0,48.35,54.688,32.516999999999996,39.459999999999994,2.274,1.768,8.280000000000001,8.882000000000001,0.845,0.892,5.661,5.729,27.924,34.214000000000006,0.6290000000000001,0.176,10.07,14.235,12.84,14.164000000000001,0.8029999999999999,0.687,5.086,6.4590000000000005,0.9562000000000002,22.211000000000002,21.105,23.072,27.498,1.9299999999999997,1.9669999999999999
"2024-01-27 - BOS 6, PHI 2",PHI,2024-01-27,BOS,6,PHI,2,Lost,1.0,46.557,54.82899999999999,31.184999999999995,38.97,2.256,1.6759999999999997,7.904000000000001,9.116000000000001,0.833,0.8,5.629,5.712999999999999,26.290999999999997,33.96,0.7350000000000001,0.176,9.616,13.907,12.215,14.190000000000001,0.6980000000000001,0.687,4.665,6.173,0.9459,21.291,20.091,23.326,27.006999999999998,1.874,1.9450000000000003
"2024-02-06 - PHI 2, FLA 1",PHI,2024-02-06,PHI,2,FLA,1,Lost,9.0,45.545,55.49399999999999,30.320999999999998,39.472,2.5789999999999997,1.859,7.583,9.436,1.268,0.8,5.417,6.127,25.076999999999998,34.03,0.6180000000000001,0.176,9.389999999999999,13.873,12.097999999999999,14.257,0.705,0.8789999999999999,4.558,6.519,0.9372,20.639000000000003,19.659,23.713,27.617,1.85,1.991
"2024-02-08 - WPG 1, PHI 4",PHI,2024-02-08,WPG,1,PHI,4,Won,1.0,46.541,54.479,30.872000000000003,39.672000000000004,2.3659999999999997,1.971,7.720999999999999,10.091,1.1620000000000001,1.0070000000000001,5.341,6.286,24.6,32.349000000000004,0.507,0.088,9.171000000000001,12.793000000000001,13.056000000000001,14.072999999999999,0.7050000000000001,0.8789999999999999,4.8229999999999995,6.959999999999999,0.9541999999999999,20.622,20.765,24.188,27.006,1.857,2.0290000000000004
"2024-02-10 - SEA 2, PHI 3",PHI,2024-02-10,SEA,2,PHI,3,Won,1.0,46.454,52.830999999999996,30.632000000000005,37.328,2.178,1.959,8.033000000000001,10.274,1.264,1.196,5.439,6.795999999999999,23.713,30.4,0.4120000000000001,0.088,8.247,11.539,13.238999999999999,13.202000000000002,0.516,0.671,4.711,6.459999999999999,0.9662,19.796,21.291,23.475,25.881,1.886,2.028
"2024-02-12 - ARI 3, PHI 5",PHI,2024-02-12,ARI,3,PHI,5,Won,1.0,43.833999999999996,52.532999999999994,27.947000000000003,36.363,2.38,1.9469999999999998,7.562,10.028,1.264,1.184,5.026999999999999,6.5,22.458,30.123,0.506,0.088,7.7700000000000005,11.370999999999999,12.749,13.181000000000001,0.622,0.671,4.456,6.195,0.9515,18.386000000000003,20.32,23.208,25.358,1.739,2.022
"2024-02-15 - PHI 3, TOR 4",PHI,2024-02-15,PHI,3,TOR,4,Won,2.0,42.637,48.958999999999996,27.358999999999998,33.596,2.605,1.8170000000000002,7.7490000000000006,9.148,1.37,0.96,4.966,5.895,21.562,29.192999999999994,0.628,0.177,7.133,10.517,12.261,11.887,0.622,0.671,4.313999999999999,5.739,0.9371,17.475,20.007,21.064,23.337,1.6790000000000003,1.8379999999999999
"2024-02-17 - PHI 3, NJ 6",PHI,2024-02-17,PHI,3,NJ,6,Won,1.0,43.599000000000004,46.903,28.683999999999997,32.301,2.695,1.625,8.012,9.328,1.462,1.0639999999999998,5.249,5.941000000000001,22.449,27.627999999999997,0.628,0.177,7.388000000000001,9.975999999999999,12.454,11.133,0.6140000000000001,0.382,4.6049999999999995,5.44,0.9325999999999999,18.470999999999997,20.452999999999996,20.535999999999998,22.496000000000002,1.7650000000000001,1.8690000000000002
"2024-02-21 - PHI 3, CHI 1",PHI,2024-02-21,PHI,3,CHI,1,Lost,3.0,45.36,48.024,30.228,33.681,2.656,1.457,8.75,10.116,1.434,0.8799999999999999,6.028999999999999,6.093000000000001,24.255,27.628999999999998,0.516,0.089,7.909000000000001,10.004000000000001,12.382000000000001,11.686,0.7050000000000001,0.488,4.67,5.843999999999999,0.9349000000000001,19.838,21.12,21.894,23.381,1.9609999999999999,1.9780000000000002
"2024-02-24 - NYR 2, PHI 1",PHI,2024-02-24,NYR,2,PHI,1,Lost,2.0,44.58,51.759,29.01,36.38,2.44,1.677,8.528,11.155,1.319,0.9879999999999999,5.572,6.7829999999999995,23.660999999999998,29.379,0.516,0.194,7.648999999999999,10.769,12.556000000000001,12.405,0.603,0.499,4.651,5.881,0.9456,19.03,21.078,23.651999999999997,25.067,1.9129999999999998,2.184
"2024-02-25 - PHI 6, PIT 7",PHI,2024-02-25,PHI,6,PIT,7,Won,0.0,43.379000000000005,53.449,28.732,37.579,2.3329999999999997,1.677,8.814,11.100999999999999,1.319,0.9889999999999999,5.555,6.81,23.815,30.887999999999998,0.516,0.194,8.01,11.314,11.253,13.123000000000001,0.499,0.499,4.314,6.378,0.9501999999999999,19.038,20.081,24.303,26.123,1.907,2.261
"2024-02-27 - TB 2, PHI 6",PHI,2024-02-27,TB,2,PHI,6,Won,1.0,46.037,51.694,30.683,36.805,2.6189999999999998,2.087,9.629,10.29,1.505,1.196,5.732,6.5040000000000004,25.302,30.434999999999995,0.622,0.28700000000000003,8.979000000000001,11.123000000000001,11.705000000000002,12.833000000000002,0.499,0.601,4.609,6.484999999999999,0.9730000000000001,20.472,21.365000000000002,23.211000000000002,25.612000000000002,2.0,2.144
"2024-03-01 - PHI 2, WSH 5",PHI,2024-03-01,PHI,2,WSH,5,Won,2.0,45.204,51.05200000000001,28.946999999999996,36.505,1.9759999999999998,2.29,8.55,9.503,1.0699999999999998,1.196,4.678999999999999,5.663,25.448,30.099,0.517,0.28700000000000003,8.778000000000002,11.174,11.599,13.213999999999999,0.39499999999999996,0.79,4.481,7.090999999999999,1.0049,19.097,20.206,22.740000000000002,25.628000000000004,1.8359999999999999,2.134
"2024-03-02 - OTT 2, PHI 4",PHI,2024-03-02,OTT,2,PHI,4,Won,0.0,43.199,50.869,27.919999999999998,35.517999999999994,2.356,2.189,8.357,8.786,1.3519999999999999,1.0950000000000002,4.769,5.359,24.67,30.636000000000003,0.517,0.28700000000000003,8.784,11.343,10.785,12.629000000000001,0.49800000000000005,0.79,4.1850000000000005,6.382,0.9792,18.897,19.188,21.436,25.032000000000004,1.8210000000000002,2.0740000000000003
"2024-03-04 - STL 2, PHI 1",PHI,2024-03-04,STL,2,PHI,1,Lost,1.0,42.558,51.747,27.270999999999997,37.015,2.357,2.086,7.997,9.05,1.25,0.899,4.598999999999999,5.436,24.489,31.341,0.517,0.382,8.950000000000001,12.257000000000001,10.805,13.084,0.604,0.79,4.309,6.664,0.9682999999999999,18.832,18.842000000000002,22.154,26.165,1.794,2.085
"2024-03-07 - PHI 2, FLA 1",PHI,2024-03-07,PHI,2,FLA,1,Lost,2.0,44.19,51.44500000000001,28.226999999999997,36.894999999999996,2.256,2.0860000000000003,8.328999999999999,9.437000000000001,1.351,0.899,4.81,5.928,26.564,31.047000000000004,0.42300000000000004,0.382,9.364,11.969,10.834,12.844999999999999,0.49799999999999994,0.79,4.3149999999999995,6.358,0.9781000000000001,19.365000000000002,19.194,22.312,25.883,1.8399999999999999,2.094
"2024-03-09 - PHI 0, TB 7",PHI,2024-03-09,PHI,0,TB,7,Won,1.0,45.756,53.43000000000001,28.359,38.213,2.0309999999999997,2.1100000000000003,8.34,9.758,1.2449999999999999,0.9109999999999999,5.068,6.087000000000001,28.037,31.168,0.30100000000000005,0.29300000000000004,9.844000000000001,11.637,10.75,13.475999999999999,0.49799999999999994,0.8950000000000001,4.285,7.015000000000001,0.9924,20.062,19.115,23.246000000000002,26.476999999999997,1.8509999999999998,2.2350000000000003
"2024-03-12 - SJ 2, PHI 3",PHI,2024-03-12,SJ,2,PHI,3,Won,2.0,45.368,53.265,27.735999999999997,38.162,2.2319999999999998,2.009,8.184999999999999,9.272,1.251,0.807,5.003,5.537000000000001,27.407,32.411,0.30100000000000005,0.29300000000000004,9.632,11.815000000000001,11.059000000000001,13.284,0.6970000000000001,0.8950000000000001,4.108,6.946,0.9693000000000002,19.412,19.241000000000003,22.609,25.958999999999996,1.8029999999999997,2.138
