Game,Team,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2023-10-12 - VGK 4, SJ 1",SJ,2023-10-12,VGK,4,SJ,1,Lost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-14 - COL 2, SJ 1",SJ,2023-10-14,COL,2,SJ,1,Lost,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-17 - CAR 6, SJ 3",SJ,2023-10-17,CAR,6,SJ,3,Lost,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-19 - BOS 3, SJ 1",SJ,2023-10-19,BOS,3,SJ,1,Lost,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-21 - SJ 1, NSH 5",SJ,2023-10-21,SJ,1,NSH,5,Won,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-24 - SJ 1, FLA 3",SJ,2023-10-24,SJ,1,FLA,3,Won,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-26 - SJ 0, TB 6",SJ,2023-10-26,SJ,0,TB,6,Won,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-27 - SJ 0, CAR 3",SJ,2023-10-27,SJ,0,CAR,3,Won,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-29 - SJ 1, WSH 3",SJ,2023-10-29,SJ,1,WSH,3,Won,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-11-02 - VAN 10, SJ 1",SJ,2023-11-02,VAN,10,SJ,1,Lost,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-11-04 - PIT 10, SJ 2",SJ,2023-11-04,PIT,10,SJ,2,Won,1.0,58.261,38.233,40.173,27.287,2.866,0.5780000000000001,12.531,6.558,1.522,0.302,9.039,4.2700000000000005,31.432,24.281,0.6290000000000001,0.0,11.517,9.553999999999998,16.945,9.592,0.7030000000000001,0.28700000000000003,7.132,4.129,0.9326000000000001,28.666000000000004,29.336000000000002,16.206,19.087,2.624,1.721
"2023-11-07 - PHI 1, SJ 2",SJ,2023-11-07,PHI,1,SJ,2,Won,2.0,58.806,37.815999999999995,40.736,27.176,3.304,0.48600000000000004,13.844,6.195,2.393,0.302,10.015,4.2509999999999994,31.51,24.204,0.524,0.0,11.285,9.299000000000001,16.121000000000002,9.815999999999999,0.39699999999999996,0.191,6.942,4.214,0.9173,29.189999999999998,29.802,16.070999999999998,18.901,2.7529999999999997,1.716
"2023-11-09 - EDM 2, SJ 3",SJ,2023-11-09,EDM,2,SJ,3,Won,1.0,55.372,38.220000000000006,38.339,26.562,3.4050000000000002,0.48600000000000004,13.036000000000001,6.212999999999999,2.393,0.20800000000000002,9.817,4.269,27.762,25.029,0.524,0.0,10.504999999999999,9.721,16.006,9.093,0.499,0.286,7.337999999999999,3.8129999999999997,0.9136,28.476,28.886999999999993,15.379,18.907999999999998,2.6390000000000002,1.682
"2023-11-10 - SJ 0, VGK 5",SJ,2023-11-10,SJ,0,VGK,5,Won,0.0,56.251,40.38,39.009,28.111,3.293,0.68,13.477,6.514,2.285,0.396,9.856,4.677,28.846999999999998,27.235000000000003,0.4120000000000001,0.0,11.106,9.945,15.91,9.916,0.605,0.285,7.224000000000001,4.012,0.9259999999999999,28.908000000000005,29.240999999999996,16.490000000000002,19.666999999999998,2.726,1.762
"2023-11-12 - SJ 1, ANA 4",SJ,2023-11-12,SJ,1,ANA,4,Won,1.0,57.778999999999996,39.204,39.528999999999996,27.171000000000003,3.367,0.5880000000000001,12.458,6.571000000000001,2.369,0.396,9.419,4.704,30.435000000000002,26.061,0.4130000000000001,0.0,11.734,9.382000000000001,16.628,9.308000000000002,0.608,0.189,7.414,3.929,0.9212999999999999,29.688,28.934000000000005,15.955999999999998,19.238,2.549,1.7599999999999998
"2023-11-14 - FLA 5, SJ 3",SJ,2023-11-14,FLA,5,SJ,3,Lost,1.0,58.914,38.379999999999995,40.215999999999994,27.175,3.2630000000000003,0.5890000000000001,12.95,6.885,2.2660000000000005,0.395,10.218,4.627000000000001,31.5,25.052,0.52,0.0,11.618,9.286000000000001,16.429,8.761,0.51,0.189,7.101000000000001,3.832,0.9274000000000001,30.177,29.235000000000003,15.7,18.886000000000003,2.597,1.7720000000000002
"2023-11-16 - STL 1, SJ 5",SJ,2023-11-16,STL,1,SJ,5,Won,1.0,60.007000000000005,37.459999999999994,40.401,26.776,3.382,0.681,12.562000000000001,6.869,2.1740000000000004,0.487,9.761999999999999,4.6610000000000005,32.357000000000006,24.186,0.625,0.0,11.729,8.774000000000001,17.514000000000003,8.905,0.615,0.189,7.550999999999999,3.711,0.9287000000000001,30.368000000000002,29.905,15.834999999999999,18.178,2.625,1.7380000000000002
