Game,Team,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2023-10-11 - MTL 5, TOR 6",TOR,2023-10-11,MTL,5,TOR,6,Won,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-14 - MIN 4, TOR 7",TOR,2023-10-14,MIN,4,TOR,7,Won,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-16 - CHI 4, TOR 1",TOR,2023-10-16,CHI,4,TOR,1,Lost,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-19 - TOR 1, FLA 3",TOR,2023-10-19,TOR,1,FLA,3,Won,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-21 - TOR 4, TB 3",TOR,2023-10-21,TOR,4,TB,3,Lost,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-24 - TOR 4, WSH 1",TOR,2023-10-24,TOR,4,WSH,1,Lost,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-28 - TOR 2, NSH 3",TOR,2023-10-28,TOR,2,NSH,3,Won,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-31 - LA 4, TOR 1",TOR,2023-10-31,LA,4,TOR,1,Lost,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-11-02 - TOR 2, BOS 3",TOR,2023-11-02,TOR,2,BOS,3,Won,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-11-04 - BUF 6, TOR 4",TOR,2023-11-04,BUF,6,TOR,4,Lost,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-11-06 - TB 5, TOR 6",TOR,2023-11-06,TB,5,TOR,6,Won,1.0,49.866,46.668,35.557,33.167,2.161,1.784,10.517,8.143,1.558,0.779,7.5569999999999995,5.775,26.293,27.853999999999996,0.295,0.29900000000000004,8.808,10.427,13.491,12.878,0.314,0.709,6.192,7.004,0.9894999999999999,24.209,23.942,21.134,24.134999999999998,2.224,2.022
"2023-11-08 - OTT 6, TOR 3",TOR,2023-11-08,OTT,6,TOR,3,Lost,1.0,50.187,46.435,35.573,33.14,2.0420000000000003,2.157,10.504999999999999,8.312,1.339,1.058,7.761,5.936000000000001,27.456,27.608999999999998,0.295,0.21100000000000002,9.103,10.264999999999999,13.638,12.858999999999998,0.421,0.9,6.492,7.084999999999999,1.0134,24.791,24.098000000000003,21.281,24.2,2.291,1.9929999999999999
"2023-11-10 - CGY 4, TOR 5",TOR,2023-11-10,CGY,4,TOR,5,Won,1.0,49.368,47.412,35.061,33.510000000000005,2.1590000000000003,1.8539999999999999,10.681999999999999,8.39,1.348,1.0470000000000002,7.603999999999999,5.763,25.746,27.728999999999996,0.295,0.10500000000000001,8.686,10.281,13.736,13.531,0.526,0.704,6.635,6.955000000000001,0.9959000000000001,24.375999999999998,24.358999999999998,22.038,24.026000000000003,2.2560000000000002,1.9560000000000002
"2023-11-11 - VAN 2, TOR 5",TOR,2023-11-11,VAN,2,TOR,5,Won,0.0,48.439,48.602,34.963,34.809,2.352,1.955,10.636,8.76,1.5479999999999998,1.1460000000000001,7.358000000000001,5.643,25.787,27.746,0.295,0.10500000000000001,8.797,10.703,13.156,14.060999999999998,0.521,0.704,6.247000000000001,6.901999999999999,0.9865,23.74,23.772,22.910999999999998,24.57,2.2150000000000003,1.9740000000000002
"2023-11-17 - TOR 3, DET 2",TOR,2023-11-17,TOR,3,DET,2,Lost,5.0,49.016000000000005,48.05800000000001,35.863,35.30800000000001,2.159,2.432,11.136,9.067,1.5479999999999998,1.4330000000000003,7.953,5.712000000000001,26.024,27.256,0.094,0.2,9.065000000000001,10.370000000000001,12.439,13.541,0.521,0.8,6.045,6.789,1.0321,24.447000000000003,23.566,22.698,24.186,2.4050000000000002,2.0149999999999997
"2023-11-19 - TOR 4, MIN 3",TOR,2023-11-19,TOR,4,MIN,3,Lost,1.0,47.192,46.451,34.55200000000001,33.39,2.164,2.3310000000000004,10.091,8.991,1.454,1.6420000000000001,7.226999999999999,5.832,26.848000000000003,25.544,0.2,0.095,9.289,9.341000000000001,11.378,13.191999999999998,0.521,0.592,5.74,5.895,1.032,23.616999999999997,21.47,22.266,22.444,2.2640000000000002,1.919
"2023-11-24 - TOR 3, CHI 4",TOR,2023-11-24,TOR,3,CHI,4,Won,4.0,48.44799999999999,48.17,35.39,35.031000000000006,2.446,2.331,10.138,8.615,1.5459999999999998,1.534,7.172,5.7940000000000005,28.605,27.181,0.288,0.20600000000000002,10.325,9.7,11.565000000000001,14.63,0.616,0.6,6.0520000000000005,6.184,1.0165,24.445,21.689,23.345000000000002,23.156,2.2960000000000003,1.972
"2023-11-25 - TOR 2, PIT 3",TOR,2023-11-25,TOR,2,PIT,3,Won,0.0,49.384,48.44799999999999,35.853,34.999,2.726,2.4379999999999997,10.218,10.023,1.639,1.536,7.345999999999999,6.875,27.999000000000002,27.044,0.377,0.20600000000000002,10.876999999999999,9.528,12.241,13.538,0.712,0.705,6.036,5.464,1.0084,25.25,22.464,23.613,23.107999999999997,2.311,2.1209999999999996
"2023-11-28 - FLA 1, TOR 2",TOR,2023-11-28,FLA,1,TOR,2,Won,2.0,49.239999999999995,51.132,35.80499999999999,36.366,2.687,2.649,10.601,10.375,1.41,1.748,7.678,7.07,28.863,29.042,0.561,0.20600000000000002,10.918,9.875,11.784,14.313999999999998,0.712,0.705,6.455,5.856,1.0201,25.837,22.439,24.725,23.864,2.3609999999999998,2.2329999999999997
"2023-11-30 - SEA 3, TOR 4",TOR,2023-11-30,SEA,3,TOR,4,Won,1.0,49.709,48.980999999999995,35.662,34.739,2.5999999999999996,2.538,9.971,10.857,1.323,1.8400000000000003,6.9719999999999995,7.575999999999999,29.46,27.648000000000003,0.561,0.20600000000000002,10.422,9.053,12.379999999999999,13.235,0.712,0.497,7.0040000000000004,5.313999999999999,1.0199,25.491999999999997,22.392,24.116,23.015,2.277,2.295
"2023-12-02 - BOS 4, TOR 3",TOR,2023-12-02,BOS,4,TOR,3,Lost,1.0,49.35,49.086,35.156,34.951,2.4859999999999998,2.457,9.66,11.005999999999998,1.111,1.661,6.7090000000000005,7.609999999999999,29.095,27.443,0.561,0.20600000000000002,10.501999999999999,9.034,12.262,13.609,0.8150000000000001,0.591,6.362,5.726,1.0116,24.584,21.995,24.617,23.548,2.2779999999999996,2.33
"2023-12-07 - TOR 4, OTT 3",TOR,2023-12-07,TOR,4,OTT,3,Lost,4.0,50.190000000000005,50.031,35.616,35.263999999999996,2.4970000000000003,2.1759999999999997,9.444999999999999,11.52,1.224,1.567,6.507,8.145999999999999,29.552999999999997,27.915,0.666,0.20600000000000002,11.044,8.936000000000002,12.288,13.51,0.604,0.4,5.952999999999999,5.526999999999999,0.9983000000000001,24.413,21.802,25.046,23.877,2.2459999999999996,2.427
"2023-12-09 - NSH 0, TOR 4",TOR,2023-12-09,NSH,0,TOR,4,Won,1.0,50.922000000000004,50.261,35.727999999999994,34.439,2.1609999999999996,2.4129999999999994,9.325999999999999,11.03,0.9970000000000001,1.597,6.859999999999999,7.771000000000001,31.004999999999995,27.857999999999997,0.66,0.20600000000000002,12.13,8.766000000000002,11.583,13.931999999999999,0.499,0.61,5.508,5.462999999999999,1.0268,25.322,20.986,24.970000000000002,23.369,2.2119999999999997,2.324
