Game,Team,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2023-10-10 - SEA 1, VGK 4",VGK,2023-10-10,SEA,1,VGK,4,Won,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-12 - VGK 4, SJ 1",VGK,2023-10-12,VGK,4,SJ,1,Lost,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-14 - ANA 1, VGK 4",VGK,2023-10-14,ANA,1,VGK,4,Won,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-17 - DAL 2, VGK 3",VGK,2023-10-17,DAL,2,VGK,3,Won,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-19 - VGK 5, WPG 3",VGK,2023-10-19,VGK,5,WPG,3,Lost,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-21 - VGK 5, CHI 3",VGK,2023-10-21,VGK,5,CHI,3,Lost,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-24 - PHI 2, VGK 3",VGK,2023-10-24,PHI,2,VGK,3,Won,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-27 - CHI 4, VGK 3",VGK,2023-10-27,CHI,4,VGK,3,Lost,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-28 - VGK 4, LA 3",VGK,2023-10-28,VGK,4,LA,3,Lost,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-30 - MTL 2, VGK 3",VGK,2023-10-30,MTL,2,VGK,3,Won,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-11-02 - WPG 2, VGK 5",VGK,2023-11-02,WPG,2,VGK,5,Won,2.0,48.88,45.541000000000004,34.162,30.451,1.685,2.302,9.106,9.059000000000001,0.892,1.095,5.909000000000001,6.3740000000000006,29.403,25.669,0.21000000000000002,0.28900000000000003,12.012,9.334999999999999,12.466,14.607,0.601,0.9109999999999999,4.968,5.6160000000000005,1.0307,23.8,21.65,23.64,22.069,2.105,2.007
"2023-11-04 - COL 0, VGK 7",VGK,2023-11-04,COL,0,VGK,7,Won,1.0,49.179,44.283,34.656,29.880000000000003,1.686,2.2030000000000003,9.303,8.254000000000001,0.891,1.001,6.198,5.763,29.974,25.203,0.21000000000000002,0.28900000000000003,12.197999999999999,9.093,11.615,14.793000000000001,0.601,0.908,4.869,5.708,1.0291000000000001,24.169999999999998,20.971,23.003999999999998,21.605,2.101,1.909
"2023-11-05 - VGK 2, ANA 4",VGK,2023-11-05,VGK,2,ANA,4,Won,0.0,52.18399999999999,41.954,36.096000000000004,28.818,1.5939999999999999,2.1759999999999997,9.529,8.06,0.891,1.1,6.3420000000000005,5.384,32.512,24.762999999999998,0.21000000000000002,0.396,12.58,9.159,12.745000000000001,13.091,0.505,0.7,5.382,5.045,1.0398,25.164,22.332,21.121,20.589,2.1550000000000002,1.7930000000000004
"2023-11-08 - LA 4, VGK 1",VGK,2023-11-08,LA,4,VGK,1,Lost,2.0,52.177,41.994,35.851,29.213,1.6809999999999998,2.1830000000000003,9.812000000000001,8.440999999999999,0.975,1.107,6.687,5.5920000000000005,32.043,24.832,0.21000000000000002,0.396,12.188,8.608,12.346,12.537,0.505,0.7,5.246,5.49,1.0337999999999998,24.977,22.238,20.958,20.608999999999998,2.191,1.8370000000000002
