Game,Team,Unnamed: 2,TOI,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,HDCF,HDCA,HDCF%,HDSF,HDSA,HDSF%,HDGF,HDGA,HDGF%,HDSH%,HDSV%,MDCF,MDCA,MDCF%,MDSF,MDSA,MDSF%,MDGF,MDGA,MDGF%,MDSH%,MDSV%,LDCF,LDCA,LDCF%,LDSF,LDSA,LDSF%,LDGF,LDGA,LDGF%,LDSH%,LDSV%,SH%,SV%,PDO,Attendance
"2023-10-10 - NSH 3, TB 5",NSH,Limited ReportFull Report,41.3,36.88,43.09,46.12,23.4,34.45,40.45,18.39,22.39,45.09,2.07,0.94,68.67,2.63,1.42,64.90,19.67,17.87,52.4,9.54,4.86,66.26,7.49,3.97,65.35,2.07,0.0,100.00,27.62,100.00,10.05,13.19,43.26,5.09,2.99,62.99,0.0,0.0,-,0.00,100.00,16.6,33.19,33.34,5.9,15.7,27.31,0.0,0.95,0.00,0.0,93.97,11.25,95.79,1.07,19092
"2023-10-10 - NSH 3, TB 5",TB,Limited ReportFull Report,41.3,43.09,36.88,53.88,34.45,23.4,59.55,22.39,18.39,54.91,0.94,2.07,31.33,1.42,2.63,35.10,17.87,19.67,47.6,4.86,9.54,33.74,3.97,7.49,34.65,0.0,2.07,0.00,0.00,72.38,13.19,10.05,56.74,2.99,5.09,37.01,0.0,0.0,-,0.00,100.00,33.19,16.6,66.66,15.7,5.9,72.69,0.95,0.0,100.00,6.03,100.0,4.21,88.75,0.93,19092
"2023-10-10 - CHI 4, PIT 2",CHI,Limited ReportFull Report,45.5,52.25,56.05,48.25,40.93,45.53,47.34,28.23,34.59,44.94,3.08,1.93,61.47,2.93,2.55,53.46,27.11,20.73,56.68,9.13,9.85,48.1,5.93,9.02,39.68,1.04,0.94,52.38,17.46,89.56,17.75,10.97,61.81,10.08,6.93,59.27,2.11,0.0,100.00,20.93,100.00,25.82,35.19,42.32,11.3,14.59,43.64,0.0,1.06,0.00,0.0,92.72,10.92,94.41,1.053,18411
"2023-10-10 - CHI 4, PIT 2",PIT,Limited ReportFull Report,45.5,56.05,52.25,51.75,45.53,40.93,52.66,34.59,28.23,55.06,1.93,3.08,38.53,2.55,2.93,46.54,20.73,27.11,43.32,9.85,9.13,51.9,9.02,5.93,60.32,0.94,1.04,47.62,10.44,82.54,10.97,17.75,38.19,6.93,10.08,40.73,0.0,2.11,0.00,0.00,79.07,35.19,25.82,57.68,14.59,11.3,56.36,1.06,0.0,100.00,7.28,100.0,5.59,89.08,0.947,18411
"2023-10-10 - SEA 1, VGK 4",SEA,Limited ReportFull Report,40.816666666667,47.64,46.53,50.59,31.34,32.93,48.76,21.91,25.51,46.21,1.0,2.92,25.61,2.55,2.39,51.59,30.34,22.54,57.37,10.99,13.05,45.72,7.92,10.16,43.83,1.02,1.93,34.61,12.90,80.98,18.94,9.57,66.43,5.89,5.07,53.75,0.0,0.98,0.00,0.00,80.74,20.44,26.44,43.6,7.18,10.29,41.09,0.0,0.0,-,0.0,100.0,4.58,88.56,0.931,18724
"2023-10-10 - SEA 1, VGK 4",VGK,Limited ReportFull Report,40.816666666667,46.53,47.64,49.41,32.93,31.34,51.24,25.51,21.91,53.79,2.92,1.0,74.39,2.39,2.55,48.41,22.54,30.34,42.63,13.05,10.99,54.28,10.16,7.92,56.17,1.93,1.02,65.39,19.02,87.10,9.57,18.94,33.57,5.07,5.89,46.25,0.98,0.0,100.00,19.26,100.00,26.44,20.44,56.4,10.29,7.18,58.91,0.0,0.0,-,0.0,100.0,11.44,95.42,1.069,18724
"2023-10-11 - OTT 3, CAR 5",OTT,Limited ReportFull Report,40.6,36.68,58.84,38.4,30.43,47.1,39.25,18.89,32.91,36.47,2.07,2.88,41.83,1.92,2.57,42.77,19.13,27.49,41.04,7.42,9.29,44.41,3.28,7.4,30.73,1.06,0.99,51.68,32.26,86.62,11.82,18.24,39.33,7.35,8.79,45.53,1.06,0.0,100.00,14.40,100.00,18.8,33.85,35.7,7.07,16.71,29.72,0.0,1.89,0.00,0.0,88.68,10.95,91.26,1.022,18893
"2023-10-11 - OTT 3, CAR 5",CAR,Limited ReportFull Report,40.6,58.84,36.68,61.6,47.1,30.43,60.75,32.91,18.89,63.53,2.88,2.07,58.17,2.57,1.92,57.23,27.49,19.13,58.96,9.29,7.42,55.59,7.4,3.28,69.27,0.99,1.06,48.32,13.38,67.74,18.24,11.82,60.67,8.79,7.35,54.47,0.0,1.06,0.00,0.00,85.60,33.85,18.8,64.3,16.71,7.07,70.28,1.89,0.0,100.00,11.32,100.0,8.74,89.05,0.978,18893
"2023-10-11 - MTL 5, TOR 6",MTL,Limited ReportFull Report,47.383333333333,43.71,44.76,49.4,31.64,33.84,48.32,20.47,24.46,45.56,4.27,0.95,81.77,1.94,1.93,50.09,23.08,20.5,52.97,9.9,6.51,60.32,5.39,3.73,59.11,3.2,0.0,100.00,59.37,100.00,13.49,13.87,49.3,5.38,8.6,38.51,1.04,0.0,100.00,19.31,100.00,15.13,27.36,35.61,6.52,11.04,37.14,0.0,0.88,0.00,0.0,91.99,20.84,96.11,1.17,18948
"2023-10-11 - MTL 5, TOR 6",TOR,Limited ReportFull Report,47.383333333333,44.76,43.71,50.6,33.84,31.64,51.68,24.46,20.47,54.44,0.95,4.27,18.23,1.93,1.94,49.91,20.5,23.08,47.03,6.51,9.9,39.68,3.73,5.39,40.89,0.0,3.2,0.00,0.00,40.63,13.87,13.49,50.7,8.6,5.38,61.49,0.0,1.04,0.00,0.00,80.69,27.36,15.13,64.39,11.04,6.52,62.86,0.88,0.0,100.00,8.01,100.0,3.89,79.16,0.83,18948
