Game,Team,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2021-10-16 - DAL 1, BOS 3",BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-20 - BOS 3, PHI 6",BOS,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-22 - BOS 4, BUF 1",BOS,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-24 - SJ 3, BOS 4",BOS,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-27 - BOS 1, FLA 4",BOS,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-28 - BOS 0, CAR 3",BOS,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-30 - FLA 2, BOS 3",BOS,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-04 - DET 1, BOS 5",BOS,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-06 - BOS 2, TOR 5",BOS,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-09 - OTT 2, BOS 3",BOS,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-11 - EDM 5, BOS 3",BOS,1.0,36.973,47.726,28.084000000000003,37.127,1.7599999999999998,1.3969999999999998,5.688000000000001,7.412000000000001,0.883,0.508,3.892,4.954,17.531,23.582,0.376,0.495,9.637,14.225,12.216,14.775,0.487,0.3969999999999999,6.32,7.302,0.9606,20.978,17.951999999999998,22.144,28.43,1.4300000000000002,1.956
"2021-11-13 - BOS 5, NJ 2",BOS,1.0,37.934,46.88,28.73,36.282,2.176,1.586,6.531999999999999,7.674999999999999,1.4,0.6020000000000001,4.728,5.220000000000001,17.241,23.035,0.376,0.5900000000000001,9.434,13.338,12.451,14.114,0.3809999999999999,0.3969999999999999,6.127000000000001,6.606,0.9538,21.505000000000003,19.018,21.777,27.24,1.468,1.96
"2021-11-14 - MTL 2, BOS 5",BOS,0.0,38.819,45.208,29.418,35.864999999999995,1.98,1.6030000000000002,7.125,7.069,1.3,0.618,4.775,5.011,17.390000000000004,22.437,0.376,0.5900000000000001,9.678999999999998,13.2,12.7,13.516,0.295,0.3969999999999999,6.061000000000001,6.252000000000001,0.9657,21.617,19.923,20.518,26.467,1.532,1.947
"2021-11-20 - BOS 5, PHI 2",BOS,5.0,38.402,45.393,29.494,36.171,2.099,1.6760000000000002,6.391,6.944,1.3,0.795,4.632,5.166,17.724,22.687,0.481,0.5900000000000001,9.739999999999998,13.368,12.24,13.706,0.304,0.292,5.939,6.5840000000000005,0.9617,21.613,18.695,20.622,27.114,1.517,1.968
"2021-11-21 - CGY 4, BOS 0",BOS,0.0,38.679,45.338,30.206,36.276,1.892,1.811,6.641,7.415000000000001,1.291,0.901,4.886,5.513,17.238999999999997,21.806,0.294,0.595,9.87,13.826,12.222,13.531,0.304,0.309,6.119999999999999,6.603999999999999,0.9806,22.32,18.914,20.944,27.855,1.584,2.013
"2021-11-24 - BOS 5, BUF 1",BOS,2.0,39.356,45.291,30.517999999999997,36.486,1.928,1.7049999999999996,6.802000000000001,7.335000000000001,1.312,0.901,5.142,5.539,17.81,22.380000000000003,0.406,0.4899999999999999,10.145,14.361999999999998,12.368,13.082,0.208,0.309,5.779,6.257,0.9746,22.521,19.211,20.419,28.002,1.6170000000000002,1.979
"2021-11-26 - NYR 5, BOS 2",BOS,1.0,39.647000000000006,46.749,30.664,37.879000000000005,1.928,2.017,6.586,7.229000000000001,1.312,1.002,4.886,5.393,18.14,23.401000000000003,0.311,0.595,10.335,15.141,12.654,13.623,0.303,0.4059999999999999,6.040000000000001,7.0760000000000005,0.9828,22.72,19.292,20.815,29.257,1.568,1.969
"2021-11-28 - VAN 2, BOS 3",BOS,1.0,38.006,47.538,29.765000000000004,38.356,2.243,2.112,6.770999999999999,7.053999999999999,1.418,1.096,5.178,5.21,16.961000000000002,24.214,0.311,0.5,9.581,15.177,12.025,13.686000000000002,0.513,0.501,5.726,7.35,0.9731,21.931,18.84,20.71,29.46,1.612,1.912
"2021-11-30 - DET 2, BOS 1",BOS,1.0,38.998000000000005,47.022000000000006,30.401,37.904,2.349,2.104,6.898999999999999,7.281000000000001,1.418,1.1880000000000002,5.5,5.5520000000000005,17.737000000000002,24.577,0.416,0.5,10.456,15.877,12.074000000000002,12.541,0.513,0.4009999999999999,5.868,6.795,0.968,23.191,18.982000000000003,19.839,29.934999999999995,1.632,1.912
"2021-12-02 - BOS 2, NSH 0",BOS,1.0,37.411,46.41,29.181,37.4,2.264,2.004,6.6530000000000005,7.313000000000001,1.336,1.1880000000000002,5.244000000000001,5.819,17.636000000000003,23.784,0.416,0.406,9.800999999999998,15.453,10.973,12.830000000000002,0.513,0.4009999999999999,5.306,7.13,0.9628,21.622,17.649,20.166,29.883,1.515,1.897
"2021-12-04 - TB 3, BOS 2",BOS,1.0,39.673,45.859,30.653,37.579,2.057,2.018,6.644,7.739,1.23,1.1880000000000002,5.448,6.2,18.571,23.583,0.3219999999999999,0.422,10.392,14.809,12.411,12.421,0.513,0.4009999999999999,5.923,7.406000000000001,0.9763,22.921,19.108,20.179,29.70800000000001,1.55,1.975
"2021-12-08 - BOS 1, VAN 2",BOS,3.0,40.693,49.057,31.2,39.807,1.648,1.922,6.356,8.704,0.713,1.185,4.843,6.809,19.374,24.287,0.3219999999999999,0.327,10.534,14.758,12.774,13.951,0.617,0.4009999999999999,6.032000000000001,8.258,0.986,22.583,19.175,22.696,31.038,1.559,2.135
"2021-12-09 - BOS 3, EDM 2",BOS,0.0,40.75,48.824,31.569,39.159000000000006,1.4579999999999995,1.6009999999999998,5.470000000000001,8.446,0.62,0.8630000000000001,4.5,6.455,20.096,24.241000000000003,0.3219999999999999,0.327,10.848,14.483,12.748,13.95,0.514,0.4009999999999999,5.78,8.64,0.9829,22.57,18.205,22.469,30.682,1.466,2.048
"2021-12-11 - BOS 4, CGY 2",BOS,1.0,40.665,48.795,31.32,39.192,1.247,1.421,5.375,8.404,0.62,0.5780000000000001,4.328,6.263,19.708,24.161,0.217,0.432,10.608,14.410000000000002,13.197,13.609,0.409,0.4009999999999999,6.007000000000001,8.303,0.9851,22.442,18.584,22.055,30.42,1.484,2.014
