Game,Team,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2021-10-14 - NYI 3, CAR 6",CAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-16 - CAR 3, NSH 2",CAR,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-21 - CAR 4, MTL 1",CAR,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-23 - CAR 5, CBJ 1",CAR,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-25 - TOR 1, CAR 4",CAR,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-28 - BOS 0, CAR 3",CAR,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-29 - CHI 3, CAR 6",CAR,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-31 - ARI 1, CAR 2",CAR,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-03 - CAR 4, CHI 3",CAR,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-06 - CAR 2, FLA 5",CAR,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-09 - CAR 2, TB 1",CAR,2.0,37.488,46.876,28.605,35.176,1.105,2.479,8.356,10.191,0.913,1.285,6.575999999999999,7.689,16.193,19.445,0.0,0.506,9.111,10.569,9.89,12.48,0.193,0.7070000000000001,4.674,5.946,1.044,21.197,18.319,22.695,25.508,1.888,2.137
"2021-11-12 - PHI 2, CAR 1",CAR,2.0,36.043,44.606,27.597,33.209,0.891,2.099,7.223000000000001,9.549,0.603,1.094,5.872,7.125,15.782999999999998,18.786,0.095,0.506,8.791,10.174,10.082,11.984,0.193,0.517,4.964,5.565,1.039,20.458,17.372999999999998,21.599,24.178,1.713,2.015
"2021-11-13 - STL 2, CAR 3",CAR,0.0,36.821000000000005,44.206,28.519,32.498,1.0059999999999998,1.982,7.819,9.502,0.718,1.188,6.136,6.837999999999999,15.956,18.624,0.095,0.506,8.402,10.089,10.004,11.473,0.193,0.307,4.921,5.123,1.0304,20.31,17.877000000000002,21.061,23.664,1.844,2.029
"2021-11-16 - CAR 4, VGK 2",CAR,2.0,36.287,43.57899999999999,28.547999999999995,31.713,1.107,1.956,7.737,9.077,0.819,1.08,5.917,6.478999999999999,15.953,18.862,0.095,0.4899999999999999,8.42,10.061,9.928,11.065,0.193,0.4019999999999999,5.175,4.665,1.0271,20.261000000000003,17.719,20.235,22.655,1.924,2.024
"2021-11-18 - CAR 2, ANA 1",CAR,1.0,35.5,45.585,28.308000000000003,33.419,1.294,2.061,7.965000000000001,9.684,1.004,1.185,6.141,7.087999999999999,15.453,20.027,0.095,0.4899999999999999,7.643000000000001,11.024,9.532,11.068,0.193,0.402,5.3740000000000006,4.418,1.0148,19.994,17.54,20.858,24.073,1.979,2.113
"2021-11-20 - CAR 5, LA 4",CAR,1.0,35.229,46.938,28.29,33.716,1.2799999999999998,1.986,8.119,9.417,0.99,1.006,6.424,6.866,15.777,21.74,0.095,0.4899999999999999,8.198,11.345,8.632000000000001,11.12,0.193,0.507,4.982000000000001,4.375,1.0147,20.492,16.78,20.617,23.722,1.975,2.147
"2021-11-22 - CAR 1, SJ 2",CAR,1.0,35.635000000000005,46.789,28.732,33.455,1.557,2.42,7.782999999999999,9.323,1.174,1.324,6.138,6.934,17.113,21.688,0.095,0.395,8.388,11.139,8.658000000000001,11.799,0.289,0.717,5.339,4.6,1.0294,20.619,16.476,21.193,23.702,1.9270000000000005,2.162
"2021-11-24 - CAR 1, SEA 2",CAR,1.0,36.74,48.479,29.454,33.686,1.543,2.048,8.373999999999999,8.863,1.068,1.039,6.564,6.354000000000001,18.357,23.436,0.095,0.289,8.520999999999999,11.264,9.085,13.062,0.3849999999999999,0.7260000000000001,5.319000000000001,4.815,1.0173,21.252,17.502,22.021,23.364,1.99,2.112
"2021-11-26 - CAR 6, PHI 3",CAR,1.0,37.305,49.104,29.999,34.0,1.531,2.0620000000000003,8.187000000000001,8.68,0.962,1.039,6.198,6.597,19.286,24.267,0.19,0.305,8.945,11.361,9.122,13.303,0.3849999999999999,0.7260000000000001,5.089,4.752000000000001,1.0174,21.085,17.360999999999997,22.041,23.727,1.9610000000000003,2.1260000000000003
"2021-11-28 - WSH 4, CAR 2",CAR,1.0,37.378,50.128,30.028,35.294,1.432,2.275,8.337,8.825999999999999,0.8630000000000001,1.149,6.003,6.628,18.662,24.261,0.19,0.294,8.661,11.735,9.501,14.257,0.3849999999999999,0.8230000000000001,4.975,5.506,1.0192,20.676,17.912,23.118,25.003,1.966,2.163
"2021-11-30 - CAR 1, DAL 4",CAR,1.0,37.325,50.151,29.454,36.143,1.5459999999999998,2.362,8.183,8.930000000000001,0.969,1.139,5.720000000000001,6.212999999999999,18.797,24.427,0.301,0.294,8.509,12.344,9.48,13.984,0.287,0.926,5.189,5.674,1.0152,20.321,17.744999999999997,22.929,25.487,1.915,2.18
"2021-12-02 - OTT 3, CAR 2",CAR,1.0,37.783,52.63099999999999,29.438,38.609,1.7439999999999998,2.462,8.297,10.077000000000002,1.259,1.241,5.728,7.15,19.608,25.848000000000003,0.2059999999999999,0.294,8.763,12.72,8.599,13.784,0.287,0.926,4.698,6.1530000000000005,1.0028,20.174,16.992,23.871,27.248,1.891,2.355
"2021-12-04 - BUF 2, CAR 6",CAR,1.0,37.378,53.638,28.99,39.595000000000006,1.856,2.46,8.481,10.643,1.372,1.239,5.993,7.563,18.663,26.137,0.2059999999999999,0.294,8.337,12.803,9.016,14.268,0.287,0.926,4.5120000000000005,6.5200000000000005,0.9944,19.813,17.562,24.947,27.936,1.91,2.434
"2021-12-07 - CAR 4, WPG 2",CAR,2.0,39.091,54.438,30.367,39.978,1.8560000000000003,2.761,8.952,11.173,1.271,1.53,6.273999999999999,8.285,19.57,26.036,0.299,0.305,9.198,12.536,9.219,14.657999999999998,0.287,0.929,4.279,6.952,1.0043,20.773000000000003,18.247,25.858,28.776,2.016,2.509
"2021-12-09 - CAR 2, CGY 1",CAR,1.0,38.347,53.236,29.293,38.781,1.669,2.655,8.22,11.338,1.086,1.424,5.630000000000001,8.215,19.464,25.637,0.299,0.41,9.369,12.008,9.363,14.284,0.287,0.8240000000000001,4.085,6.647,1.0154,20.174,17.66,25.636000000000003,27.745,1.894,2.576
"2021-12-11 - CAR 3, EDM 1",CAR,1.0,37.386,50.177,28.511999999999997,36.621,1.669,2.55,7.575999999999999,10.805,0.994,1.424,4.885,7.792999999999999,18.781,23.274,0.388,0.41,8.597,11.298,9.452,14.231,0.287,0.719,4.271,6.763,1.0116999999999998,19.02,17.095,25.041,26.627,1.7719999999999998,2.432
"2021-12-12 - CAR 1, VAN 2",CAR,0.0,35.739,51.835,26.76,38.107,1.487,2.237,7.316000000000001,11.161,0.8100000000000002,1.214,4.708,8.034,16.479,23.431,0.388,0.41,7.667,11.744,9.802,14.944,0.294,0.613,3.99,6.99,0.9929,17.543,17.187,26.087,27.653,1.711,2.478
"2021-12-16 - DET 3, CAR 5",CAR,3.0,35.364,51.884,26.434999999999995,38.402,1.588,2.232,6.989,12.04,0.904,1.318,4.454,8.415,15.115,22.306,0.388,0.41,7.881,11.588,9.853,14.701000000000002,0.292,0.5079999999999999,4.121,7.177000000000001,0.988,17.628,16.869,26.735,27.977,1.6969999999999998,2.5460000000000003
"2021-12-18 - LA 1, CAR 5",CAR,1.0,36.462,51.586,27.28,38.7,1.797,2.409,7.336,12.033,1.106,1.412,4.573,7.735000000000001,14.345,22.11,0.387,0.4,7.681,11.938,10.946000000000002,14.855,0.292,0.603,4.428,7.554,0.9841,17.957,18.333,26.885,27.908,1.821,2.539
"2021-12-30 - MTL 0, CAR 4",CAR,11.0,37.386,50.94500000000001,28.431,38.768,1.7079999999999995,2.079,7.985000000000001,12.813,1.114,1.289,5.162999999999999,7.934,14.803,22.697,0.387,0.413,7.981,11.89,10.769,13.580000000000002,0.197,0.4,4.621,6.800999999999999,0.9839,19.134,18.8,26.405,27.37,1.942,2.651
"2022-01-01 - CAR 7, CBJ 4",CAR,1.0,35.732,51.145,27.426,38.625,1.495,1.892,7.995999999999999,12.038999999999998,1.0080000000000002,1.197,5.388,7.891,14.042999999999996,23.443,0.2759999999999999,0.413,8.007,12.582,10.092,13.878,0.197,0.297,3.988,6.379,0.9871,18.619,18.126,25.874,27.545,1.938,2.511
"2022-01-07 - CGY 3, CAR 6",CAR,5.0,35.411,52.25599999999999,27.341,39.979,1.496,2.409,7.994,11.57,0.812,1.408,5.587999999999999,7.328999999999999,12.975,24.462,0.2759999999999999,0.612,7.479000000000001,13.621,11.014,14.395999999999995,0.391,0.4029999999999999,4.49,6.315,1.0012,18.724,19.03,25.911,28.051,1.967,2.598
"2022-01-08 - FLA 4, CAR 3",CAR,0.0,36.126,51.877,27.791,40.027,1.485,2.8,7.923999999999999,10.746,0.698,1.598,5.647,6.825,13.616,24.377,0.2759999999999999,0.612,7.795999999999999,13.782,11.213,14.747,0.496,0.591,5.39,6.643000000000001,1.0214,20.096,19.188,25.392000000000003,28.03,1.921,2.555
"2022-01-13 - CBJ 6, CAR 0",CAR,4.0,37.519,51.275,28.949,39.634,1.703,2.497,7.962000000000001,10.444,0.91,1.307,5.621,6.184,13.941,24.563,0.183,0.5940000000000001,7.431,14.071000000000002,12.323,14.287,0.6,0.5890000000000001,6.295,6.293,1.0069,20.687,20.289,24.657,27.322,1.884,2.49
"2022-01-15 - VAN 1, CAR 4",CAR,1.0,41.44199999999999,50.708,32.568,39.7,2.346,2.284,9.566999999999998,9.72,1.452,1.199,6.992999999999999,5.767,15.252,24.484,0.295,0.489,8.428999999999998,14.258,13.119,14.581,0.6,0.5890000000000001,6.654999999999999,6.336,0.9816,23.318,22.64,24.279,27.163,2.231,2.327
"2022-01-18 - CAR 7, BOS 1",CAR,2.0,41.822,53.123000000000005,33.375,41.241,2.355,2.47,10.041,10.162,1.452,1.284,7.127,5.832000000000001,14.911999999999995,25.596,0.206,0.489,8.829,14.936000000000002,13.641,15.383999999999997,0.7060000000000001,0.683,6.962000000000001,6.616,0.988,24.07,23.648000000000003,25.489,28.085,2.331,2.436
"2022-01-21 - NYR 3, CAR 6",CAR,2.0,42.299,52.806,33.953,41.195,2.26,2.789,10.246,10.085,1.452,1.609,7.343000000000001,5.976999999999999,16.141,25.824,0.206,0.489,9.405,15.014,12.894,14.653,0.603,0.6839999999999999,6.85,6.631,1.0031,24.677,23.102,24.693,28.555,2.336,2.467
"2022-01-22 - CAR 4, NJ 7",CAR,0.0,42.664,53.931,34.053999999999995,42.813,2.1670000000000003,3.084,10.249,11.25,1.46,1.798,7.234999999999999,6.998,16.703,25.275,0.206,0.5960000000000001,9.053,14.663999999999998,12.374,14.799,0.509,0.6839999999999999,6.533,6.836,1.0125,23.994,22.619000000000003,25.958,29.576,2.374,2.79
