Game,Team,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2021-10-14 - ARI 2, CBJ 8",CBJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-16 - SEA 1, CBJ 2",CBJ,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-19 - CBJ 1, DET 4",CBJ,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-21 - NYI 2, CBJ 3",CBJ,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-23 - CAR 5, CBJ 1",CBJ,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-25 - DAL 1, CBJ 4",CBJ,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-29 - CBJ 0, NYR 4",CBJ,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-31 - CBJ 4, NJ 3",CBJ,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-03 - CBJ 5, COL 4",CBJ,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-06 - COL 2, CBJ 4",CBJ,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-12 - WSH 4, CBJ 3",CBJ,5.0,47.197,43.262,36.118,31.456,1.6939999999999995,1.874,9.571,8.081,0.5,0.698,7.417,6.174,19.406,17.16,0.378,0.513,10.347,9.377,15.705000000000002,14.332,0.799,0.689,8.456,5.939,1.016,26.802,25.262,22.447,23.05,2.1990000000000003,1.8009999999999995
"2021-11-13 - NYR 5, CBJ 3",CBJ,0.0,46.211,44.116,35.408,32.155,2.014,1.664,8.416,8.998999999999999,0.5,0.7899999999999999,6.367,6.811,20.071,16.863,0.378,0.282,10.997,8.821000000000002,14.964,14.476,1.113,0.589,8.711,5.996,0.9947,26.714,23.321,23.546,23.22,2.082,1.898
"2021-11-15 - DET 3, CBJ 5",CBJ,1.0,46.625,43.866,36.501,32.775,2.3240000000000003,1.7579999999999998,9.336,9.706,0.7140000000000001,0.881,7.278999999999999,7.357000000000001,20.255,17.037,0.5660000000000001,0.377,11.634,8.983,14.466,13.71,1.0079999999999998,0.493,8.624,5.989,0.9901,28.171,23.733,23.504,23.97,2.148,2.055
"2021-11-18 - CBJ 5, ARI 4",CBJ,2.0,46.003,44.768,35.134,33.38,2.45,2.132,8.735000000000001,9.172999999999998,0.9260000000000002,1.066,6.749,7.1530000000000005,19.434,17.225,0.6769999999999999,0.472,10.769,9.438,14.999,14.935,0.8190000000000002,0.589,8.368,6.912000000000001,0.9938,26.722,23.661,24.196,25.042,2.022,2.087
