Game,Team,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2021-10-16 - CGY 2, EDM 5",CGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-18 - ANA 3, CGY 2",CGY,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-21 - CGY 3, DET 0",CGY,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-23 - CGY 4, WSH 3",CGY,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-25 - CGY 5, NYR 1",CGY,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-26 - CGY 5, NJ 3",CGY,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-28 - CGY 4, PIT 0",CGY,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-30 - PHI 0, CGY 4",CGY,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-02 - NSH 3, CGY 2",CGY,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-04 - DAL 4, CGY 3",CGY,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-06 - NYR 0, CGY 6",CGY,1.0,38.199,50.353,29.923,37.738,1.177,1.962,6.28,7.864,0.5960000000000001,0.628,4.766,6.403999999999999,19.828,21.297,0.288,0.317,10.085,11.138,10.079,17.360999999999997,0.305,1.008,5.233,9.697,1.0068,21.582,16.491999999999997,25.160000000000004,28.614,1.6800000000000002,2.082
"2021-11-09 - SJ 4, CGY 1",CGY,2.0,38.635,51.622,29.938,38.867,0.984,2.358,6.489,8.088,0.5020000000000001,0.917,5.053,6.542,19.63,21.965000000000003,0.182,0.317,9.101,11.032,10.604,18.101,0.305,1.108,5.321,9.721,1.0291,21.016,17.245,26.076,28.607,1.7239999999999998,2.246
"2021-11-11 - CGY 2, MTL 4",CGY,1.0,39.659000000000006,50.682,30.482000000000006,38.495,1.094,2.261,7.045,8.303999999999998,0.6080000000000001,1.009,5.289,6.392,20.684,23.008,0.287,0.2219999999999999,8.98,11.229,10.96,17.282,0.199,1.013,5.133,9.198,1.0213,20.956,18.143,25.522,28.104000000000003,1.766,2.175
"2021-11-12 - CGY 1, TOR 2",CGY,0.0,38.482,50.282,28.81900000000001,38.014,1.1860000000000002,2.259,7.2440000000000015,8.392,0.7,1.113,5.293,6.26,19.805,22.897,0.287,0.2219999999999999,8.886,11.14,10.493,17.171,0.199,0.908,4.318,8.962,1.0182,19.786,17.86,25.528,27.441000000000003,1.702,2.169
