Game,Team,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2021-10-13 - CHI 2, COL 4",CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-15 - CHI 3, NJ 4",CHI,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-16 - CHI 2, PIT 5",CHI,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-19 - NYI 4, CHI 1",CHI,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-21 - VAN 4, CHI 1",CHI,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-24 - DET 6, CHI 3",CHI,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-27 - TOR 3, CHI 2",CHI,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-29 - CHI 3, CAR 6",CHI,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-30 - CHI 0, STL 1",CHI,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-01 - OTT 1, CHI 5",CHI,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-03 - CAR 4, CHI 3",CHI,1.0,46.634,36.66,34.658,26.367,3.016,0.973,7.074,6.686,1.6010000000000002,0.674,6.011,4.75,19.374,15.641,0.325,0.107,10.442,8.131,17.2,11.632,1.108,0.194,8.251000000000001,5.0760000000000005,0.9368,25.44,24.206,18.431,18.758000000000003,2.019,1.409
"2021-11-05 - CHI 1, WPG 5",CHI,1.0,45.795,36.379000000000005,33.778000000000006,26.496,3.035,1.161,6.68,6.864,1.516,0.867,5.999,4.938000000000001,19.939,15.758,0.323,0.107,10.353,8.016,16.130000000000003,11.318,1.214,0.189,7.619999999999999,5.191999999999999,0.9403999999999998,24.721,22.815,18.253,18.8,1.963,1.465
"2021-11-07 - NSH 1, CHI 2",CHI,1.0,46.361,35.848,33.919,25.779000000000003,3.139,1.161,6.814,6.137,1.709,0.867,6.534000000000001,4.324,20.188,15.738,0.323,0.107,10.542,7.846999999999999,16.057,11.321000000000002,1.1190000000000002,0.189,7.462999999999999,5.473000000000001,0.9401,25.519,22.865,17.568,18.409,1.977,1.385
"2021-11-09 - PIT 2, CHI 3",CHI,1.0,46.691,37.476,33.974000000000004,27.536,2.849,1.155,6.840999999999999,6.872,1.6170000000000002,0.859,6.332,4.7010000000000005,20.216,16.397,0.323,0.107,10.319,8.325,16.512,11.486999999999998,0.921,0.189,7.865,5.771,0.9469,25.296,23.391,18.445,19.556,1.996,1.5059999999999998
"2021-11-12 - ARI 1, CHI 2",CHI,2.0,49.002,35.575,35.861000000000004,26.5,2.6260000000000003,1.256,8.075,6.564,1.716,0.8620000000000001,7.340000000000001,4.666,20.923,14.727,0.211,0.107,10.666,7.499,16.847,11.502,0.72,0.283,7.82,5.9030000000000005,0.9644,26.837,24.99,18.122,18.926,2.172,1.454
"2021-11-17 - CHI 4, SEA 2",CHI,4.0,48.793,35.160999999999994,35.683,26.117,2.415,1.256,8.89,5.988,1.61,0.8620000000000001,7.834,4.447,20.384,14.995,0.211,0.107,10.598,7.441,16.448,11.524,0.615,0.283,7.705000000000001,5.926,0.9776,27.032,25.41,17.532999999999998,18.675,2.216,1.435
"2021-11-20 - CHI 2, EDM 5",CHI,2.0,48.477,35.535000000000004,34.739999999999995,26.607,1.886,1.39,8.681000000000001,5.97,1.182,0.893,7.564,4.493,21.048,14.466,0.211,0.107,10.448,7.514999999999999,15.275,12.572,0.51,0.38,6.9430000000000005,6.603,0.9952,25.864,24.069,18.533,19.388,2.1,1.463
"2021-11-21 - CHI 1, VAN 0",CHI,0.0,47.736,37.027,34.832,27.222,1.877,1.492,9.071000000000002,6.363,1.374,0.995,7.873,4.679,20.504,15.782999999999998,0.211,0.107,10.288999999999998,7.923,14.94,12.260000000000002,0.302,0.386,6.878,6.678,0.9982,25.9,24.059,18.655,20.063,2.117,1.498
"2021-11-23 - CHI 2, CGY 5",CHI,1.0,48.056,37.914,34.916999999999994,27.257,1.399,1.492,8.762,6.492,1.089,0.995,7.56,4.693,20.911,16.192,0.105,0.107,10.392,8.024,15.041,12.446000000000002,0.206,0.386,7.244,6.507,1.0168,25.852,23.861,18.954,20.31,2.104,1.518
"2021-11-26 - STL 2, CHI 3",CHI,2.0,48.595,37.359,35.337,26.418,1.682,1.6939999999999995,8.681000000000001,6.167,1.089,0.995,7.478,4.792,21.522,16.387999999999998,0.294,0.107,11.225,7.922999999999999,14.86,11.716,0.301,0.5980000000000001,7.052,6.401999999999999,1.0185,26.388,23.597,17.895000000000003,20.292,2.075,1.426
"2021-11-28 - SJ 2, CHI 0",CHI,1.0,48.85699999999999,36.894,35.721000000000004,26.339,1.688,1.589,8.609,5.924,1.089,0.8960000000000001,7.516,4.662000000000001,22.565,16.977,0.294,0.0,11.936,8.129999999999999,14.465,11.247,0.306,0.694,6.631,6.441,1.0146,26.645,23.046,17.225,20.187,2.0450000000000004,1.443
"2021-12-02 - CHI 4, WSH 3",CHI,3.0,48.537,39.309,35.669,27.156,1.385,1.3010000000000002,8.325999999999999,6.37,0.99,0.7030000000000001,7.130999999999999,4.744999999999999,23.655,18.519,0.189,0.0,11.688,8.175,14.538,12.305,0.2,0.599,7.156999999999999,6.616,1.0144,26.542,22.827,18.748,20.581,1.99,1.507
"2021-12-04 - CHI 2, NYR 3",CHI,1.0,48.097,41.067,35.262,28.672000000000004,1.272,1.508,8.016,7.33,0.882,0.8089999999999999,6.534000000000001,5.069999999999999,23.229000000000003,18.8,0.189,0.0,11.466,8.284,14.743,12.525,0.2,0.705,7.211,7.053,1.0238,25.645,22.742,19.885,21.531,1.967,1.671
"2021-12-05 - CHI 3, NYI 2",CHI,0.0,47.065,40.789,34.547000000000004,28.079999999999995,1.364,1.52,7.576,7.248,0.875,0.8210000000000001,6.316,5.037999999999999,22.639000000000003,18.629,0.189,0.0,11.436,8.165000000000001,14.49,12.468,0.294,0.705,7.275,6.973000000000001,1.02,25.581,22.008000000000003,19.745,21.391,1.923,1.654
"2021-12-07 - NYR 6, CHI 2",CHI,1.0,43.171,42.047,31.712000000000007,28.660000000000004,1.161,1.433,6.674000000000001,7.209,0.6699999999999999,0.7270000000000001,5.458,4.872,20.292,19.405,0.189,0.105,9.991,8.172,14.083000000000002,13.126,0.294,0.611,7.141999999999999,6.722,1.0221,22.919,20.705,20.362,20.986,1.782,1.703
"2021-12-09 - CHI 2, MTL 0",CHI,1.0,43.452,43.208000000000006,32.315000000000005,29.765,1.483,1.62,6.289,7.122000000000002,0.779,0.7270000000000001,5.292,4.683,20.848,20.034,0.294,0.194,10.322,8.118,14.652,13.953,0.398,0.7060000000000001,7.663999999999999,7.391,1.0184,23.614,20.89,21.099,21.418,1.82,1.763
"2021-12-11 - CHI 4, TOR 5",CHI,1.0,42.762,43.876,32.24300000000001,30.386000000000003,1.483,1.41,5.591,7.43,0.779,0.6210000000000001,4.765000000000001,4.872,21.104000000000003,20.593,0.294,0.194,10.523,8.51,14.544999999999998,13.891,0.398,0.609,7.502999999999998,7.159000000000001,1.007,23.29,20.06,21.356,21.652,1.733,1.8880000000000003
"2021-12-15 - WSH 4, CHI 5",CHI,3.0,41.911,42.641,31.056,30.365,1.576,1.618,5.386,7.469000000000001,0.6809999999999999,0.6250000000000001,4.651,5.103,19.948,19.878,0.294,0.382,9.746,8.806999999999999,14.954000000000002,13.695,0.5900000000000001,0.611,7.858,6.866,1.0082,22.782,20.266,21.205,21.797,1.656,1.871
"2021-12-17 - NSH 3, CHI 2",CHI,1.0,43.271,42.175,32.142,30.504999999999995,1.779,1.611,6.558,7.411999999999999,0.782,0.6180000000000001,5.499,5.066,19.922000000000004,19.862,0.294,0.382,9.688,8.777000000000001,15.614,13.793,0.692,0.611,8.001,7.133,1.0021,23.691,22.108,21.247,21.682,1.817,1.846
"2021-12-18 - CHI 3, DAL 4",CHI,0.0,41.862,41.604,30.305,29.875,1.496,1.594,6.255,7.242,0.782,0.6180000000000001,5.061,4.83,20.483,19.51,0.105,0.471,9.368,8.677000000000001,14.185999999999998,13.719,0.597,0.495,7.431,6.991,1.0124,22.379,20.398,20.987,21.109,1.7399999999999998,1.859
"2022-01-01 - CHI 1, NSH 6",CHI,13.0,41.384,40.828,30.003,29.513,1.489,1.61,6.518000000000001,7.576,0.881,0.6260000000000001,5.0280000000000005,5.047,19.84,18.784,0.105,0.471,9.222,8.440999999999999,13.949000000000002,13.419999999999998,0.492,0.501,7.370999999999999,6.647,1.0145,22.342,20.417,21.017000000000003,20.865,1.714,1.853
"2022-01-02 - CGY 5, CHI 1",CHI,0.0,40.558,39.268,29.699,29.630000000000003,1.677,1.7100000000000002,6.813,7.252000000000001,0.971,0.6260000000000001,5.236,4.974,18.108,17.348,0.105,0.471,8.88,8.42,13.445,12.762,0.587,0.601,7.061999999999999,6.549,1.0069,22.009,20.191,20.056,20.792,1.729,1.812
"2022-01-04 - COL 4, CHI 3",CHI,1.0,41.133,39.154,29.918,29.324,1.607,1.597,6.790000000000001,6.567,0.693,0.6140000000000001,5.267999999999999,4.929,18.553,18.412,0.105,0.471,8.927,8.972999999999999,13.802,12.447,0.7969999999999999,0.4949999999999999,7.321000000000001,6.195,1.0055,22.215,20.542,19.053,20.87,1.7299999999999998,1.732
"2022-01-06 - CHI 4, ARI 6",CHI,1.0,43.693,38.989,31.277,29.451000000000004,1.7280000000000002,1.586,6.94,6.674,0.7070000000000001,0.601,5.413,5.172,20.885,18.228,0.304,0.471,9.835,9.052,13.994,12.256,0.703,0.4949999999999999,6.961,6.166,1.0024000000000002,22.896,20.909,18.984,21.163,1.795,1.7310000000000003
"2022-01-08 - CHI 2, VGK 1",CHI,1.0,44.375,39.176,31.813,29.672999999999995,2.02,1.783,7.087999999999999,7.024000000000001,0.806,0.8059999999999998,5.55,5.526999999999999,21.644,18.905,0.505,0.4599999999999999,10.222,9.65,13.643,11.363,0.703,0.4949999999999999,6.892,5.93,0.9938,23.445,20.674,18.468,21.807,1.805,1.7419999999999998
"2022-01-11 - CHI 4, CBJ 2",CHI,2.0,46.315000000000005,40.07899999999999,32.402,30.161,1.7920000000000005,1.803,7.159999999999999,7.081,0.697,0.8059999999999998,5.459999999999999,5.452,22.722,20.359,0.495,0.476,10.608,10.354,14.023,10.689,0.599,0.506,6.945,5.492,1.0036,23.799,21.117,17.861,21.98,1.817,1.72
"2022-01-13 - MTL 2, CHI 3",CHI,1.0,46.526,38.427,31.832000000000004,28.815999999999995,1.886,2.0089999999999995,7.515000000000001,6.636,0.791,0.7989999999999999,5.815,5.228,22.102,20.196,0.495,0.476,10.324000000000002,10.086,14.597,9.745,0.599,0.7150000000000001,7.141,5.396,1.0134,23.887,22.041,16.467000000000002,21.382,1.848,1.5770000000000002
"2022-01-15 - ANA 0, CHI 3",CHI,1.0,46.781,38.639,32.169,28.231,1.7,1.6940000000000002,7.941,6.404000000000001,0.6970000000000001,0.787,6.0200000000000005,4.912,22.72,20.513,0.495,0.288,10.877,10.024,13.773,9.813,0.5130000000000001,0.613,6.556,5.305999999999999,1.0115,24.039,21.678,16.273000000000003,20.891,1.905,1.551
"2022-01-17 - CHI 2, SEA 3",CHI,1.0,46.269,39.98,32.013,28.779,1.497,1.689,7.644999999999999,7.264,0.5960000000000001,0.7819999999999999,5.511,5.79,22.214,20.072,0.495,0.288,10.559,10.259,14.045999999999998,10.174,0.4109999999999999,0.613,6.753,5.218,1.0152,23.518,21.667,17.492,22.038,1.845,1.671
"2022-01-21 - MIN 5, CHI 1",CHI,3.0,46.793,39.022000000000006,32.652,28.45800000000001,1.682,1.61,7.911999999999999,7.132000000000001,0.6880000000000001,0.8879999999999999,5.723000000000001,5.834,21.078,19.76,0.495,0.1989999999999999,9.723,10.394,14.633,9.653000000000002,0.507,0.517,7.211999999999999,4.6450000000000005,1.0044,23.55,22.529,16.846,21.646,1.895,1.6150000000000002
"2022-01-22 - CHI 3, MIN 4",CHI,0.0,48.8,39.547,33.673,29.027,2.118,1.499,8.344,6.7,0.91,0.787,6.335,5.443,22.483,20.662,0.607,0.1989999999999999,9.723,11.233,14.938999999999998,9.966,0.611,0.511,7.410000000000001,4.868,0.9843,24.265,23.263,16.735999999999997,22.237,2.043,1.589
