Game,Team,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2021-10-14 - DAL 3, NYR 2",DAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-16 - DAL 1, BOS 3",DAL,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-17 - DAL 2, OTT 3",DAL,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-19 - DAL 2, PIT 1",DAL,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-22 - LA 2, DAL 3",DAL,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-25 - DAL 1, CBJ 4",DAL,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-27 - VGK 3, DAL 2",DAL,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-29 - OTT 4, DAL 1",DAL,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-02 - DAL 3, WPG 4",DAL,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-04 - DAL 4, CGY 3",DAL,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-07 - DAL 3, VAN 6",DAL,2.0,45.028000000000006,40.41,31.860000000000003,30.919,1.467,1.118,7.437,8.234,0.979,0.8109999999999999,5.561,5.826,21.096,17.068,0.183,0.094,10.15,8.818000000000001,12.637,13.196000000000002,0.302,0.211,6.435,6.927,0.9807,23.405,20.023,21.481,22.713,1.639,1.749
"2021-11-10 - NSH 4, DAL 2",DAL,2.0,44.042,40.358,31.534,30.898,1.4780000000000002,1.113,7.561,7.858,0.986,0.7049999999999998,5.318,5.978,20.64,17.193,0.183,0.094,10.354,8.766,12.306,13.738,0.293,0.313,6.644,7.325999999999999,0.9797,23.551,19.815,21.675,23.103,1.62,1.757
"2021-11-13 - PHI 2, DAL 5",DAL,2.0,43.359,41.88,30.81,31.283000000000005,1.702,1.104,8.270999999999999,8.151,0.998,0.7959999999999999,5.58,6.186,19.411,18.26,0.183,0.094,9.26,8.97,11.924,13.639,0.4939999999999999,0.207,6.313999999999999,7.273999999999999,0.9664,22.533,20.145000000000003,21.865,23.476,1.673,1.757
"2021-11-16 - DET 2, DAL 5",DAL,2.0,43.67,41.938,31.168,31.109,1.711,1.1889999999999998,8.394,8.607,1.102,0.8789999999999999,5.596,6.475,19.728,16.695,0.094,0.094,9.927,7.497,11.659,14.597,0.4939999999999999,0.207,5.720999999999999,7.572,0.9722,22.553,20.042,23.252,22.65,1.659,1.813
"2021-11-18 - DAL 2, MIN 7",DAL,1.0,44.358,43.43,31.982,32.224000000000004,1.719,1.474,9.045,9.024,1.0100000000000002,1.077,5.814,6.531000000000001,19.393,17.053,0.094,0.094,10.286,7.853,11.958,15.005,0.594,0.294,5.821,7.544,0.9818,23.072,21.01,24.046,23.164,1.747,1.827
"2021-11-20 - STL 1, DAL 4",DAL,1.0,43.423,44.295,31.067,33.488,2.302,1.574,8.684999999999999,9.435,1.1960000000000002,1.1789999999999998,5.787999999999999,6.82,18.836,17.044999999999998,0.2,0.094,9.488,7.970000000000001,11.859,15.101,0.8869999999999999,0.294,6.228,8.044999999999998,0.9557,22.367,20.532,24.569000000000003,24.356,1.738,1.921
"2021-11-23 - EDM 1, DAL 4",DAL,2.0,42.328,43.506,30.704,32.869,2.01,1.574,8.086,9.422,1.001,1.1789999999999998,5.578,7.209,18.718,16.04,0.2,0.094,9.886,7.409999999999999,11.511,15.070999999999998,0.792,0.294,6.231999999999999,8.153,0.9721,22.648,19.599,24.486,24.383,1.66,1.908
"2021-11-26 - COL 1, DAL 3",DAL,2.0,42.353,42.279,31.198999999999995,31.484,2.009,1.582,7.577,8.782999999999998,1.001,1.184,5.274,6.652000000000001,19.341,16.818,0.106,0.094,10.345,7.827,11.25,13.481,0.892,0.294,6.6,7.185,0.9754,22.876,18.849,22.266,23.449,1.6960000000000002,1.747
