Game,Team,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2021-10-14 - TB 7, DET 6",DET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-16 - VAN 1, DET 3",DET,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-19 - CBJ 1, DET 4",DET,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-21 - CGY 3, DET 0",DET,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-23 - DET 1, MTL 6",DET,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-24 - DET 6, CHI 3",DET,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-27 - DET 3, WSH 2",DET,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-29 - FLA 3, DET 2",DET,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-30 - DET 4, TOR 5",DET,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-02 - DET 0, MTL 3",DET,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-04 - DET 1, BOS 5",DET,1.0,47.859,37.71,35.256,29.824,1.885,1.799,12.03,7.181,0.997,1.2100000000000002,8.434000000000001,5.616,20.058,17.208000000000002,0.296,0.0,10.128,10.099,12.422,11.487,0.583,0.593,5.772,6.63,1.0025,25.954,24.424,18.738,23.626,2.194,1.89
"2021-11-06 - DET 4, BUF 3",DET,1.0,49.15,37.98,36.276,30.043,1.7840000000000005,1.409,11.222,6.779000000000001,0.8950000000000001,0.923,7.834,5.214,20.533,17.03,0.296,0.0,10.498,9.902,13.54,11.786,0.583,0.499,6.2090000000000005,6.609999999999999,0.9827,26.090000000000003,24.687,18.674,23.095,2.154,1.799
"2021-11-07 - VGK 2, DET 5",DET,0.0,49.187,39.575,36.443,31.346000000000004,1.874,1.623,11.449000000000002,7.425,1.086,1.036,8.181000000000001,5.84,20.564,17.418,0.202,0.0,10.691,9.899,13.289999999999996,12.431,0.583,0.6010000000000001,6.075,7.026000000000001,0.9863,26.366,24.65,19.969,23.984,2.168,1.918
"2021-11-09 - EDM 2, DET 4",DET,1.0,50.235,38.276,36.983,29.884,2.08,1.627,11.589,7.590000000000001,1.086,1.135,7.932,5.898,20.653,15.995,0.202,0.107,10.822,8.751999999999999,13.867,12.11,0.788,0.412,6.932,6.757,0.9803999999999998,26.991,25.396,19.811,22.875,2.222,1.903
