Game,Team,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2021-10-13 - VAN 2, EDM 3",EDM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-16 - CGY 2, EDM 5",EDM,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-19 - ANA 5, EDM 6",EDM,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-21 - EDM 5, ARI 1",EDM,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-22 - EDM 5, VGK 3",EDM,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-27 - PHI 5, EDM 3",EDM,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-30 - EDM 2, VAN 1",EDM,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-01 - SEA 2, EDM 5",EDM,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-03 - NSH 2, EDM 5",EDM,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-05 - NYR 5, EDM 6",EDM,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-09 - EDM 2, DET 4",EDM,3.0,43.454,46.409000000000006,33.291,33.303,2.142,2.238,9.537,9.558,0.817,1.336,7.304,7.33,16.896,20.533,0.381,0.289,8.679,10.783,13.494,13.309,0.829,0.594,7.903999999999999,5.866,1.0184,25.372,23.130000000000003,22.828,24.647,1.943,2.038
"2021-11-11 - EDM 5, BOS 3",EDM,1.0,44.804,45.713,34.737,32.878,2.333,2.346,11.036,9.513,1.107,1.344,8.251000000000001,7.154999999999999,16.797,20.379,0.287,0.382,9.061,11.147,13.604,12.851,0.829,0.594,7.696000000000001,5.264,1.0192,26.397,24.75,22.357,24.231,2.125,2.005
"2021-11-12 - EDM 2, BUF 3",EDM,0.0,43.429,45.98,33.673,33.011,2.516,2.67,10.597,9.979,1.193,1.767,8.122,7.9,17.144,19.341,0.382,0.2759999999999999,9.04,9.909,12.888,13.566999999999998,0.829,0.594,6.986,5.574,1.0233,25.341,23.586,23.542,24.277,2.074,2.049
"2021-11-14 - EDM 5, STL 4",EDM,1.0,41.522000000000006,46.707,32.596999999999994,33.189,2.383,2.389,10.71,9.486,1.367,1.581,8.358,7.572,16.022,20.312,0.288,0.181,8.662,10.695,12.004,13.529000000000002,0.723,0.594,6.549,5.3,1.0141,24.829,22.818,23.012,24.671,2.019,1.987
"2021-11-16 - EDM 2, WPG 5",EDM,1.0,41.954,45.211,33.458,32.656,2.571,2.598,11.448,9.217,1.459,1.7899999999999998,8.736,7.645999999999999,15.937,19.153,0.288,0.181,8.792,10.374,12.213,13.936000000000002,0.8190000000000002,0.602,6.754,6.031000000000001,1.0137,25.282,23.774,23.154,25.073,2.133,1.973
"2021-11-18 - WPG 1, EDM 2",EDM,1.0,40.611,45.247,32.483,32.825,2.583,2.286,11.27,9.158,1.3690000000000002,1.5829999999999995,8.831999999999999,7.616000000000001,14.993,19.878,0.489,0.181,8.193999999999999,10.629,12.389,13.741,0.723,0.497,7.006,5.912000000000001,0.9982,24.841,23.727,22.915,25.136000000000003,2.123,1.954
"2021-11-20 - CHI 2, EDM 5",EDM,1.0,41.7,44.743,33.201,33.047,2.264,2.191,10.797,9.172999999999998,1.155,1.5829999999999995,8.363,7.433000000000002,15.548999999999998,19.609,0.489,0.093,8.463,10.327,13.303,13.678,0.618,0.497,7.717999999999999,6.203,1.007,25.368,24.189,22.86,25.016,2.0780000000000003,1.978
"2021-11-23 - EDM 1, DAL 4",EDM,2.0,42.146,44.074,33.325,32.715999999999994,2.465,2.385,10.95,8.977,1.257,1.775,8.488,7.259,16.44,19.776,0.489,0.093,8.805000000000001,10.187,12.557,13.128,0.718,0.497,7.758,5.976000000000001,1.0064,25.9,23.583,22.099,24.574,2.092,1.904
"2021-11-24 - EDM 5, ARI 3",EDM,0.0,43.519000000000005,45.349,33.774,33.461,2.459,2.094,10.453,8.07,1.349,1.481,8.215,6.338,17.924,21.202,0.489,0.093,9.663999999999998,10.995,12.209,13.412,0.616,0.502,6.981,6.442,0.9868,26.174,22.703000000000003,21.518,24.898,2.0,1.844
"2021-11-27 - EDM 3, VGK 2",EDM,2.0,41.941,46.821,32.654,35.408,2.639,2.015,9.696,8.916,1.534,1.493,7.785000000000001,6.921000000000001,18.015,22.194,0.489,0.204,10.071,11.816,11.125,13.2,0.613,0.31,6.461,6.377000000000001,0.9693,25.558,20.833,22.153,26.12,1.848,2.021
"2021-12-01 - PIT 2, EDM 5",EDM,3.0,42.835,45.401,33.477,34.368,2.401,2.056,10.086,8.286,1.521,1.4329999999999998,7.839999999999999,6.533,18.318,21.268,0.577,0.204,10.622,11.39,11.098,13.09,0.299,0.415,6.534000000000001,6.556,0.9856,26.412,21.251,21.365,25.668,1.967,1.975
"2021-12-03 - EDM 3, SEA 4",EDM,1.0,43.219,43.847,33.279999999999994,33.366,2.311,2.137,8.498999999999999,7.656999999999999,1.231,1.425,6.286,6.025,19.154000000000003,20.668,0.577,0.111,10.57,10.889,12.082,12.760000000000002,0.511,0.605,7.548,6.859,0.9962000000000002,25.818,20.662,20.374,24.857,1.802,1.891
"2021-12-05 - LA 5, EDM 1",EDM,1.0,44.322,45.037,34.035999999999994,34.069,2.41,1.823,8.736,7.113000000000001,1.137,1.012,6.424000000000001,5.485,19.056,22.311,0.7769999999999999,0.205,10.778,11.882,12.993,12.953,0.511,0.605,8.062999999999999,6.93,0.9804,26.583,21.774,20.057,25.22,1.813,1.91
"2021-12-07 - MIN 4, EDM 1",EDM,1.0,46.634,43.57,36.02,32.617999999999995,2.342,1.823,8.758000000000001,7.276000000000001,0.963,1.012,6.2,5.315,21.233,21.845,0.8880000000000001,0.205,11.866,11.299,14.314000000000002,12.385,0.511,0.605,8.747,6.619,0.9876,27.826,23.082,19.662,23.949,1.918,1.856
"2021-12-09 - BOS 3, EDM 2",EDM,1.0,46.767,44.108,35.444,32.917,2.275,1.498,8.687999999999999,7.741,1.086,0.8959999999999999,6.26,5.194,21.416,22.191,0.8000000000000002,0.205,11.948,11.595,14.092000000000002,11.678,0.415,0.395,8.266,5.8100000000000005,0.979,27.464,22.747000000000003,19.461,23.325,1.929,1.918
"2021-12-11 - CAR 3, EDM 1",EDM,1.0,46.44500000000001,44.363,35.374,33.012,2.088,1.498,8.558,7.697,0.988,0.8959999999999999,5.883,5.17,21.599,21.434,0.7040000000000001,0.205,12.461,11.355,13.453,12.527,0.415,0.395,7.761,6.1530000000000005,0.9859,27.493,21.996,20.276000000000003,23.538,1.907,1.941
"2021-12-14 - TOR 5, EDM 1",EDM,2.0,46.371,42.681,35.399,31.335,2.197,1.501,8.828,7.583000000000001,1.096,0.8039999999999999,5.931,5.247,21.106,20.191000000000003,0.599,0.205,12.232,10.526,13.786,12.029,0.519,0.498,7.478,5.8420000000000005,0.9843,27.028,22.563,19.701,22.482,1.951,1.888
"2021-12-16 - CBJ 2, EDM 5",EDM,1.0,45.672,42.14399999999999,35.213,30.819,2.422,1.399,9.293,7.856,1.102,0.7030000000000001,6.025,5.426,19.929,19.721,0.7110000000000001,0.205,11.803,10.634,13.776,11.548,0.62,0.498,7.151000000000001,5.492,0.9666,26.369,22.983,19.535000000000004,22.46,2.0,1.914
"2021-12-18 - EDM 5, SEA 3",EDM,1.0,45.219,43.022,35.407,32.778,2.426,1.497,9.169,8.372,1.113,0.897,6.091,6.053,20.061,19.829,0.7110000000000001,0.205,12.046,11.663,13.799,12.078,0.62,0.398,7.427,5.674,0.9669,26.601,22.925,20.501,24.36,2.098,2.068
"2021-12-29 - EDM 2, STL 4",EDM,10.0,44.891,43.68599999999999,35.204,32.565000000000005,2.431,1.597,9.387,8.021,1.027,1.003,6.4,5.712999999999999,19.943,20.436,0.806,0.187,11.39,12.005,13.513000000000002,12.084,0.613,0.398,7.142,5.531,0.9649,26.086,22.862,20.184,24.227,2.138,1.994
"2021-12-31 - EDM 5, NJ 6",EDM,1.0,44.086,43.085,34.943,32.804,2.532,1.4819999999999998,9.205,8.147,1.221,0.889,6.484,5.837999999999999,19.604000000000003,20.71,0.7180000000000001,0.187,11.047,12.263,13.413,11.561,0.613,0.3949999999999999,7.013000000000001,5.297,0.9547,25.441,22.534,19.8,24.176,2.0380000000000003,2.025
