Game,Team,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2021-10-14 - PIT 4, FLA 5",FLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-16 - NYI 1, FLA 5",FLA,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-19 - FLA 4, TB 1",FLA,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-21 - COL 1, FLA 4",FLA,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-23 - FLA 4, PHI 2",FLA,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-25 - ARI 3, FLA 5",FLA,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-27 - BOS 1, FLA 4",FLA,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-29 - FLA 3, DET 2",FLA,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-30 - FLA 2, BOS 3",FLA,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-04 - WSH 4, FLA 5",FLA,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-06 - CAR 2, FLA 5",FLA,1.0,38.328,50.488,29.376,36.754000000000005,1.505,2.463,7.888,8.091,0.8210000000000001,1.766,6.517,6.424,17.612000000000002,25.088,0.294,0.106,8.589,12.397,11.668,15.01,0.4009999999999999,0.589,6.085,8.309999999999999,1.0208,22.622,19.684,22.981,27.967,1.835,1.912
"2021-11-08 - FLA 3, NYR 4",FLA,1.0,38.334,50.295,29.052000000000003,36.637,1.392,2.181,7.904999999999999,8.162,0.709,1.481,6.639,6.589,17.081,25.009,0.294,0.106,7.976999999999999,12.172,11.991,14.517,0.4009999999999999,0.584,6.348000000000001,7.646000000000001,1.0157,22.279,20.063,22.559,27.473000000000003,1.843,1.925
"2021-11-09 - FLA 3, NJ 7",FLA,0.0,37.143,50.385000000000005,28.077,37.662,1.392,1.892,8.193999999999999,9.221,0.709,1.298,6.744,7.331,16.098000000000003,23.825,0.294,0.106,7.651000000000001,11.91,11.42,15.113,0.4009999999999999,0.486,5.476999999999999,7.504,1.0048,21.109,19.735,24.297,27.866,1.81,2.069
"2021-11-11 - FLA 2, PIT 3",FLA,1.0,38.334,52.017,28.897,39.012,1.6800000000000002,1.991,8.247,9.825,0.8949999999999999,1.505,6.679,7.828,15.44,23.657,0.4009999999999999,0.106,7.792,11.889,11.782,15.516,0.4,0.382,5.505000000000001,7.479000000000001,0.9939,21.410000000000004,20.138,25.324,28.533,1.8200000000000005,2.216
"2021-11-13 - FLA 2, TB 3",FLA,1.0,37.572,51.892,28.273999999999997,39.607000000000006,1.768,2.0,7.982000000000001,9.796,0.8880000000000001,1.411,6.448,7.673999999999999,15.183000000000002,22.922,0.4009999999999999,0.106,7.521000000000001,11.836,11.756,16.532999999999998,0.495,0.5,4.8870000000000005,8.096,0.9869,20.319,19.83,26.336,28.815,1.7759999999999998,2.237
"2021-11-16 - NYI 1, FLA 6",FLA,2.0,37.589,52.209,28.294,39.403000000000006,1.867,2.102,8.203,9.555,0.8880000000000001,1.411,6.386,7.551,16.114,23.33,0.507,0.106,7.565,11.55,12.089,17.587,0.495,0.602,5.188,8.693000000000001,0.9857,20.315,20.375,27.181,28.975,1.765,2.199
"2021-11-18 - NJ 1, FLA 4",FLA,1.0,38.713,51.425,29.084000000000003,39.574,1.659,2.5,9.097,9.58,0.782,1.51,6.968000000000001,7.374,16.432,21.99,0.507,0.318,7.728,11.193,11.748,17.854999999999997,0.3929999999999999,0.702,5.465999999999999,9.018,1.0154999999999998,21.333,20.913,27.457,28.987,1.853,2.233
"2021-11-20 - MIN 4, FLA 5",FLA,1.0,39.824,53.284000000000006,30.246,40.932,1.659,2.598,9.714,10.72,0.8880000000000001,1.508,7.677,8.435,17.000999999999998,22.853,0.4019999999999999,0.318,8.581999999999999,11.621,11.811,17.848000000000003,0.3929999999999999,0.796,5.851999999999999,9.153,1.0158,23.094,21.59,28.596000000000004,30.538,1.961,2.388
"2021-11-24 - PHI 1, FLA 2",FLA,3.0,40.433,53.249,30.458,41.614,1.573,2.776,10.338,10.65,0.9,1.685,8.07,8.745000000000001,16.922,22.603,0.4019999999999999,0.318,8.575,11.657,11.734,17.857,0.2899999999999999,0.796,5.991999999999999,9.22,1.0245000000000002,23.654000000000003,22.112,28.534,31.184999999999995,1.938,2.369
"2021-11-26 - FLA 3, WSH 4",FLA,1.0,39.797,54.355,30.551,41.873,1.5850000000000002,2.675,10.675999999999998,11.544,1.006,1.584,8.474,9.512,16.227,21.504,0.307,0.318,7.951,10.456,11.05,18.852,0.2899999999999999,0.796,6.033,9.153,1.0213,23.794,21.76,30.453000000000003,30.871,1.9,2.498
"2021-11-27 - SEA 4, FLA 1",FLA,0.0,39.351,53.889,29.692,41.839,1.379,2.692,9.760000000000002,11.669,0.797,1.596,7.483000000000001,9.327,16.427,20.62,0.413,0.212,7.962999999999999,9.924,11.687,19.109,0.19,0.907,6.322,9.055,1.0307,22.715,21.449,30.869,30.062,1.827,2.513
"2021-11-30 - WSH 4, FLA 5",FLA,2.0,38.908,54.983,29.842,42.091,1.492,2.685,9.789,11.532,0.909,1.688,7.603999999999999,9.297,16.131999999999998,21.906,0.413,0.212,8.558,10.688,11.343,19.42,0.19,0.8089999999999999,5.984,9.006,1.0263,23.215,21.072,31.091,30.516,1.7900000000000005,2.476
"2021-12-02 - BUF 4, FLA 7",FLA,1.0,40.75,53.297,31.440999999999995,41.324,1.918,2.6710000000000003,9.634,10.904,1.125,1.668,7.634,8.623999999999999,16.58,21.645,0.413,0.212,8.662,11.155,12.928,18.438,0.392,0.8089999999999999,7.603999999999999,9.535,1.0085000000000002,24.991,22.492,29.461,30.798,1.895,2.484
"2021-12-04 - STL 3, FLA 4",FLA,1.0,40.394,52.52,30.767999999999997,40.628,1.961,2.732,9.516,10.909,1.154,1.6330000000000002,7.703,8.578999999999999,16.628,21.333,0.3059999999999999,0.212,8.462,11.171,12.779,17.610999999999997,0.499,0.905,7.641999999999999,9.503,1.008,24.887,22.216,28.646000000000004,30.687,1.91,2.419
"2021-12-07 - FLA 3, STL 4",FLA,2.0,39.616,54.208000000000006,30.329,42.007000000000005,1.983,2.715,9.300999999999998,11.434,1.166,1.725,7.461,8.669,15.786,22.057,0.3059999999999999,0.212,8.288,11.875,12.579,17.911,0.5090000000000001,0.7889999999999999,7.776000000000001,9.522,1.0051,24.904000000000003,21.797,29.468,31.504,1.946,2.596
"2021-12-10 - FLA 3, ARI 1",FLA,2.0,39.381,54.45100000000001,30.275,42.447,2.071,2.824,8.892999999999999,12.073,1.26,1.831,7.340000000000001,9.295,14.765,21.074,0.2,0.212,8.352,11.808,12.499,17.626,0.605,0.7919999999999999,7.564999999999999,9.666,1.002,24.908,21.319,29.778,32.314,1.901,2.6990000000000003
"2021-12-12 - FLA 2, COL 3",FLA,1.0,37.647,52.629000000000005,29.018999999999995,40.668,1.971,2.446,8.324,11.631,1.26,1.541,6.730999999999999,8.703,14.121,21.108,0.106,0.105,8.014,12.034,12.315,16.692,0.6050000000000001,0.796,7.091999999999999,8.76,0.9996,23.399,20.563,28.424,30.906999999999996,1.8010000000000002,2.563
"2021-12-14 - OTT 8, FLA 2",FLA,1.0,36.578,50.045,28.025,38.77,2.0580000000000003,2.163,8.055,10.712,1.253,1.35,6.484999999999999,7.853999999999999,13.296,20.396,0.2009999999999999,0.105,7.162000000000001,11.6,12.236,15.533999999999995,0.6050000000000001,0.712,6.586,8.051,0.9889,21.924,20.192,26.361,29.022,1.711,2.395
"2021-12-16 - LA 4, FLA 1",FLA,1.0,37.019,48.799,28.47,37.128,2.489,1.957,8.004999999999999,10.066,1.362,1.143,6.728,7.203,14.19,20.288,0.312,0.105,7.464999999999999,11.006,11.987,15.257,0.8140000000000001,0.712,6.448,8.172,0.9732,22.393,19.865,25.49,27.688,1.7920000000000005,2.3150000000000004
"2021-12-29 - NYR 3, FLA 4",FLA,12.0,38.325,47.510000000000005,29.143,36.487,2.8020000000000005,2.051,7.58,9.34,1.47,1.237,6.1850000000000005,6.656000000000001,16.080000000000002,20.931,0.312,0.105,7.448,11.138000000000002,12.326,14.45,1.017,0.712,7.090999999999999,8.623000000000001,0.9654,22.501,19.786,23.932,27.424,1.773,2.24
