Game,Team,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2021-10-14 - VGK 2, LA 6",LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-16 - MIN 3, LA 2",LA,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-19 - LA 1, NSH 2",LA,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-22 - LA 2, DAL 3",LA,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-23 - LA 3, STL 7",LA,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-25 - LA 0, STL 3",LA,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-28 - WPG 3, LA 2",LA,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-30 - MTL 2, LA 5",LA,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-31 - BUF 2, LA 3",LA,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-03 - STL 2, LA 3",LA,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-05 - NJ 2, LA 3",LA,1.0,41.486,46.328,31.292,35.977,1.529,1.7560000000000002,8.656,9.567,0.908,1.174,6.819,7.531999999999999,18.009999999999998,22.843,0.0,0.193,8.837,12.136,14.584,13.46,0.614,0.3849999999999999,7.025,6.016,1.0021,23.668,23.232,23.037,26.581,1.909,2.049
"2021-11-08 - LA 5, TOR 1",LA,2.0,41.53,42.249,31.131,32.812,1.424,1.461,8.366,8.509,0.907,0.979,6.614,6.673,19.116,21.829,0.0,0.193,9.097,10.896,13.978,12.757,0.509,0.287,6.433,5.880000000000001,1.0012,23.138,22.312,21.28,24.147,1.897,1.828
"2021-11-09 - LA 3, MTL 2",LA,0.0,42.841,42.856,31.287,33.458,1.11,1.7920000000000005,8.838,8.610000000000001,0.6980000000000001,1.408,6.585000000000001,6.796000000000001,19.683,23.244,0.0,0.1049999999999999,8.802000000000001,10.782,15.092000000000002,12.729,0.4039999999999999,0.287,6.529999999999999,6.259,1.0239999999999998,22.811,23.946,21.34,24.507,1.943,1.877
"2021-11-11 - LA 2, OTT 0",LA,1.0,43.552,43.799,31.728,33.948,1.2029999999999998,1.893,9.591,8.824,0.6980000000000001,1.408,6.868,6.802000000000001,20.349,23.979000000000003,0.0,0.199,8.595,11.105,15.509,13.131,0.4999999999999999,0.287,6.544,6.1450000000000005,1.0239,22.837,25.116000000000003,21.963,24.713,2.057,1.966
"2021-11-13 - LA 2, WPG 3",LA,1.0,44.9,43.222,33.404,33.885,1.2029999999999998,1.895,10.318,8.51,0.6980000000000001,1.302,7.229000000000001,6.808,20.982,24.209,0.0,0.199,8.873,10.7,15.967,13.467,0.5,0.391,7.308,7.0920000000000005,1.0234,24.424,26.313,21.985,25.163,2.198,1.985
"2021-11-17 - WSH 2, LA 0",LA,3.0,44.628,44.207,33.253,33.528000000000006,1.1,1.796,10.153,7.961,0.597,1.098,6.876,6.043,22.314,25.632,0.0,0.199,8.929,10.980999999999998,15.576999999999998,13.714,0.5,0.497,7.069999999999999,6.944,1.0245,23.859,25.772,21.674,24.665,2.193,1.9000000000000004
"2021-11-20 - CAR 5, LA 4",LA,2.0,45.039,45.5,33.633,33.987,1.013,1.796,10.531,7.671000000000001,0.609,1.098,7.122999999999999,5.687,23.026,26.535,0.0,0.199,9.261,11.16,14.761,14.816,0.4059999999999999,0.497,6.822999999999999,7.411999999999999,1.0282,24.287,25.359,22.473000000000003,25.062,2.225,1.948
"2021-11-21 - ARI 2, LA 1",LA,0.0,44.112,45.961,32.997,34.637,1.33,1.886,10.007,7.51,0.8210000000000001,1.19,6.609,5.4430000000000005,22.926,27.331,0.0,0.199,9.094,11.188,14.907,14.557,0.5109999999999999,0.4979999999999999,6.936,7.677,1.01,23.618,24.977,22.072000000000003,25.284,2.168,1.938
"2021-11-24 - TOR 6, LA 2",LA,2.0,44.026,45.193,33.258,33.993,1.225,1.789,9.918,7.117999999999999,0.922,1.094,6.622,5.337000000000001,23.87,28.788,0.0,0.199,9.423,11.169,14.129,14.07,0.306,0.497,6.5280000000000005,7.574,1.0116,23.56,24.096,21.189,24.959,2.192,1.873
"2021-11-27 - OTT 2, LA 4",LA,2.0,47.021,45.588,35.114,34.373000000000005,1.6490000000000002,1.6,11.097,7.075999999999999,1.35,0.907,7.456999999999999,5.464,24.497,28.471000000000004,0.0,0.199,9.504,10.962,15.302,14.323999999999998,0.306,0.497,6.536,7.739,0.9912999999999998,24.589,26.431,21.426,25.062,2.32,1.918
"2021-11-30 - ANA 5, LA 4",LA,2.0,45.586,44.91,33.388,34.078,1.852,1.606,10.425,7.673999999999999,1.35,1.006,7.011,5.773,23.59,26.759000000000004,0.094,0.199,9.602,10.943,14.276,14.05,0.408,0.4009999999999999,6.312,7.482000000000001,0.9832999999999998,23.947,24.756000000000004,21.741,25.009,2.1420000000000003,1.937
"2021-12-02 - CGY 3, LA 2",LA,1.0,46.512,45.88,34.764,35.089,2.067,1.884,11.342,8.453,1.356,1.279,7.578999999999999,6.189,23.796,26.363,0.094,0.199,9.832,11.086,14.397,14.211000000000002,0.618,0.4009999999999999,6.62,7.665000000000001,0.9864,25.041,25.783000000000005,22.702,25.864,2.318,2.05
"2021-12-05 - LA 5, EDM 1",LA,2.0,45.884,46.937,34.692,35.970000000000006,2.175,1.6469999999999998,11.451,8.25,1.356,0.944,7.406999999999999,5.872,23.429,27.156,0.094,0.199,9.875,11.857,13.916,14.563999999999998,0.7220000000000001,0.504,6.664,7.829000000000001,0.9717,24.880000000000003,25.33,22.880000000000003,26.49,2.297,2.088
"2021-12-06 - LA 0, VAN 4",LA,0.0,43.851,47.464000000000006,32.908,36.898,1.988,1.653,11.036,8.388,1.262,1.05,7.2,5.995,22.746,27.884,0.094,0.111,10.079,12.235,12.43,14.919999999999998,0.626,0.504,5.879,8.388,0.9774999999999998,24.093,23.447,23.333,27.421,2.1710000000000003,2.122
"2021-12-09 - DAL 0, LA 4",LA,2.0,44.294,47.453,33.113,36.94500000000001,2.185,1.545,11.02,8.144,1.3610000000000002,1.05,7.330999999999999,5.752,22.482,27.324,0.094,0.111,9.824,12.478,12.511,15.013,0.724,0.4,5.829,8.038,0.9656,23.87,23.468,23.219,27.101,2.206,2.088
"2021-12-11 - MIN 1, LA 2",LA,1.0,43.969,48.119,32.961,37.922,2.091,1.531,10.775,8.152000000000001,1.267,1.137,7.153999999999999,6.014,22.573,28.127,0.094,0.111,9.882,13.082,12.091,15.048999999999998,0.724,0.294,5.664,7.909000000000001,0.968,23.59,22.805,23.235000000000003,27.840000000000003,2.172,2.111
"2021-12-14 - LA 2, TB 3",LA,2.0,42.797,49.09,32.206,38.529,1.985,1.718,10.982,8.715,1.161,1.323,7.260000000000001,6.488,21.224,28.171,0.094,0.111,9.256,12.911,12.185,14.404,0.724,0.294,5.347,7.521000000000001,0.9787,22.633000000000003,23.104000000000003,23.163,27.768,2.186,2.2
"2021-12-16 - LA 4, FLA 1",LA,1.0,42.81699999999999,47.984,32.432,37.648,1.549,1.547,10.841,8.564,0.935,1.139,7.260000000000001,6.593999999999999,20.733,26.551,0.094,0.216,9.161,12.579,12.308,14.589,0.514,0.198,5.394,7.503,0.9975,22.7,23.1,23.172000000000004,27.551,2.192,2.158
"2021-12-18 - LA 1, CAR 5",LA,1.0,43.57000000000001,48.253,32.736000000000004,38.05,1.542,1.872,10.918,8.458000000000002,0.928,1.353,7.281000000000001,6.247,20.748,25.98,0.094,0.216,9.243,12.287,12.834,14.607,0.514,0.3059999999999999,5.992999999999999,7.99,1.0102,23.316000000000003,23.709,23.085,27.742,2.164,2.131
"2021-12-19 - LA 3, WSH 2",LA,0.0,42.721,48.253,32.81,38.384,1.302,1.972,10.298,8.956,0.584,1.455,6.522,6.347,21.481,25.544,0.2009999999999999,0.216,9.718,12.367,12.208,14.316,0.514,0.306,5.976999999999999,8.113000000000001,1.0202000000000002,23.006,22.502,23.273000000000003,28.305,2.181,2.164
"2021-12-28 - VGK 6, LA 3",LA,8.0,43.187,47.668,33.315999999999995,37.958,1.292,1.885,10.252,8.339,0.7769999999999999,1.368,6.497999999999999,5.883,22.431,26.888,0.107,0.216,9.644,12.664,12.669,13.671,0.412,0.306,6.347,7.909000000000001,1.018,23.227,22.889,22.026,27.952,2.184,2.068
"2021-12-30 - VAN 1, LA 2",LA,1.0,42.214000000000006,46.122,32.362,36.589,1.408,1.7,9.958,8.017,1.105,1.094,6.549,5.42,21.58,26.571,0.107,0.216,9.003,12.421,12.894,13.379,0.202,0.4019999999999999,5.84,7.502,1.0047,22.216,22.796,21.423,26.759,2.05,1.975
"2022-01-01 - PHI 3, LA 6",LA,1.0,40.593,46.821000000000005,30.905,36.695,1.3,1.605,9.343,8.736,1.105,1.094,6.398,5.836,20.659,25.272,0.107,0.216,8.775000000000002,11.693,12.114,13.829999999999998,0.098,0.299,5.288,7.369,1.0069,21.268,21.442,22.559000000000005,26.331,1.926,2.061
"2022-01-06 - NSH 4, LA 2",LA,4.0,41.408,47.231,32.273,36.358,1.502,1.778,9.743,9.862,1.206,1.3690000000000002,6.836,6.609,20.58,24.489,0.2009999999999999,0.105,8.48,10.555,13.163,13.827000000000002,0.098,0.299,6.262,7.003,1.0075,22.341,22.902,23.7,25.654000000000003,2.077,2.175
"2022-01-08 - DET 0, LA 4",LA,1.0,40.757,47.275,31.045,36.81699999999999,1.41,1.87,9.905,10.941,1.214,1.46,7.053999999999999,7.346000000000001,20.568,25.186,0.2009999999999999,0.105,8.341000000000001,10.503,12.621,13.185,0.0,0.299,5.67,6.741,1.0127000000000002,21.679,22.534,24.133000000000003,25.95,2.047,2.271
"2022-01-10 - NYR 1, LA 3",LA,1.0,40.131,47.461,29.968,36.785,1.41,1.8700000000000003,9.792,11.657,1.214,1.3610000000000002,6.752,7.77,19.1,25.412,0.2009999999999999,0.211,7.933,10.556,13.203,13.105,0.0,0.299,5.847,6.773000000000001,1.0119,21.315,23.037,24.76,26.382,2.0330000000000004,2.386
"2022-01-13 - PIT 2, LA 6",LA,2.0,39.176,47.072,29.016,36.847,1.511,1.876,9.329,11.432,1.318,1.368,6.601999999999999,7.520999999999999,18.588,24.921,0.2009999999999999,0.211,7.883,11.166,12.645,13.204,0.0,0.299,5.739,6.889,1.0054,20.906,22.026,24.613,26.833,1.9590000000000003,2.314
"2022-01-15 - LA 3, SEA 1",LA,1.0,40.337,48.973,29.749,38.671,1.626,2.254,9.523,12.135000000000002,1.2259999999999998,1.5559999999999998,6.7620000000000005,7.961,19.978,26.459,0.2009999999999999,0.307,8.27,11.439000000000002,12.936000000000002,13.924,0.211,0.393,6.271,7.252,1.0126,21.874,22.527,26.033,27.72,2.114,2.547
"2022-01-17 - LA 2, SJ 6",LA,1.0,37.975,48.21,27.92,38.275,1.532,2.048,9.146,12.252,1.132,1.556,6.377000000000001,8.085,18.677,25.029,0.2009999999999999,0.307,8.120999999999999,11.253,12.089,14.285,0.211,0.19,5.153,7.042,1.0106,20.22,21.305,26.494,27.114,2.009,2.6
"2022-01-18 - TB 6, LA 4",LA,0.0,36.62,49.932,26.073,38.894,1.637,2.149,8.125,11.861,1.134,1.5559999999999998,5.6530000000000005,7.699,17.086,26.617,0.094,0.4009999999999999,6.964999999999999,11.811,12.644,14.845999999999998,0.4049999999999999,0.19,5.481,7.623,0.9965,18.81,20.792,26.690999999999995,27.713,1.813,2.6100000000000003
"2022-01-20 - COL 4, LA 1",LA,1.0,35.48,50.963,25.359,39.805,1.763,2.227,8.53,12.051,1.047,1.541,6.135,7.936,16.83,26.802,0.205,0.4009999999999999,6.487,11.677,11.611,15.547,0.51,0.286,5.016,7.881,0.991,18.344,20.169,27.589,28.247,1.868,2.7
"2022-01-23 - LA 3, NJ 2",LA,2.0,35.332,52.894000000000005,24.703,41.153000000000006,1.546,2.04,8.277000000000001,12.631,0.8280000000000001,1.448,5.884,8.664,17.043,27.545,0.205,0.4009999999999999,6.775,12.064000000000002,10.902,15.648,0.51,0.19,5.013,8.26,0.9921,18.617,19.22,28.289,29.728,1.842,2.782
