Game,Team,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2021-10-15 - MIN 2, ANA 1",MIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-16 - MIN 3, LA 2",MIN,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-19 - WPG 5, MIN 6",MIN,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-23 - ANA 3, MIN 4",MIN,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-24 - NSH 5, MIN 2",MIN,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-26 - MIN 3, VAN 2",MIN,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-28 - MIN 1, SEA 4",MIN,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-30 - MIN 1, COL 4",MIN,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-02 - OTT 4, MIN 5",MIN,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-06 - MIN 5, PIT 4",MIN,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-07 - NYI 2, MIN 5",MIN,0.0,39.465,46.65,28.993,34.703,2.103,1.901,6.738,8.534,1.01,1.208,5.404000000000001,6.742,17.918,20.826,0.375,0.289,8.727,11.267,12.566,14.577000000000002,0.6849999999999999,0.411,6.928,7.479000000000001,0.9745,21.766,19.264,23.19,26.862,1.561,2.069
"2021-11-10 - MIN 5, ARI 2",MIN,2.0,40.349,45.940000000000005,29.709,33.924,2.314,2.0740000000000003,7.002,8.413999999999998,1.116,1.194,5.5520000000000005,6.958,18.124,20.865,0.375,0.473,9.082,11.334,12.883,14.136,0.7899999999999999,0.411,7.272,6.929,0.9715,22.409,19.848,22.633,26.486,1.623,1.988
"2021-11-11 - MIN 2, VGK 3",MIN,0.0,39.15599999999999,47.237,28.978,34.531000000000006,2.406,2.08,6.414,8.827,1.116,1.308,5.224,7.362,18.343,22.061,0.287,0.473,9.113,11.518,11.994,14.009,0.989,0.306,7.057,6.764,0.9648,21.892000000000003,18.379,22.9,26.696000000000005,1.551,1.986
"2021-11-13 - MIN 4, SEA 2",MIN,1.0,39.916,45.571000000000005,29.85,33.315,2.379,2.097,6.875,8.317,1.215,1.124,5.814,6.734,17.812,21.365,0.182,0.473,9.054,10.802,12.165,13.324000000000002,0.972,0.508,7.128,6.4,0.9813,22.903,18.995,21.716,24.975,1.625,1.921
"2021-11-16 - SJ 4, MIN 1",MIN,2.0,39.996,45.298,30.675,33.609,2.172,2.228,7.436,8.147,1.008,1.4449999999999998,6.284000000000001,6.6370000000000005,17.838,20.854,0.182,0.378,9.133,10.692,12.198,13.687,0.972,0.412,7.157000000000001,6.582000000000001,1.0002,23.274,19.599,21.876,24.949,1.6950000000000005,1.921
"2021-11-18 - DAL 2, MIN 7",MIN,1.0,39.84,45.297,30.459,33.645,2.172,2.14,6.962999999999999,8.249,1.0059999999999998,1.354,5.921,6.747,19.109,21.173,0.182,0.29,9.45,10.683,11.267,13.713,0.972,0.515,6.699,6.682,0.9928,22.972,18.201,22.012,25.143,1.5710000000000002,1.945
"2021-11-20 - MIN 4, FLA 5",MIN,1.0,40.48,45.029,31.567,32.882,2.177,2.508,7.206,7.749,1.015,1.43,6.135,6.476000000000001,19.223,21.774,0.182,0.396,9.452000000000002,10.766,11.535,13.198,0.972,0.703,6.837999999999999,6.33,1.0177,23.603,18.702,21.004,24.306,1.644,1.841
"2021-11-21 - MIN 4, TB 5",MIN,0.0,41.81099999999999,45.833000000000006,32.4,33.444,2.381,2.503,7.614,9.039,1.312,1.534,6.353,7.358,19.588,20.761,0.0929999999999999,0.396,9.902,10.156,11.643,13.557,0.972,0.598,6.562,6.614,1.012,24.192,19.196,22.644,24.79,1.656,1.935
"2021-11-24 - MIN 3, NJ 2",MIN,2.0,41.146,44.68599999999999,32.117000000000004,33.253,2.4840000000000004,2.604,7.906000000000001,9.037,1.604,1.534,6.547,7.557,19.331,20.295,0.0929999999999999,0.396,9.682,9.901,10.847,12.967,0.7819999999999999,0.704,6.074,6.316999999999999,1.0094,23.691,18.709,22.044000000000004,24.515,1.634,1.93
