Game,Team,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2021-10-13 - MTL 1, TOR 2",MTL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-14 - MTL 1, BUF 5",MTL,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-16 - NYR 3, MTL 1",MTL,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-19 - SJ 5, MTL 0",MTL,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-21 - CAR 4, MTL 1",MTL,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-23 - DET 1, MTL 6",MTL,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-26 - MTL 1, SEA 5",MTL,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-28 - MTL 4, SJ 0",MTL,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-30 - MTL 2, LA 5",MTL,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-31 - MTL 2, ANA 4",MTL,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-02 - DET 0, MTL 3",MTL,1.0,41.693,37.144,31.067,25.896,1.701,1.309,7.936,7.008,1.101,0.604,5.442,5.332,18.634,16.529,0.223,0.218,8.815999999999999,7.718000000000001,12.669,11.344,0.38,0.497,6.251,5.843999999999999,0.9838,21.972,20.558,18.448,19.779,1.673,1.558
"2021-11-04 - NYI 6, MTL 2",MTL,1.0,39.621,39.014,29.21400000000001,27.6,1.607,1.396,7.13,8.164,1.101,0.5920000000000001,4.784000000000001,6.219,18.77,17.519,0.223,0.218,9.452,8.831,11.266000000000002,10.963,0.285,0.591,5.86,5.326,0.9883,21.593,18.368,19.212,21.359,1.5490000000000002,1.768
"2021-11-06 - VGK 5, MTL 2",MTL,1.0,39.497,41.007,29.178000000000004,28.65,1.945,1.295,7.904000000000001,8.988,1.4360000000000002,0.592,5.311,6.953999999999999,17.356,17.261,0.223,0.218,9.219,8.731,11.686,12.435,0.295,0.489,6.115,5.470000000000001,0.974,22.267,19.549,21.533,22.092,1.6439999999999997,1.868
"2021-11-09 - LA 3, MTL 2",MTL,2.0,39.247,42.041,28.649,29.606,1.94,1.302,8.243,9.021,1.431,0.599,5.644,6.884,17.330000000000002,17.657,0.223,0.218,9.493,8.684999999999999,10.939,13.035,0.295,0.489,5.39,6.058,0.9721,21.836,19.136000000000003,22.153,22.551,1.659,1.87
"2021-11-11 - CGY 2, MTL 4",MTL,1.0,40.612,43.912,29.753,30.922,1.829,1.489,8.075,9.99,1.217,0.693,5.506,7.289,18.208,18.538,0.31,0.218,10.323,8.977,11.685,13.869,0.295,0.585,5.3580000000000005,6.399,0.989,22.388,19.747,23.942,23.522,1.717,2.029
"2021-11-13 - MTL 2, DET 3",MTL,1.0,40.399,43.458,28.769,30.656,1.825,1.581,7.711,9.841,1.3210000000000002,0.7849999999999999,5.373,6.945,18.467,18.692,0.199,0.218,10.153,9.565,11.732,13.54,0.295,0.585,5.025,6.042,0.9917,21.538,19.444,23.459,23.413,1.672,2.005
