Game,Team,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2021-10-15 - CHI 3, NJ 4",NJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-19 - SEA 2, NJ 4",NJ,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-21 - WSH 4, NJ 1",NJ,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-23 - BUF 1, NJ 2",NJ,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-26 - CGY 5, NJ 3",NJ,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-30 - NJ 4, PIT 2",NJ,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-31 - CBJ 4, NJ 3",NJ,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-02 - NJ 0, ANA 4",NJ,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-05 - NJ 2, LA 3",NJ,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-06 - NJ 3, SJ 2",NJ,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-09 - FLA 3, NJ 7",NJ,2.0,43.167,44.431,30.922000000000004,33.511,1.5299999999999998,1.5559999999999998,6.723999999999999,9.369,0.908,0.964,5.258,7.282999999999999,22.116,22.231,0.105,0.277,9.28,10.681,15.212,12.957,0.517,0.305,6.422,5.548,0.9951,21.532,21.867,22.379,24.527,1.769,2.048
"2021-11-11 - NYI 0, NJ 4",NJ,1.0,45.608,44.207,32.862,33.137,1.842,1.648,7.040000000000001,8.959,1.221,0.957,5.472,6.961,22.918,22.485,0.105,0.384,9.539,10.996,16.337,12.625,0.517,0.305,7.24,5.159,0.9905,23.04,23.318,21.651000000000003,24.32,1.936,1.96
"2021-11-13 - BOS 5, NJ 2",NJ,1.0,47.606,44.407,34.171,33.12,1.7409999999999997,1.5539999999999998,7.247,8.249,1.1170000000000002,0.761,5.669,6.444,24.012,22.481,0.105,0.384,10.682,11.225,17.041999999999998,13.262,0.517,0.4049999999999999,7.339,5.566999999999999,0.9919,24.33,24.237,21.547,24.311,2.047,1.863
"2021-11-14 - NJ 3, NYR 4",NJ,0.0,47.257,45.853,34.104,33.811,1.636,1.7439999999999998,6.995,8.129999999999999,1.118,0.8540000000000001,5.751,6.294,24.151,23.702,0.105,0.384,10.830000000000002,11.45,16.515,13.494,0.413,0.508,7.103999999999999,6.048,1.0046,24.534,23.471,21.659,24.767000000000003,2.029,1.89
"2021-11-18 - NJ 1, FLA 4",NJ,3.0,48.147000000000006,45.78,34.705,33.152,1.9170000000000005,1.951,7.528999999999999,7.705,1.398,1.061,5.8500000000000005,5.909999999999999,25.776,25.453,0.105,0.384,11.447,11.283,15.724,12.8,0.413,0.508,6.428,6.194,1.0045,25.261000000000003,23.235,20.516,24.351000000000003,2.1060000000000003,1.789
"2021-11-20 - NJ 5, TB 3",NJ,1.0,48.937,47.345,35.645,34.507,1.979,1.874,8.602,8.595,1.48,1.076,6.851999999999999,6.789,25.183,25.589,0.105,0.296,11.746,11.846,15.364999999999998,12.896,0.394,0.508,6.355,6.675,1.0003,26.51,23.946,21.496,26.082,2.208,1.928
"2021-11-24 - MIN 3, NJ 2",NJ,3.0,49.468,46.111,36.511,33.834999999999994,1.985,2.0740000000000003,8.718,8.677999999999999,1.294,1.386,7.056,6.878,24.919,24.791000000000004,0.2,0.202,11.255,10.867,16.033,12.830000000000002,0.488,0.51,7.0680000000000005,6.547,1.0125,26.946,24.702,21.526000000000003,25.044,2.213,1.9040000000000004
"2021-11-26 - NJ 2, NSH 4",NJ,1.0,48.39,45.724,36.35,33.649,1.8840000000000003,1.888,8.678,8.456999999999999,1.4,1.2,7.214,6.468999999999999,25.409,25.903,0.095,0.1069999999999999,11.469,11.006,14.538,11.982,0.382,0.613,6.56,6.127,1.0127000000000002,27.124,23.144,20.497,24.434,2.136,1.89
"2021-11-28 - PHI 2, NJ 5",NJ,1.0,48.594,46.452,37.401,34.147,1.982,2.0889999999999995,9.072,8.029,1.5950000000000002,1.2,7.407000000000001,5.851999999999999,25.427,26.432,0.095,0.1069999999999999,11.712,11.154,14.405,13.094,0.284,0.813,7.260000000000001,6.708,1.0206,28.167,23.418,21.235000000000003,24.459,2.21,1.836
"2021-11-30 - SJ 5, NJ 2",NJ,1.0,49.134,48.613,37.979,35.540000000000006,1.989,2.37,9.1,9.16,1.602,1.386,7.3199999999999985,6.723000000000001,24.954,26.790000000000003,0.095,0.1069999999999999,11.751,11.29,14.823,13.172999999999998,0.284,0.908,7.083000000000001,6.693,1.0277,28.160000000000004,23.902,22.435,25.556,2.234,1.962
"2021-12-02 - NJ 2, MIN 5",NJ,1.0,50.355,48.838,38.966,36.372,2.217,2.351,10.21,9.316,1.723,1.467,7.93,6.914999999999999,24.566,26.442,0.095,0.1069999999999999,11.925,11.729,15.475,13.578,0.388,0.8019999999999999,7.362,6.848000000000001,1.0187,29.221000000000004,25.64,23.012,26.252,2.386,2.0
"2021-12-03 - NJ 4, WPG 8",NJ,0.0,51.066,48.406,39.637,35.883,2.394,2.173,10.27,9.52,1.608,1.385,7.923,7.302,24.917,26.538,0.202,0.094,12.236,11.92,15.201,13.054999999999998,0.58,0.7070000000000001,7.262,6.65,1.0054,29.42,25.355,22.702,26.454,2.369,2.043
"2021-12-06 - OTT 3, NJ 2",NJ,2.0,50.332,48.468,39.56,36.248000000000005,3.071,2.283,10.341,9.899,1.896,1.498,7.928,7.229999999999999,24.653,26.831,0.415,0.094,12.344,11.762,14.475,12.722,0.771,0.713,7.159000000000001,7.12,0.9882,29.482,24.665,22.789,26.862,2.338,2.133
"2021-12-08 - PHI 0, NJ 3",NJ,1.0,49.679,49.257,38.742,36.897,2.952,2.282,10.165,9.96,1.7759999999999998,1.499,7.759,7.461,24.17,27.048,0.415,0.094,11.959,11.296,14.543,13.515,0.771,0.705,6.823,6.87,0.9916,28.683,24.595,23.585,26.382,2.202,2.121
"2021-12-10 - NSH 3, NJ 2",NJ,1.0,47.627,48.653,37.324,36.649,2.6710000000000003,2.169,9.366,9.896,1.496,1.292,7.407000000000001,7.523000000000001,22.763,25.072000000000003,0.415,0.189,11.613,11.119,14.155,14.097,0.771,0.705,6.738,6.845999999999999,0.9958,27.431,23.415,24.077,26.246,2.022,2.107
