Game,Team,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2021-10-14 - SEA 4, NSH 3",NSH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-16 - CAR 3, NSH 2",NSH,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-19 - LA 1, NSH 2",NSH,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-21 - NYR 3, NSH 1",NSH,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-23 - NSH 4, WPG 6",NSH,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-24 - NSH 5, MIN 2",NSH,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-26 - SJ 1, NSH 3",NSH,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-30 - NYI 2, NSH 3",NSH,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-02 - NSH 3, CGY 2",NSH,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-03 - NSH 2, EDM 5",NSH,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-05 - NSH 3, VAN 2",NSH,1.0,40.501,39.27,31.901,29.735000000000003,1.686,1.588,7.221999999999999,6.358,0.885,0.999,5.912,5.074,18.085,18.084,0.193,0.093,9.813,7.679,13.36,13.443,0.603,0.489,7.182,7.3,1.0086,23.775,20.529,19.879,20.97,1.7440000000000002,1.673
"2021-11-07 - NSH 1, CHI 2",NSH,1.0,41.426,39.908,32.277,30.302,1.767,1.5,7.303,6.381,0.965,0.913,5.728,5.089,18.952,18.757,0.193,0.093,10.022,8.159,13.580000000000002,13.76,0.603,0.489,7.235000000000001,7.269000000000001,0.9996,23.741,20.847,20.202,21.243,1.7719999999999998,1.693
"2021-11-10 - NSH 4, DAL 2",NSH,2.0,41.027,40.487,31.668999999999997,30.568,1.65,1.509,7.343999999999999,6.569,1.059,0.922,5.63,5.148,18.797,18.6,0.193,0.093,9.739,7.705000000000001,13.367,14.515,0.3929999999999999,0.489,6.992,7.433999999999999,1.0038,23.137,20.69,21.147,20.927,1.759,1.703
"2021-11-11 - NSH 4, STL 3",NSH,0.0,41.152,39.447,31.258000000000003,30.295,1.636,1.733,7.525,7.026999999999999,1.15,0.934,5.837999999999999,5.339,18.918,17.858,0.088,0.093,9.336,7.57,13.133,14.019,0.3929999999999999,0.69,7.026000000000001,7.218999999999999,1.0146000000000002,22.964,20.642,21.089,20.801,1.7740000000000002,1.7420000000000002
"2021-11-13 - ARI 1, NSH 4",NSH,1.0,43.069,40.814,31.971000000000004,31.089,1.612,1.949,7.981999999999999,7.431,1.138,1.035,6.055999999999999,5.417,19.347,17.665,0.088,0.198,9.957,7.507,13.541,15.299,0.384,0.696,7.148000000000001,7.691,1.0265,24.097,21.516,22.784,21.191,1.806,1.8080000000000005
"2021-11-16 - NSH 0, TOR 3",NSH,2.0,40.684,39.753,30.449,31.135,1.2280000000000002,2.0340000000000003,6.900999999999999,7.135000000000001,0.754,0.929,5.164,5.133,18.879,17.453,0.088,0.105,9.908,7.741000000000001,12.705,14.961,0.384,0.989,7.019000000000001,8.033,1.0459,23.022,19.663,22.075,21.410000000000004,1.592,1.8010000000000002
"2021-11-20 - NSH 3, MTL 6",NSH,3.0,42.376,39.188,31.559000000000005,30.862,1.144,1.7160000000000004,7.669,6.831999999999999,0.762,0.713,5.437,4.737,18.413,17.391,0.0,0.105,9.462,7.821,14.047999999999998,14.522,0.384,0.8919999999999998,7.771000000000001,7.647999999999999,1.0357,23.552,21.724,21.373,20.899,1.811,1.736
"2021-11-22 - ANA 2, NSH 3",NSH,1.0,44.30800000000001,39.952,33.097,31.871,1.435,1.6170000000000002,7.370999999999999,7.43,0.752,0.713,4.955,5.226999999999999,19.187,17.537,0.106,0.105,10.24,8.459,14.884999999999996,13.728,0.5780000000000001,0.7979999999999999,8.193000000000001,7.033,1.0221,24.147,22.223,21.204,21.432,1.924,1.862
"2021-11-24 - VGK 5, NSH 2",NSH,1.0,44.391000000000005,40.016000000000005,33.165,31.928,1.637,1.621,7.460000000000001,7.370999999999999,0.752,0.7150000000000001,4.943,5.251,19.414,17.186,0.2,0.105,10.309,9.113,14.560999999999998,13.793,0.6839999999999999,0.7969999999999999,7.848000000000001,7.1450000000000005,1.008,23.866,22.009,21.191,22.305,1.979,1.8270000000000004
"2021-11-26 - NJ 2, NSH 4",NSH,1.0,44.213,40.541,32.476,32.134,1.863,1.5020000000000002,7.339999999999999,7.419000000000001,0.859,0.5940000000000001,4.995,5.2490000000000006,18.687,17.713,0.2,0.105,9.796,9.195,15.076999999999998,13.877,0.7969999999999999,0.7969999999999999,7.974000000000001,7.161,0.9939,23.64,22.385,21.349,22.291,1.908,1.828
"2021-11-27 - NSH 2, COL 6",NSH,0.0,44.323,40.794,32.987,32.556000000000004,1.7719999999999998,1.598,7.058,7.006,0.765,0.789,4.694000000000001,5.051,19.689,18.785,0.2,0.105,10.132,9.585,15.022,13.39,0.805,0.6910000000000001,7.932,7.172,1.0013999999999998,23.630000000000003,22.126,20.395000000000003,22.43,1.903,1.775
"2021-11-30 - CBJ 0, NSH 6",NSH,2.0,45.436,40.316,33.512,32.471,1.982,1.6989999999999998,7.0280000000000005,7.154000000000001,0.8720000000000001,0.8940000000000001,4.73,4.9,20.028,18.311,0.2,0.105,9.912,9.399,15.657999999999998,12.913,0.905,0.6910000000000001,8.085,7.122999999999999,0.9988,23.81,22.671,20.092,22.164,1.924,1.7899999999999998
"2021-12-02 - BOS 2, NSH 0",NSH,1.0,45.049,41.151,33.176,32.934999999999995,1.8880000000000003,2.089,6.398999999999999,7.748,0.7779999999999999,0.891,4.364,5.431,19.946,18.14,0.2,0.2,9.962,9.364999999999998,15.88,13.182,0.905,0.983,8.265,7.228999999999999,1.0159,23.7,22.296,20.911,22.806,1.873,1.875
"2021-12-04 - MTL 3, NSH 4",NSH,1.0,45.444,42.498000000000005,34.398,33.776,1.904,1.771,6.577000000000001,7.373,0.6869999999999999,0.7849999999999999,4.41,5.504,20.103,19.064,0.311,0.2,10.474,9.86,16.282,14.207,0.905,0.782,8.564,7.503,1.002,24.447,22.857,21.613000000000003,23.545,1.943,1.846
"2021-12-07 - NSH 5, DET 2",NSH,2.0,42.065,42.625,32.08,34.064,1.928,1.7420000000000002,5.566,7.994,0.6990000000000001,0.868,3.758000000000001,6.19,19.271,18.953,0.311,0.095,9.615,9.698,15.476,13.458000000000002,0.914,0.7750000000000001,8.104,7.049,0.984,22.19,21.056,21.473000000000003,23.931,1.817,1.954
"2021-12-09 - NSH 4, NYI 3",NSH,1.0,42.946000000000005,44.891,31.957,35.074,2.02,1.77,5.912,9.258,0.79,1.084,3.926,7.218999999999999,19.373,18.795,0.311,0.095,9.539,10.024,15.345,14.306,0.914,0.579,7.714,6.873,0.9694,21.89,21.256,23.582,25.193,1.845,2.121
"2021-12-10 - NSH 3, NJ 2",NSH,0.0,41.212,46.563,30.574,36.0,2.1100000000000003,2.184,5.565,9.59,0.8789999999999999,1.498,3.983,7.746,19.049,19.77,0.311,0.095,9.485,10.576,14.258,14.852,0.914,0.579,7.006,7.081,0.9781,21.058,19.853,24.458,26.271,1.6880000000000002,2.23
"2021-12-12 - NSH 1, NYR 0",NSH,1.0,39.196,46.29600000000001,29.374,35.434,1.812,2.393,5.879,9.047,0.8790000000000001,1.6060000000000003,4.412999999999999,7.291999999999999,17.764,18.79,0.205,0.189,8.623,9.772,13.584,16.008000000000003,0.72,0.579,6.664,7.523000000000001,0.9963999999999998,20.236,19.535,25.067,25.644,1.61,2.153
"2021-12-16 - COL 2, NSH 5",NSH,3.0,38.958,46.871,29.013,35.42100000000001,1.61,2.31,6.112,9.87,0.8790000000000001,1.512,4.569,7.762,17.213,18.796,0.111,0.189,8.349,9.517,13.388,16.087,0.614,0.589,6.438,7.455,1.0011,20.254,19.57,25.966,25.691000000000003,1.5580000000000005,2.244
"2021-12-17 - NSH 3, CHI 2",NSH,0.0,37.469,47.435,28.038,36.065000000000005,1.393,2.411,5.723999999999999,10.166999999999998,0.876,1.421,4.07,8.031,17.333999999999996,18.768,0.111,0.189,8.251000000000001,10.073,12.469,16.404,0.4049999999999999,0.7779999999999999,5.857,7.519,1.0082,19.05,18.291,26.535000000000004,26.577,1.481,2.267
