Game,Team,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2021-10-14 - NYI 3, CAR 6",NYI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-16 - NYI 1, FLA 5",NYI,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-19 - NYI 4, CHI 1",NYI,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-21 - NYI 2, CBJ 3",NYI,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-23 - NYI 3, ARI 0",NYI,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-24 - NYI 2, VGK 0",NYI,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-30 - NYI 2, NSH 3",NYI,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-04 - NYI 6, MTL 2",NYI,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-06 - NYI 2, WPG 0",NYI,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-07 - NYI 2, MIN 5",NYI,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-11 - NYI 0, NJ 4",NYI,3.0,50.787,44.672,36.195,35.148,1.52,2.324,8.419,9.029,0.947,1.486,6.720999999999999,6.598999999999999,24.649,20.518,0.184,0.328,11.755,10.905,15.383,12.628,0.384,0.516,6.108,7.356999999999999,1.0285,25.132,23.909,21.574,25.553,1.869,2.159
"2021-11-15 - NYI 1, TB 4",NYI,3.0,49.495,46.48,35.655,36.262,1.338,2.016,8.249999999999998,8.423,0.852,1.1760000000000002,6.648999999999999,6.494,24.548,22.522,0.184,0.328,11.663,11.711,14.856,13.76,0.294,0.516,5.926,7.747999999999999,1.0199,24.791,23.213,22.139,26.679,1.7919999999999998,2.154
"2021-11-16 - NYI 1, FLA 6",NYI,0.0,46.901,46.871,34.643,36.604,1.134,2.122,8.504,9.034,0.75,1.282,6.906999999999999,6.886,22.624,22.069,0.184,0.328,11.377,11.998,14.36,13.919999999999998,0.196,0.516,5.2,7.478,1.028,24.043,22.995,22.886000000000003,27.105,1.745,2.1990000000000003
"2021-11-20 - CGY 5, NYI 2",NYI,3.0,47.014,46.211,35.528000000000006,36.127,1.6329999999999998,1.796,8.616,9.913,0.949,1.176,7.19,7.452,21.771,20.921,0.396,0.31,10.928,11.119000000000002,14.781,13.413,0.296,0.315,5.569999999999999,7.499,1.0004,24.468,23.48,23.282,27.015,1.807,2.248
"2021-11-21 - TOR 3, NYI 0",NYI,0.0,46.812,44.586,35.145,34.870999999999995,1.645,1.684,8.305,9.891,0.961,1.1629999999999998,6.966000000000001,7.458,21.644,20.332,0.396,0.31,10.785,10.988,14.914,12.89,0.296,0.209,5.659000000000001,7.243,0.9965,24.304,23.279000000000003,22.766,26.465,1.798,2.186
"2021-11-24 - NYR 4, NYI 1",NYI,2.0,47.757,43.304,36.342,34.108999999999995,1.858,1.473,9.49,10.874,1.176,1.0559999999999998,8.004999999999999,7.553999999999999,20.751,18.563,0.396,0.205,10.351,9.96,15.847,12.722,0.296,0.209,6.712000000000001,7.141,0.9822,25.857,25.332,23.628,25.536,1.987,2.24
"2021-11-26 - PIT 1, NYI 0",NYI,1.0,45.14,41.19799999999999,34.597,31.76,2.178,1.355,9.313,9.877,1.499,1.043,8.068999999999999,7.122,18.551,17.171,0.396,0.094,9.154,9.538,15.556,13.118,0.296,0.209,6.563000000000001,6.784000000000001,0.9594,24.47,24.825,23.058,24.24,1.915,1.997
"2021-12-02 - SJ 2, NYI 1",NYI,5.0,48.021,40.689,36.402,30.806,2.099,1.355,10.380999999999998,10.386,1.513,1.043,8.774000000000001,7.638,19.017,16.337,0.396,0.094,9.849,8.739,16.734,12.736,0.2,0.209,6.813,6.221,0.97,26.104000000000003,27.057,23.193,23.491,2.0420000000000003,2.068
"2021-12-04 - NYI 3, DET 4",NYI,1.0,48.362,41.419,37.123,30.380000000000003,2.2,0.914,10.726,9.569,1.614,0.612,8.88,6.88,18.786,17.21,0.396,0.189,9.16,8.776,16.57,12.821000000000002,0.2,0.105,7.091000000000001,5.94,0.9527,26.160000000000004,27.203000000000003,22.477,22.762,2.17,1.968
"2021-12-05 - CHI 3, NYI 2",NYI,0.0,47.448,40.192,36.134,28.355,2.481,0.701,10.779,8.398,1.7080000000000002,0.398,9.1,6.279999999999999,18.789,17.678,0.491,0.189,9.036,8.892,15.451999999999998,12.547,0.296,0.105,7.028999999999999,5.064,0.9321,26.088,26.094,21.078,21.222,2.15,1.723
"2021-12-07 - NYI 5, OTT 3",NYI,1.0,46.411,38.783,35.27,27.491,2.308,0.49,10.407,8.297999999999998,1.616,0.292,8.505,6.1080000000000005,17.566,16.685,0.412,0.189,8.22,8.484,16.106,12.427,0.296,0.0,7.292,4.799,0.9266,25.056,26.348000000000003,20.885,20.385,2.129,1.7240000000000002
