Game,Team,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2021-10-13 - NYR 1, WSH 5",NYR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-14 - DAL 3, NYR 2",NYR,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-16 - NYR 3, MTL 1",NYR,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-18 - NYR 2, TOR 1",NYR,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-21 - NYR 3, NSH 1",NYR,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-23 - NYR 3, OTT 2",NYR,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-25 - CGY 5, NYR 1",NYR,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-29 - CBJ 0, NYR 4",NYR,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-31 - NYR 3, SEA 1",NYR,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-02 - NYR 2, VAN 3",NYR,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-05 - NYR 5, EDM 6",NYR,2.0,42.80499999999999,38.586,32.101,28.125,1.174,1.215,7.109,6.117,0.491,0.503,4.954,4.482,16.886,16.68,0.0,0.0,8.311,7.011,15.775,12.588,0.6819999999999999,0.712,7.715999999999999,6.156000000000001,1.0084,22.57,22.868,18.744,18.65,1.757,1.584
"2021-11-06 - NYR 0, CGY 6",NYR,0.0,45.207,39.967,33.349000000000004,29.143,1.352,1.64,8.32,6.881,0.766,0.609,5.906999999999999,5.127,18.741,16.828,0.0,0.0,9.058,7.023000000000001,15.302,13.002,0.584,1.026,7.462000000000001,6.525,1.0233,23.704,23.686,19.866000000000003,19.765,1.866,1.637
