Game,Team,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2021-10-14 - TOR 2, OTT 3",OTT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-16 - OTT 1, TOR 3",OTT,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-17 - DAL 2, OTT 3",OTT,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-21 - SJ 2, OTT 1",OTT,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-23 - NYR 3, OTT 2",OTT,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-25 - WSH 7, OTT 5",OTT,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-29 - OTT 4, DAL 1",OTT,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-01 - OTT 1, CHI 5",OTT,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-02 - OTT 4, MIN 5",OTT,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-04 - VGK 5, OTT 1",OTT,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-06 - TB 5, OTT 3",OTT,1.0,51.559000000000005,43.134,37.202,32.69,2.4530000000000003,1.6649999999999998,9.573,8.366,1.425,0.7,6.944,5.805,24.205,18.649,0.541,0.453,12.097,8.145999999999999,15.505,14.151,0.4939999999999999,0.492,7.13,8.327,0.9808,27.265,25.03,22.541,23.516,2.112,1.87
"2021-11-09 - OTT 2, BOS 3",OTT,2.0,52.388,40.619,37.798,30.837,2.772,1.748,8.628,7.741,1.639,0.789,6.003,5.395999999999999,26.18,18.984,0.541,0.453,12.23,7.9449999999999985,16.729,12.715,0.599,0.49,7.798,7.952,0.9766,27.09,25.292,20.538,22.495,2.14,1.7439999999999998
"2021-11-11 - LA 2, OTT 0",OTT,1.0,51.899,39.735,37.760000000000005,30.343,2.574,1.955,8.189,7.586,1.5450000000000002,0.8950000000000001,5.888,5.336,25.99,18.898000000000003,0.636,0.5469999999999999,12.989,8.256,16.645000000000003,12.377,0.4109999999999999,0.49,7.874,7.673,1.0002,27.907,24.807,20.031,22.423,2.105,1.748
"2021-11-13 - PIT 3, OTT 6",OTT,1.0,50.92700000000001,39.632,37.219,30.635,2.475,1.863,8.016,8.102,1.336,0.8950000000000001,6.021,5.501,24.919000000000004,18.795,0.636,0.458,11.991,8.525,17.325,12.564,0.515,0.49,8.621,7.544000000000001,0.9994,27.933,25.312,20.764000000000003,22.689,2.11,1.789
"2021-11-14 - CGY 4, OTT 0",OTT,0.0,51.293000000000006,38.879000000000005,38.141000000000005,29.929,2.575,2.061,7.891,8.385,1.235,1.183,5.6850000000000005,6.015,24.707,17.451,0.636,0.458,12.418,8.818999999999999,17.214,11.861,0.7150000000000001,0.3949999999999999,8.675,7.069,1.0055,28.212,25.1,20.347,22.831,2.148,1.821
"2021-11-22 - OTT 5, COL 7",OTT,7.0,52.689,37.32899999999999,39.61,29.149,2.791,1.967,7.859,8.531,1.235,1.183,5.856,6.076,25.418,17.247999999999998,0.636,0.458,13.145,9.022,17.841,10.516,0.923,0.3,9.251,6.047000000000001,0.9976,29.674,25.659,19.197,22.154000000000003,2.204,1.7450000000000003
"2021-11-24 - OTT 3, SJ 6",OTT,1.0,51.207,35.67100000000001,38.966,27.281,2.521,1.901,7.81,7.404000000000001,1.202,1.091,5.96,5.218999999999999,25.283,16.644,0.42,0.292,13.108,8.649,16.720999999999997,10.406,0.913,0.512,8.783999999999999,5.881,1.0154,29.259000000000004,24.512,17.955,20.72,2.227,1.605
"2021-11-26 - OTT 0, ANA 4",OTT,1.0,50.35,36.671,38.161,27.419,2.804,1.791,7.26,6.9030000000000005,1.202,0.978,5.2940000000000005,4.718999999999999,26.048,18.198,0.42,0.292,13.034,8.972,16.425,11.005,1.1969999999999998,0.513,8.668,5.732,0.9986,28.373,23.605,18.097,20.401,2.164,1.5989999999999998
"2021-11-27 - OTT 2, LA 4",OTT,0.0,51.341,35.638,38.757,27.617,2.805,1.691,8.120000000000001,7.188,1.301,0.978,6.065,4.912000000000001,26.909,18.365,0.313,0.292,13.12,9.241,15.97,9.903,1.1969999999999998,0.413,8.279,5.045,0.9953,28.656,24.024,17.229,20.188,2.256,1.592
"2021-12-01 - VAN 6, OTT 2",OTT,3.0,48.814,36.878,36.971,27.798,2.706,1.5849999999999995,7.844000000000001,7.078,1.301,0.769,5.589,4.907,24.894,19.107,0.207,0.293,12.387,9.701,15.709,10.201,1.1969999999999998,0.515,8.093,5.045,0.9863,27.149,23.482,17.427,20.665,2.119,1.568
"2021-12-02 - OTT 3, CAR 2",OTT,0.0,47.785,34.126,35.778,25.662,2.494,1.585,8.18,6.776999999999999,1.298,0.769,5.798,4.7,23.649,17.854999999999997,0.095,0.293,11.176,8.712,15.595,9.675999999999998,1.092,0.515,7.772,4.677999999999999,0.9939,26.160000000000004,23.705,16.587,18.81,2.092,1.4860000000000002
"2021-12-04 - COL 5, OTT 6",OTT,1.0,47.581,34.878,35.47,26.383,2.2670000000000003,1.6279999999999997,9.12,7.121,1.176,0.906,6.340000000000001,4.970000000000001,22.284,17.044999999999998,0.095,0.293,11.31,8.3,14.579000000000002,10.128,0.987,0.419,7.269,4.452999999999999,1.0055,26.212,23.673,17.326,18.535,2.089,1.583
"2021-12-06 - OTT 3, NJ 2",OTT,1.0,47.571,37.163,35.289,28.023000000000003,2.379,1.8009999999999995,9.37,7.170999999999999,1.278,1.087,6.659000000000001,5.037,22.832,18.772,0.0,0.1989999999999999,10.63,9.571000000000002,13.666999999999998,10.4,1.092,0.515,7.097,4.534000000000001,0.9997,25.708,23.017000000000003,17.643,19.983,2.127,1.6349999999999998
"2021-12-07 - NYI 5, OTT 3",OTT,0.0,49.199,37.212,35.925,27.834000000000003,2.46,2.003,9.767,6.8950000000000005,1.372,1.289,6.69,5.193,22.702,18.272,0.0,0.1989999999999999,10.136,9.404,14.550999999999998,10.5,1.0829999999999995,0.515,6.526000000000001,3.976,1.0028,24.463,24.276,17.478,19.526000000000003,2.159,1.604
"2021-12-11 - TB 0, OTT 4",OTT,3.0,48.587,36.554,35.760000000000005,27.865,2.683,1.803,10.141,6.069,1.586,1.001,7.1720000000000015,4.57,22.677,18.206,0.0,0.287,9.984,9.246,13.737,10.602,1.085,0.515,5.954,4.247,0.9823,24.296,23.797,16.756,19.128,2.128,1.511
"2021-12-14 - OTT 8, FLA 2",OTT,2.0,47.505,36.528000000000006,35.290000000000006,27.622,2.361,1.897,10.669,6.231,1.48,1.0950000000000002,7.180999999999999,4.611,21.186,17.64,0.0,0.287,9.25,9.17,13.682999999999998,11.029,0.877,0.515,5.674,4.166,1.0011,23.365,24.311,17.324,18.892,2.141,1.541
"2021-12-16 - OTT 1, TB 2",OTT,1.0,48.001,38.947,34.598,29.924,2.076,2.121,10.257,7.783000000000001,1.382,1.308,6.855,6.046,21.435,18.465,0.0,0.293,8.9,9.334,14.106,11.254,0.6859999999999999,0.512,5.915,4.423,1.001,22.833,24.341,19.062,20.855,2.054,1.777
"2021-12-18 - OTT 3, PHI 4",OTT,1.0,48.099,37.932,35.009,29.944,1.885,2.02,10.896,7.890000000000001,1.474,1.3130000000000002,7.322,6.146,20.025,17.143,0.0,0.293,8.667,9.03,14.212,10.958,0.4019999999999999,0.407,5.523000000000001,4.537000000000001,1.005,22.698,25.096,18.863,20.867,2.077,1.781
"2022-01-01 - OTT 0, TOR 6",OTT,13.0,47.51899999999999,39.294,35.089000000000006,30.482,1.878,2.227,10.294,7.835000000000001,1.277,1.3130000000000002,6.831,5.970999999999999,20.226,17.897,0.089,0.398,9.178,9.543,13.933000000000002,11.183,0.496,0.509,5.803,4.643,1.0146000000000002,23.047,24.226,19.04,21.542,2.018,1.748
