Game,Team,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2021-10-15 - VAN 5, PHI 4",PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-18 - SEA 1, PHI 6",PHI,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-20 - BOS 3, PHI 6",PHI,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-23 - FLA 4, PHI 2",PHI,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-27 - PHI 5, EDM 3",PHI,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-28 - PHI 2, VAN 1",PHI,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-30 - PHI 0, CGY 4",PHI,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-02 - ARI 0, PHI 3",PHI,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-04 - PHI 2, PIT 3",PHI,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-06 - PHI 2, WSH 1",PHI,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-10 - TOR 3, PHI 0",PHI,3.0,45.765,43.966,34.813,32.176,1.377,2.204,10.009,7.918000000000001,0.8029999999999999,0.997,7.418000000000001,6.44,19.473,19.825,0.177,0.307,11.166,9.495,13.762,12.278,0.404,0.899,5.808999999999999,7.475,1.0324,25.424,23.775,20.171,24.715,2.134,1.967
"2021-11-12 - PHI 2, CAR 1",PHI,1.0,45.259,44.92100000000001,34.727999999999994,33.001,1.379,2.015,10.372000000000002,7.700999999999999,0.8009999999999999,0.904,8.009,6.314,19.157,20.518,0.177,0.212,10.391,10.263,13.520999999999995,12.642,0.395,0.899,6.109,7.670999999999999,1.0222,25.22,23.902,20.315,25.573,2.19,1.961
