Game,Team,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2021-10-12 - SEA 3, VGK 4",SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-14 - SEA 4, NSH 3",SEA,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-16 - SEA 1, CBJ 2",SEA,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-18 - SEA 1, PHI 6",SEA,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-19 - SEA 2, NJ 4",SEA,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-23 - VAN 4, SEA 2",SEA,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-26 - MTL 1, SEA 5",SEA,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-28 - MIN 1, SEA 4",SEA,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-31 - NYR 3, SEA 1",SEA,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-01 - SEA 2, EDM 5",SEA,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-04 - BUF 2, SEA 5",SEA,2.0,39.582,41.367,29.429,31.039,2.566,1.873,7.062,9.009,1.459,1.1,6.311,6.919,19.135,18.772,0.212,0.183,8.787,8.539,11.324,11.88,0.902,0.588,5.059,6.2170000000000005,0.9613,21.168,18.432,20.923,22.172,1.7239999999999998,1.796
"2021-11-06 - SEA 4, ARI 5",SEA,1.0,38.011,40.334,28.137,30.737,2.281,1.8560000000000003,6.68,8.503,1.169,0.8939999999999999,5.916,6.927,18.751,18.319,0.212,0.195,8.485999999999999,8.698,10.669,11.909,0.913,0.779,5.065,6.22,0.9711,20.536,17.426,20.424,22.309,1.604,1.781
"2021-11-09 - SEA 2, VGK 4",SEA,2.0,37.572,42.042,28.0,31.876,2.4690000000000003,2.071,6.597,8.822999999999999,1.262,1.002,5.833,7.0200000000000005,19.217,19.355,0.212,0.195,8.722,8.652,10.205,12.488,1.009,0.883,4.962000000000001,6.563,0.9683,20.414,16.875999999999998,21.304,22.587,1.542,1.863
"2021-11-11 - ANA 7, SEA 4",SEA,1.0,36.091,41.585,27.414,31.375,2.656,2.071,6.706,8.721,1.448,1.002,5.9270000000000005,7.026000000000001,18.487,18.267,0.301,0.195,8.243,7.901999999999999,9.413,13.01,0.913,0.883,4.978,7.269,0.9573,20.065,16.188,21.759000000000004,22.535,1.525,1.899
"2021-11-13 - MIN 4, SEA 2",SEA,1.0,38.263,42.524,28.655,31.977,2.494,2.256,6.475,8.267,1.259,0.993,5.566999999999999,6.587000000000001,19.964,18.867,0.527,0.195,9.135,8.078,10.178,13.666999999999998,0.7180000000000001,1.089,5.3420000000000005,7.806999999999999,0.9763,21.039,16.695,22.002,22.807,1.53,1.83
"2021-11-17 - CHI 4, SEA 2",SEA,3.0,37.582,42.294,27.745,32.18,2.52,2.155,5.427,8.341,1.2879999999999998,0.889,4.696,6.675,18.937,18.221,0.527,0.195,8.828999999999999,8.166,10.822,13.421,0.718,1.089,5.9030000000000005,7.759,0.9669,20.399,16.256,21.818,22.759,1.4229999999999998,1.815
"2021-11-19 - COL 7, SEA 3",SEA,1.0,36.269,41.698,26.822,30.892000000000003,2.631,1.966,5.889,8.061000000000002,1.502,0.889,5.053,6.503,16.33,18.086,0.422,0.195,8.064,7.911999999999999,11.757,13.079,0.709,0.899,6.247,7.709999999999999,0.9533,20.222,17.631999999999998,21.227,22.188,1.465,1.803
"2021-11-21 - WSH 2, SEA 5",SEA,1.0,37.719,39.998000000000005,27.707,30.235,2.96,1.572,6.614,7.866,1.6189999999999998,0.5930000000000001,5.561,6.307,17.051,17.576,0.534,0.195,8.096,7.7,11.601,12.547,0.8130000000000001,0.804,6.1450000000000005,7.555,0.9244,20.872,18.141,20.528,21.645,1.509,1.7879999999999998
