Game,Team,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2021-10-16 - WPG 3, SJ 4",SJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-19 - SJ 5, MTL 0",SJ,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-21 - SJ 2, OTT 1",SJ,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-22 - SJ 5, TOR 3",SJ,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-24 - SJ 3, BOS 4",SJ,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-26 - SJ 1, NSH 3",SJ,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-28 - MTL 4, SJ 0",SJ,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-30 - WPG 1, SJ 2",SJ,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-02 - BUF 3, SJ 5",SJ,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-04 - STL 5, SJ 3",SJ,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-06 - NJ 3, SJ 2",SJ,1.0,45.204,38.666,33.493,27.939,1.796,1.92,7.006,7.531999999999999,0.696,1.107,4.993,5.65,28.957,21.925,0.404,0.616,9.803,8.736,13.54,11.062,0.689,0.104,6.465999999999999,4.928,1.0191,23.065,20.546,18.562,21.114,1.832,1.627
"2021-11-09 - SJ 4, CGY 1",SJ,2.0,46.147000000000006,39.34,34.538,27.932,1.791,1.9150000000000005,7.0840000000000005,7.161999999999999,0.6910000000000001,1.102,4.968999999999999,5.361,30.615,22.685,0.404,0.616,10.759,8.780999999999999,13.332,11.573,0.693,0.104,6.264,5.025,1.0235999999999998,23.721,20.414,18.688,20.961,1.855,1.534
