Game,Team,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2021-10-16 - STL 5, COL 3",STL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-18 - STL 7, ARI 4",STL,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-20 - STL 3, VGK 1",STL,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-23 - LA 3, STL 7",STL,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-25 - LA 0, STL 3",STL,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-28 - COL 4, STL 3",STL,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-30 - CHI 0, STL 1",STL,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-03 - STL 2, LA 3",STL,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-04 - STL 5, SJ 3",STL,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-07 - STL 1, ANA 4",STL,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-09 - STL 3, WPG 2",STL,1.0,42.526,46.091,33.754000000000005,35.413,1.558,2.246,9.686,8.641,1.066,0.925,7.470999999999999,7.034999999999999,19.361,19.905,0.111,0.189,9.302,9.328,13.252,17.224,0.391,1.132,6.395,8.919,1.0261,24.169,23.012,25.779000000000003,26.219,2.036,2.09
"2021-11-11 - NSH 4, STL 3",STL,1.0,44.501,46.248,35.465,35.19199999999999,1.653,2.029,10.576,8.581999999999999,1.16,1.026,8.188999999999998,6.997,20.713,19.703,0.2,0.189,10.197,9.102,12.913999999999998,17.698,0.295,0.826,6.137,8.898,1.0162,25.527,23.553,26.207,25.947000000000003,2.208,2.07
"2021-11-13 - STL 2, CAR 3",STL,1.0,46.379,47.588,36.659,35.622,1.6830000000000005,1.584,10.642,8.693999999999999,1.079,0.7969999999999999,8.114,6.757000000000001,20.991000000000003,19.593,0.305,0.189,10.248,9.364,14.748,18.425,0.3019999999999999,0.607,7.166,9.23,1.0039,26.511000000000003,25.465000000000003,27.055,26.487,2.233,2.061
"2021-11-14 - EDM 5, STL 4",STL,0.0,44.685,45.456,35.282,34.297999999999995,1.778,1.478,9.965,7.729999999999999,0.985,0.6910000000000001,7.224000000000001,5.81,20.867,19.521,0.4,0.189,10.34,9.225,13.897,17.293,0.3969999999999999,0.607,6.489,8.708000000000002,0.9961,24.679,23.935,24.956,24.902,2.092,1.966
"2021-11-16 - ARI 3, STL 2",STL,1.0,44.858,45.062,35.05200000000001,34.807,1.892,1.5610000000000002,9.412,7.915999999999999,0.884,0.588,6.684,5.626,21.309,19.453000000000003,0.4,0.277,10.788,9.42,14.203,17.063,0.607,0.7030000000000001,6.786999999999999,8.934999999999999,0.9953,24.839,23.663,24.938,25.122,1.999,2.021
"2021-11-18 - SJ 1, STL 4",STL,1.0,44.697,43.992,34.653000000000006,33.979,1.998,1.46,9.117,7.706999999999999,0.99,0.494,6.388,5.418,21.08,18.608,0.4,0.277,10.51,9.287,13.831,16.692,0.607,0.705,6.698,8.898,0.9862,24.289,22.987,24.380000000000003,24.515,2.026,1.999
"2021-11-20 - STL 1, DAL 4",STL,1.0,43.282,47.5,34.526,36.702000000000005,1.783,1.471,8.756,8.791999999999998,0.993,0.5900000000000001,5.822,6.016,20.72,21.171,0.289,0.182,10.202,10.182,14.151,17.811,0.5029999999999999,0.687,6.639,9.561000000000002,0.9812,23.165,22.996,26.535000000000004,26.588,2.057,2.138
"2021-11-22 - VGK 2, STL 5",STL,1.0,41.335,44.901,33.165,34.737,1.783,1.471,8.284,8.162,0.993,0.5900000000000001,5.893,5.46,19.849,20.538,0.289,0.182,9.845,10.228,13.191,16.059,0.5029999999999999,0.687,6.597999999999999,8.892999999999999,0.9812,23.045,21.538000000000004,24.179,25.599,1.962,1.979
"2021-11-24 - STL 2, DET 4",STL,1.0,41.053,43.898,33.887,33.63,1.809,1.851,8.738,7.626,1.113,0.776,6.5120000000000005,5.26,18.802,19.483,0.289,0.27,10.123,10.287,12.924,15.722,0.407,0.7849999999999999,6.531000000000001,9.08,0.9959,23.974,21.742,23.272,25.554,2.024,1.876
"2021-11-26 - STL 2, CHI 3",STL,1.0,41.966,44.664,34.338,34.211,1.996,1.6439999999999997,9.515,8.233,1.113,0.6699999999999999,6.795999999999999,5.768,17.887999999999998,19.199,0.289,0.27,9.894,10.344,13.04,15.56,0.598,0.6789999999999999,7.01,9.174,0.9778,24.495,22.637,23.73,26.313,2.111,1.9630000000000003
"2021-11-27 - CBJ 3, STL 6",STL,0.0,42.361,43.851,34.27,33.404,1.992,1.644,8.597,7.937,1.015,0.6699999999999999,6.142,5.804,18.949,19.242,0.289,0.27,10.28,10.239,13.253,15.607,0.694,0.6789999999999999,7.356999999999999,9.085,0.9786,24.542,21.934,23.473,26.023000000000003,2.08,1.9490000000000005
"2021-11-30 - TB 3, STL 4",STL,2.0,39.934,44.276,31.836,34.574,1.905,2.126,7.455000000000001,8.582,0.921,0.8539999999999999,5.328,6.074,17.253,18.45,0.2,0.27,9.003,9.855999999999998,13.638,16.165,0.7939999999999999,0.971,7.758,9.859,0.9948,22.806,21.190000000000005,24.654,26.713,1.876,2.057
"2021-12-02 - STL 2, TB 4",STL,1.0,40.194,42.813,31.778,33.842,1.808,2.126,7.903999999999999,7.984999999999999,0.926,0.76,5.669,5.588,18.162,18.287,0.095,0.358,9.023,9.612,13.339000000000002,16.256,0.692,0.971,7.178999999999999,9.8,1.0005000000000002,22.687,21.302,24.174,25.795,1.922,2.012
"2021-12-04 - STL 3, FLA 4",STL,1.0,40.895,43.416,32.378,33.88,1.907,2.025,8.788,7.590999999999999,1.119,0.659,6.667,5.501,17.4,18.468,0.095,0.358,8.793000000000001,9.885,14.151999999999996,16.952,0.597,0.971,7.476000000000001,9.702,0.9951,23.806,22.991000000000003,24.494,25.905,1.991,1.934
